label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83
0.03	south35_active	80	6135	4613	1079	803	453	829	1657	430	155	85	75	333	78	127	51	70	46	258	30	30	13	8	23	9	13	10	16	44	6	7	8	6	9	1	7	8	8	2	2	24	1	7	1	0	0	1	0	1	1	2	0	3	1	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	9728	5993	2227	1542	1023	1133	1825	689	396	311	221	388	179	195	138	149	86	259	77	61	53	43	49	39	34	24	27	76	14	12	19	20	14	7	10	16	17	6	7	26	3	17	5	2	2	0	0	3	2	2	2	3	1	1	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	6196	4669	1112	786	444	814	1654	471	154	90	69	300	71	119	47	66	39	238	45	33	16	11	25	13	12	8	14	65	5	8	7	7	7	2	5	12	15	2	5	24	2	14	1	1	0	0	0	2	1	1	2	3	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	9662	5942	2188	1552	1046	1184	1782	655	394	312	235	386	160	174	134	136	93	268	87	76	49	38	49	42	32	22	25	64	14	15	17	18	14	8	15	12	12	4	9	17	4	21	3	2	3	1	1	2	2	2	2	4	0	0	2	1	1	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_active	80	6170	4670	1081	811	439	844	1589	450	136	89	74	306	72	101	52	56	45	250	49	44	17	8	25	10	10	11	16	55	5	10	5	7	9	2	10	9	11	2	7	16	3	19	0	2	1	1	1	1	1	1	2	3	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	9119	5579	2172	1495	1044	1129	1735	644	405	310	248	357	165	167	119	130	100	217	89	77	44	42	36	32	29	20	22	78	12	14	16	17	16	10	9	12	13	4	8	3	5	18	2	3	4	1	3	2	1	1	2	1	1	1	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	5624	4299	999	742	428	767	1524	420	131	79	71	285	66	91	39	51	45	200	50	41	18	12	16	7	8	8	14	73	3	8	6	6	11	4	7	6	12	2	7	2	2	17	1	3	2	1	2	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	8831	5363	2109	1509	1002	1097	1571	596	388	319	254	332	174	148	140	116	107	210	67	86	43	40	35	32	31	25	16	70	12	15	16	15	14	12	8	10	8	3	5	3	3	15	1	3	5	3	3	1	2	1	2	2	1	2	0	0	1	3	1	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	5262	4014	893	736	402	717	1355	353	123	87	66	260	60	80	42	46	46	187	32	45	10	10	14	6	11	7	11	63	4	5	6	6	11	6	6	4	6	1	3	2	1	14	1	2	2	2	2	0	1	0	2	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	8458	4987	2110	1507	954	1071	1399	553	399	302	258	314	188	146	130	122	103	194	64	78	47	48	33	37	33	26	17	75	15	14	14	12	14	11	5	10	10	4	5	7	4	8	1	3	6	2	2	1	2	3	2	1	2	4	0	0	1	3	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south40_active	80	4842	3610	878	698	360	671	1164	307	130	75	67	240	55	79	36	46	39	168	23	36	13	12	9	8	14	5	12	63	2	4	7	4	10	5	3	3	4	2	3	3	1	7	1	1	3	1	1	0	1	1	1	1	2	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
