label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87
0.03	south24_active	80	827	1208	446	274	121	90	619	47	48	50	132	23	59	112	80	40	13	30	110	157	38	17	14	25	15	4	6	10	3	1	7	4	6	5	2	2	0	5	7	0	0	2	9	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	3580	2046	1105	668	498	399	756	238	233	171	207	115	101	167	139	84	63	66	133	166	56	34	32	39	25	17	19	14	15	9	11	13	13	12	11	5	6	7	9	2	6	4	12	2	1	0	3	1	1	3	0	0	0	1	0	3	0	0	10	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south25_active	80	873	1209	473	296	132	79	631	50	51	47	134	21	50	119	105	41	13	43	123	156	35	17	13	29	22	2	3	8	4	1	6	3	9	7	4	2	0	4	6	1	0	2	9	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south26_all	80	3573	2039	1132	695	514	412	773	246	238	151	205	107	97	149	120	78	60	72	126	179	54	34	37	36	29	16	15	18	16	9	13	11	15	10	10	4	5	6	6	2	5	5	16	2	2	0	0	2	0	3	0	0	0	5	0	2	0	0	14	2	0	1	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south26_active	80	909	1238	497	295	126	88	644	50	54	38	132	22	40	103	88	45	14	46	113	166	35	20	18	27	22	4	4	12	5	2	9	4	13	5	5	1	1	4	5	1	0	2	14	1	2	0	0	1	0	0	0	0	0	2	0	0	0	0	14	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south27_all	80	3567	2033	1076	706	510	413	710	239	224	146	192	100	92	127	123	69	62	77	123	193	42	34	34	32	29	16	12	19	20	9	11	7	12	14	9	5	6	3	1	2	2	5	14	4	2	1	1	3	0	2	0	0	0	5	1	1	1	1	6	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south27_active	80	897	1216	471	306	123	81	583	42	45	45	127	20	38	85	92	40	14	50	106	175	27	21	18	23	18	3	3	13	6	2	8	3	11	9	5	2	1	2	1	1	0	3	13	1	2	1	1	3	0	0	0	0	0	2	1	1	1	0	6	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south28_all	80	3585	2020	1029	732	506	407	741	239	197	155	199	106	100	111	116	82	61	68	100	190	50	27	29	37	27	17	11	16	16	8	8	7	14	10	5	3	4	1	1	2	4	9	12	3	1	1	2	3	0	3	0	0	1	5	2	1	1	1	7	0	0	1	4	4	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south28_active	80	908	1246	461	311	110	77	598	43	42	45	140	19	45	73	88	47	14	43	83	170	35	14	14	24	14	3	5	14	3	3	4	3	13	7	1	1	1	1	1	1	1	6	12	0	1	1	2	3	0	1	0	0	1	2	2	1	1	0	6	0	0	1	4	3	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south29_all	80	3530	2077	1004	726	502	395	790	240	202	172	210	103	102	109	115	74	62	72	87	203	56	25	28	35	26	17	11	8	16	5	17	8	12	14	5	6	3	1	1	2	4	7	4	4	1	1	3	2	0	1	1	1	1	0	2	1	1	1	7	0	0	0	4	4	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south29_active	80	881	1258	436	314	103	72	646	44	45	46	143	17	50	75	82	40	12	46	70	188	43	11	18	22	15	2	4	7	2	1	9	4	10	11	0	2	0	1	1	1	1	5	4	1	1	1	2	2	0	1	0	0	1	0	2	1	1	0	6	0	0	0	4	3	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south30_all	80	3501	2036	1032	728	511	400	800	243	195	180	219	107	122	111	108	95	61	69	84	199	52	26	32	32	32	16	13	11	16	8	18	9	10	11	9	7	3	1	1	3	4	8	12	4	0	1	3	0	0	1	1	3	2	0	1	1	2	3	1	0	0	0	4	1	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
0.03	south30_active	80	856	1231	452	308	106	74	667	45	44	47	160	20	68	74	76	58	11	43	59	188	38	14	17	18	17	3	4	10	2	4	6	2	7	10	3	3	0	1	1	2	1	7	12	1	0	1	2	0	0	1	0	2	2	0	1	1	1	0	0	0	0	0	4	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
0.03	south31_all	80	3484	1887	1038	704	465	387	581	247	202	172	177	110	110	114	85	65	58	64	102	97	44	32	23	24	17	19	13	17	18	18	15	12	8	4	7	9	1	4	5	3	3	0	1	5	0	5	0	3	2	3	1	1	0	2	0	1	0	0	3	2	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	711	1005	413	273	108	95	444	61	40	49	116	19	40	73	60	34	4	41	92	85	28	16	14	16	8	8	3	11	4	5	9	3	3	2	1	4	0	1	4	0	0	0	0	4	0	4	0	2	2	0	0	0	0	2	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	3477	1875	1066	732	491	388	567	249	203	174	191	119	101	126	98	65	56	59	97	89	43	31	25	28	21	23	14	19	18	13	19	6	9	7	8	8	2	6	4	3	4	3	2	4	2	3	0	5	3	2	0	4	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	733	989	424	268	113	101	422	60	43	48	113	22	39	81	59	31	4	38	85	74	26	14	16	17	11	8	2	13	3	3	11	2	3	3	3	3	0	2	4	1	0	2	0	3	1	2	0	2	3	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
