label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134
0.03	north19_active	80	1643	361	372	1822	322	1038	1781	387	72	141	322	46	253	291	101	253	66	144	13	23	15	24	23	279	46	17	52	8	11	12	2	20	2	56	13	19	54	50	5	12	9	6	9	5	4	4	6	2	5	17	16	31	3	1	3	6	2	0	16	3	0	1	14	4	0	0	5	1	0	0	3	4	0	10	0	2	0	0	0	0	0	0	0	2	4	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	3631	1575	1013	2136	645	1244	2085	525	259	225	379	146	314	299	177	272	123	164	65	71	51	81	54	335	88	35	55	25	26	27	21	34	15	47	18	17	88	71	15	17	17	10	12	10	7	12	8	6	11	19	26	27	5	3	3	8	1	2	13	7	2	1	8	2	3	2	13	2	1	0	2	4	2	10	0	2	3	1	0	1	0	0	2	0	4	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	1660	353	391	1863	316	1088	1970	393	75	134	306	42	255	257	96	248	63	127	15	29	16	29	22	326	61	21	40	5	9	9	2	27	5	42	13	12	82	67	5	11	10	4	9	5	3	6	2	2	7	16	24	27	1	0	2	7	1	0	12	4	0	1	8	2	1	1	13	1	0	0	1	4	1	10	0	2	2	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	3876	3380	990	730	870	528	788	348	542	373	261	244	186	265	106	432	96	361	192	73	91	242	51	82	24	126	64	42	30	27	59	14	52	113	29	28	77	12	11	13	10	8	18	14	17	29	11	36	12	5	3	6	39	5	25	6	2	6	2	3	1	2	3	0	4	5	3	3	21	0	3	1	1	2	4	2	1	3	0	0	0	1	0	0	1	2	1	1	3	0	2	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south21_active	80	2099	2754	312	188	636	261	645	172	441	275	191	148	127	217	37	397	47	344	171	47	69	227	14	60	11	113	48	25	15	13	48	5	44	107	23	25	72	10	4	9	1	3	16	10	12	25	6	35	4	3	1	4	38	1	22	3	0	4	2	1	0	0	2	0	2	3	0	1	21	0	2	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	3	0	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	3901	3375	968	743	881	518	839	337	546	335	271	255	195	269	107	491	99	306	209	96	91	262	52	78	25	122	56	36	33	24	59	18	62	113	35	29	110	12	9	17	11	5	15	15	17	28	11	49	13	1	4	7	47	3	13	4	2	6	2	1	3	2	4	0	3	4	3	3	24	0	3	2	2	2	4	4	0	3	0	2	0	1	0	0	0	1	2	1	2	0	0	0	1	0	0	0	0	1	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	2109	2742	278	196	650	275	712	168	451	253	190	154	124	220	38	453	48	289	190	62	62	247	15	57	12	109	39	20	16	10	49	5	54	106	29	23	104	9	3	12	2	1	11	10	12	23	5	47	6	0	1	3	46	1	11	2	0	4	2	0	1	0	2	0	2	3	0	1	24	0	2	0	2	0	1	3	0	0	0	2	0	1	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	3956	3460	1005	744	879	507	790	335	573	355	278	248	225	273	107	504	78	336	193	97	99	261	47	66	35	99	67	29	31	31	66	19	79	92	38	22	118	11	10	16	10	7	6	19	16	34	9	52	9	1	5	9	54	5	23	5	2	7	3	2	3	2	2	1	3	4	1	3	18	1	2	2	1	2	2	4	1	1	1	2	0	1	0	0	0	1	2	0	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	2150	2803	295	189	652	281	656	170	484	271	194	159	153	228	38	474	33	316	176	64	64	245	19	52	13	85	54	16	16	12	58	5	70	85	34	17	112	7	2	11	1	2	2	15	12	28	5	51	3	0	2	5	51	1	21	4	0	6	3	0	1	0	0	0	1	3	1	1	18	0	1	0	1	0	1	4	0	0	1	2	0	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	3990	3477	1021	702	840	509	818	346	561	384	265	243	222	317	111	482	80	406	244	99	98	229	48	86	35	88	78	37	31	32	85	19	67	79	43	21	112	15	8	17	14	8	7	26	16	29	7	47	9	2	6	7	47	4	21	3	3	11	2	3	2	2	3	4	3	3	1	1	6	1	1	2	1	1	1	3	3	0	2	3	0	2	1	0	0	1	2	0	3	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
