label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98
0.03	north18_all	80	29814	13500	8364	5600	11155	3947	2447	2413	2201	1241	999	1228	1212	757	966	517	375	350	802	373	382	233	192	122	119	89	81	77	79	54	87	40	99	47	29	31	50	20	26	43	20	16	19	11	7	19	8	7	6	17	3	4	4	1	5	4	2	3	2	4	0	1	0	0	1	0	0	0	0	0	1	2	0	2	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	8278	2857	2984	1233	9922	2380	663	1395	1470	480	314	788	893	380	772	267	101	104	699	285	279	127	84	26	29	30	26	28	28	22	63	14	86	25	9	8	42	2	4	39	8	7	8	7	2	18	3	5	2	14	1	3	2	1	3	2	1	1	1	4	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	29917	13611	8550	5642	11984	4053	2447	2505	2321	1316	965	1258	1372	785	972	509	380	356	872	387	390	242	197	125	133	88	87	88	74	51	98	38	111	46	29	29	54	21	29	53	19	14	19	12	10	17	5	7	10	12	2	3	7	4	4	2	2	3	1	1	2	1	13	1	1	0	1	0	1	0	2	2	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	8778	3015	3345	1198	10774	2487	730	1503	1596	530	326	831	1035	410	783	292	109	104	770	301	287	138	99	29	42	29	27	25	28	21	75	13	98	25	7	9	46	4	5	49	8	8	11	8	4	15	2	5	2	11	1	3	2	1	3	0	2	1	1	1	2	0	13	1	1	0	1	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	30169	13632	8560	5648	12327	4026	2439	2493	2260	1328	993	1258	1425	781	1001	540	414	356	859	413	386	251	195	124	127	96	88	82	74	45	93	41	112	45	33	35	62	20	31	45	21	14	15	8	12	16	7	10	9	12	2	5	9	6	2	2	2	3	0	1	2	0	13	1	0	0	1	0	1	0	2	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	9080	3047	3421	1176	11177	2508	793	1510	1545	558	354	840	1100	389	802	319	108	110	773	327	286	147	89	25	35	29	31	22	24	20	73	17	100	25	9	9	54	4	7	35	10	7	7	4	3	13	2	9	3	12	1	4	0	2	1	0	2	1	0	1	2	0	13	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	29935	13749	8532	5499	10367	3973	2499	2369	2241	1279	1074	1159	1172	678	954	560	383	305	731	417	322	184	153	121	124	114	88	80	61	87	92	33	56	35	34	25	56	23	21	48	17	18	12	3	8	7	6	11	12	3	4	9	3	5	1	7	1	2	5	0	0	1	1	1	0	1	4	1	1	1	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	7688	2880	2943	1153	9028	2348	702	1301	1394	462	308	713	884	311	728	301	111	65	656	293	224	100	74	23	36	24	33	18	14	44	61	8	38	18	10	5	52	4	5	37	4	13	0	1	2	6	4	8	9	2	2	7	2	1	1	4	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	29996	13736	8444	5594	10815	4027	2454	2313	2187	1287	1049	1200	1151	686	958	552	376	307	707	460	312	181	164	122	128	121	92	92	70	78	107	38	63	37	33	22	55	24	19	42	15	19	11	3	7	10	7	13	4	2	7	12	4	6	4	7	1	2	6	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	7784	2872	2873	1209	9457	2395	718	1264	1387	466	312	720	855	336	756	295	102	75	633	328	227	105	79	27	41	23	36	24	20	36	67	6	45	19	12	2	51	4	7	32	5	14	1	1	2	9	4	10	2	2	3	10	2	2	4	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
