label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95
0.03	south35_all	80	44079	30215	11760	10125	4211	3230	2632	2155	3970	1321	1115	1070	700	1645	465	458	395	612	310	223	210	247	189	152	192	152	79	248	80	104	111	76	63	70	52	31	24	21	14	28	13	24	11	22	11	9	7	10	17	4	5	27	5	4	5	1	1	0	2	1	4	5	0	0	0	3	0	0	4	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south35_active	80	30021	25560	8022	8027	949	1200	1183	972	3466	459	412	589	160	1425	110	147	101	469	109	73	66	175	94	86	137	108	27	222	45	82	85	37	44	57	48	9	8	10	3	18	2	14	8	21	3	3	2	4	16	3	3	25	1	4	4	1	1	0	1	0	4	3	0	0	0	1	0	0	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	44438	30733	11694	10130	4196	3280	2619	2203	3913	1320	1126	1056	712	1538	471	456	391	643	324	240	217	258	181	173	201	153	86	304	67	93	133	55	67	76	58	28	18	20	16	36	16	26	12	27	10	6	9	12	19	21	4	29	5	3	7	4	4	3	2	2	3	2	0	0	0	4	1	0	4	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south36_active	80	30451	26031	7910	8009	889	1228	1156	1006	3396	449	391	571	157	1339	112	132	94	499	108	65	68	180	99	94	138	120	27	273	41	69	110	28	48	60	53	7	8	12	4	23	2	17	7	25	2	1	4	4	17	19	2	28	2	3	6	2	4	3	1	1	3	0	0	0	0	2	1	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	44290	30634	11848	10052	4166	3347	2624	2166	3936	1273	1103	1031	729	1539	470	482	395	606	318	225	205	291	187	160	194	151	88	242	66	88	151	55	66	87	51	28	21	16	17	28	15	30	12	27	11	7	10	16	18	30	4	12	4	2	13	3	5	4	3	3	0	2	0	0	0	3	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south37_active	80	30405	26007	8034	7892	872	1260	1159	1012	3446	407	387	568	165	1343	103	138	94	470	109	58	57	205	112	96	135	117	30	213	43	65	130	26	47	72	47	9	7	7	6	18	1	21	7	26	2	5	6	9	14	28	2	11	1	1	11	1	5	3	1	1	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	44025	30564	11857	9846	4222	3303	2588	2163	3941	1268	1094	1037	727	1416	495	495	364	594	338	231	198	308	162	162	180	169	89	258	66	96	148	51	65	90	53	20	19	18	18	24	12	36	14	19	10	12	10	17	20	33	4	9	4	2	11	5	9	10	1	3	0	0	1	0	4	3	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	30395	25903	8036	7634	871	1275	1097	1021	3443	415	384	582	163	1222	113	137	80	461	118	67	51	213	94	93	131	127	34	225	47	68	121	19	53	75	45	4	4	5	8	15	1	27	10	17	0	9	7	12	16	31	2	8	1	0	9	3	9	9	0	1	0	0	0	0	3	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	43687	30059	11664	9984	4224	3292	2639	2176	3998	1269	1049	1026	746	1433	513	480	372	629	287	242	200	341	170	169	165	173	89	271	74	104	137	62	79	110	52	25	18	19	22	20	10	24	17	17	13	12	9	16	16	29	4	11	3	2	12	3	16	7	2	2	0	3	1	0	4	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
0.03	south39_active	80	30073	25453	7823	7730	886	1234	1153	1025	3526	434	374	581	170	1219	117	142	79	492	97	77	51	244	99	102	122	129	37	240	48	79	112	29	65	95	44	5	3	7	10	12	0	17	13	14	0	9	6	12	11	28	1	9	1	0	10	2	16	6	0	1	0	3	0	0	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south40_all	80	43462	29815	11699	9767	4225	3225	2596	2178	4094	1342	1051	1002	745	1430	523	508	369	645	293	231	201	349	159	188	151	182	91	252	89	129	120	60	71	122	56	22	19	22	17	22	15	21	14	18	15	9	5	13	20	17	4	13	4	4	18	3	12	10	2	1	0	3	2	0	4	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
0.03	south40_active	80	29782	25211	7856	7524	885	1200	1150	1039	3627	457	371	586	152	1215	122	158	74	526	88	86	54	264	91	117	111	139	35	225	54	108	95	33	61	109	40	2	2	11	7	12	1	13	9	15	3	6	2	10	17	17	1	10	2	1	17	2	12	9	0	1	0	3	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
