label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144
0.03	north6_all	80	7284	4156	3068	1337	957	710	1314	397	523	381	662	495	230	183	235	219	206	346	180	173	158	77	64	130	66	72	56	58	108	68	102	40	55	45	28	16	38	60	30	19	39	20	29	11	17	20	15	16	12	8	36	13	12	9	11	8	10	2	5	3	4	5	5	6	3	6	5	3	5	8	3	5	5	2	2	2	2	2	0	1	0	1	4	2	1	2	2	0	3	1	1	1	0	1	1	0	1	0	2	0	6	2	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	4161	2621	1945	717	526	386	855	187	300	197	440	325	109	87	122	111	118	243	105	100	92	35	28	76	30	39	24	30	66	40	61	20	28	24	16	10	22	41	14	7	22	9	11	3	12	9	8	10	3	6	28	9	7	7	7	3	5	2	5	2	1	0	0	4	2	2	5	2	2	5	3	3	3	2	2	1	1	1	0	0	0	1	1	2	1	1	1	0	2	0	0	1	0	1	1	0	0	0	1	0	3	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	7357	4146	3020	1297	946	712	1331	409	513	398	603	498	222	178	247	218	186	330	161	182	151	84	61	124	64	69	64	54	121	67	91	37	50	40	29	19	33	54	24	23	37	20	23	13	17	18	18	12	12	6	29	22	11	8	17	8	10	2	7	5	6	2	3	6	3	2	5	2	7	4	4	4	3	2	3	2	3	1	0	0	0	0	5	1	1	3	2	0	5	1	1	1	0	1	1	1	1	0	1	1	7	2	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	4237	2555	1904	674	493	380	860	193	295	207	410	321	101	89	127	115	107	231	91	110	93	45	33	77	34	37	30	24	76	35	45	17	31	20	14	10	19	30	11	8	20	9	7	5	12	7	9	8	4	6	22	17	7	6	13	3	5	1	7	3	3	0	0	4	2	0	5	1	3	3	4	2	1	2	3	0	2	0	0	0	0	0	1	1	1	2	1	0	4	0	1	1	0	1	1	0	0	0	1	1	3	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	7307	3995	3059	1273	900	650	1351	449	521	384	568	551	219	172	241	179	182	292	172	184	134	90	66	124	57	54	56	50	127	63	76	42	56	45	32	20	36	46	27	22	34	21	18	13	18	15	14	14	9	10	24	31	10	8	14	6	10	2	4	4	6	1	2	8	4	3	3	1	7	7	2	3	3	1	4	2	6	2	1	0	1	0	4	2	1	1	2	0	6	1	1	0	0	1	0	1	0	0	1	1	4	2	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_active	80	4188	2407	1948	666	431	345	871	220	292	181	376	364	92	82	123	81	108	183	102	103	87	49	32	79	32	28	26	19	85	32	36	18	32	28	15	12	25	24	16	9	18	11	5	7	13	6	7	7	5	6	16	23	8	5	11	2	5	1	4	3	4	0	0	4	2	1	3	1	4	5	2	1	1	1	4	0	4	0	0	0	0	0	1	1	0	1	1	0	4	0	1	0	0	1	0	0	0	0	1	1	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	7192	4087	3152	1235	864	611	1365	451	472	384	620	537	216	168	255	173	177	274	175	179	128	86	72	116	55	51	57	49	115	63	91	38	61	49	32	24	27	57	26	24	20	23	18	12	18	15	20	17	12	6	23	29	10	10	15	3	8	5	3	5	7	1	3	6	2	5	5	0	9	3	2	3	2	1	5	1	4	1	1	0	2	1	4	2	2	4	0	0	11	0	1	0	0	1	0	1	0	0	0	1	1	3	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_active	80	4180	2469	2015	640	410	308	887	223	265	180	405	344	86	80	136	77	107	170	100	92	83	45	38	76	29	25	24	19	74	32	52	19	37	32	20	11	20	27	13	11	10	10	5	6	10	7	8	9	9	2	15	20	5	6	13	0	2	3	3	2	4	1	2	3	1	1	3	0	7	2	2	1	1	0	4	0	3	0	0	0	1	0	1	1	1	4	0	0	5	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	7093	4001	3094	1230	882	621	1368	463	477	364	620	572	201	175	254	172	174	277	189	186	129	94	72	124	60	52	68	48	105	70	94	29	58	53	22	27	33	59	23	23	25	24	17	16	16	17	20	15	18	10	25	27	8	9	12	4	6	8	3	5	7	2	6	11	1	6	4	1	6	3	1	6	2	1	4	3	3	1	2	0	2	2	3	1	2	4	1	1	9	1	0	0	0	1	2	1	0	0	2	2	1	3	0	1	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north10_active	80	4142	2441	1950	652	419	305	913	232	266	179	402	348	88	74	156	81	102	182	112	105	76	44	31	75	28	28	33	21	59	38	62	11	36	36	14	10	23	33	13	10	11	10	6	7	7	7	8	9	12	5	18	20	4	4	8	0	1	5	2	1	5	1	3	7	0	3	1	0	6	2	1	3	2	0	3	3	2	0	1	0	1	1	1	0	1	4	0	1	4	0	0	0	0	1	2	0	0	0	2	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	6085	3444	2548	1165	841	593	1115	406	452	327	478	444	231	170	220	155	171	219	186	138	136	87	75	109	77	57	49	59	112	71	102	33	55	32	36	41	25	31	29	15	34	18	19	20	18	10	13	13	14	10	19	17	7	8	7	3	8	2	7	7	3	5	4	11	8	5	3	3	2	4	0	2	2	5	5	1	3	2	2	2	2	1	1	1	0	0	3	1	3	1	3	2	3	3	0	1	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
0.03	north11_active	80	3378	1987	1514	612	411	284	695	176	221	190	285	253	112	76	124	80	83	132	105	84	75	40	29	65	25	25	20	34	76	35	68	18	34	17	18	20	11	20	12	7	23	6	12	11	9	6	7	4	9	3	15	10	2	6	3	3	3	0	3	5	2	1	3	11	7	3	0	1	1	2	0	2	1	4	4	0	1	2	1	0	1	0	0	1	0	0	2	1	3	1	3	2	2	3	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	6241	3614	2623	1218	861	615	1142	406	449	340	511	430	224	169	232	156	164	218	196	140	132	90	76	111	72	49	56	47	110	62	82	36	62	37	36	36	21	33	26	14	23	15	17	18	21	13	8	16	14	12	22	22	5	8	9	5	10	3	11	8	6	4	5	11	6	5	4	6	4	4	1	1	1	4	4	3	3	2	1	1	1	1	1	1	1	2	3	1	0	1	0	3	4	1	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north12_active	80	3492	2164	1554	635	437	293	725	190	218	194	307	245	110	85	133	84	87	123	121	87	67	48	30	74	28	19	24	21	75	32	55	19	33	19	15	18	7	18	12	6	14	5	9	9	10	6	6	7	10	5	16	14	0	5	4	1	4	0	5	5	4	1	4	8	5	3	0	2	3	1	0	1	0	3	3	1	1	2	0	0	1	0	0	1	1	2	2	1	0	1	0	3	3	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	6606	3758	2750	1256	892	637	1150	394	473	338	558	476	212	170	234	159	162	230	167	140	130	101	72	106	70	46	54	42	105	63	88	34	64	33	30	38	27	38	32	10	27	10	14	17	16	17	8	17	11	16	20	23	7	10	9	9	11	4	11	6	5	2	4	14	4	2	8	5	5	5	1	3	1	5	2	3	1	1	1	1	2	2	1	1	1	2	2	0	1	1	0	3	4	1	0	0	1	1	3	0	1	0	0	2	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	3761	2291	1675	656	461	313	700	186	252	182	344	280	99	84	136	81	88	143	110	86	66	59	32	63	29	21	24	19	69	38	60	17	40	18	14	22	9	25	15	4	17	3	6	8	7	9	4	7	5	10	15	15	4	5	4	4	5	1	5	4	3	0	4	11	2	1	4	2	3	4	0	2	0	2	2	1	0	1	0	0	2	0	0	1	1	2	2	0	1	1	0	3	3	1	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	6858	3928	2915	1266	893	671	1241	428	482	341	572	511	210	179	249	172	151	268	169	160	140	104	65	123	61	47	52	49	92	58	95	39	52	41	31	30	26	41	33	14	34	9	8	12	14	14	11	19	9	13	13	22	9	8	8	12	9	5	11	6	9	3	6	8	3	2	8	4	7	5	2	17	3	6	4	2	0	1	0	0	1	1	1	1	1	2	1	1	1	1	0	3	3	0	0	0	1	1	2	0	0	0	0	2	0	1	1	0	2	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	3930	2445	1804	674	452	329	789	211	264	165	362	320	97	95	151	86	86	163	110	99	75	62	27	76	30	22	23	27	64	35	72	21	27	20	15	18	8	33	18	7	22	3	2	8	5	8	7	7	5	9	8	17	4	4	5	4	4	2	4	2	5	1	5	4	2	1	5	1	5	4	0	7	2	1	2	1	0	0	0	0	1	0	0	1	1	2	1	0	1	0	0	3	3	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	7138	4091	3111	1293	926	682	1281	416	471	330	612	550	214	193	260	181	162	292	157	171	152	96	71	129	61	52	46	55	91	53	107	36	50	40	30	22	25	50	38	20	36	13	7	9	12	11	11	15	8	11	18	23	12	6	9	12	9	5	5	5	6	2	4	9	7	1	7	3	6	4	4	18	2	5	4	0	0	1	2	1	1	1	2	1	1	0	2	2	4	1	0	3	2	0	0	0	0	1	1	0	0	0	0	2	0	2	1	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	4104	2493	1984	691	474	345	833	197	270	166	400	358	105	98	164	83	92	184	99	116	88	60	33	79	30	25	19	33	60	32	79	19	27	23	18	15	8	28	20	9	20	3	2	6	4	7	6	5	4	9	9	15	7	4	6	4	4	2	1	2	3	1	2	5	5	1	5	1	5	4	2	7	2	1	2	0	0	0	1	1	1	0	0	1	1	0	1	1	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	7126	4003	3142	1287	920	690	1229	422	457	317	592	518	217	188	266	175	161	298	176	166	154	94	74	132	64	63	55	59	96	60	111	38	45	40	26	27	24	52	38	21	34	14	9	13	18	16	13	14	9	7	28	24	11	7	8	8	5	4	4	6	10	4	8	7	9	1	3	2	4	4	5	19	2	5	3	0	1	1	2	1	3	0	2	3	0	2	2	2	4	1	2	3	2	0	0	1	0	2	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	4038	2412	1983	696	456	325	798	193	254	152	392	332	103	97	160	89	88	194	111	112	93	57	36	82	27	26	23	32	63	39	67	20	24	21	17	16	10	30	24	12	17	3	3	7	7	10	8	4	2	6	22	16	7	3	6	2	3	1	0	3	6	1	3	3	6	1	1	2	4	3	3	8	2	1	1	0	0	0	1	1	0	0	0	3	0	1	1	1	4	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	7117	4060	3032	1326	930	680	1207	398	446	323	606	512	216	199	249	192	151	255	196	170	140	100	74	114	67	64	60	63	106	56	117	41	43	30	38	26	16	52	41	23	29	19	16	15	18	12	11	10	16	8	33	26	11	8	10	7	4	6	6	5	9	10	10	4	11	2	5	4	4	11	4	8	1	3	1	0	1	0	2	2	3	1	3	4	0	3	2	1	3	0	3	3	1	0	0	1	0	2	1	0	0	0	0	0	1	2	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	4080	2462	1885	688	468	334	772	181	246	159	406	335	103	92	152	109	84	178	131	110	85	56	38	69	26	24	29	32	67	36	71	20	22	16	24	17	8	28	29	13	16	9	6	10	10	7	7	4	9	5	27	17	8	4	5	1	2	1	0	3	4	7	3	1	7	2	2	3	3	9	3	6	1	2	0	0	0	0	1	1	0	1	1	4	0	2	1	1	3	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	7120	4043	3080	1317	917	696	1273	402	490	357	554	476	196	185	252	182	150	250	196	169	144	99	77	131	72	72	60	63	114	66	122	48	47	26	37	27	15	34	45	26	24	22	19	17	26	14	10	8	17	8	32	24	9	8	9	6	4	5	6	6	8	8	9	9	7	3	6	4	6	10	5	2	2	3	2	0	1	0	2	3	4	2	2	5	0	3	2	0	0	0	3	2	2	0	0	1	1	2	1	0	1	1	0	0	2	5	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	4103	2487	1903	676	455	330	816	186	265	183	369	313	88	90	160	111	85	180	127	102	97	57	37	79	26	28	32	31	70	45	77	25	29	16	25	18	8	24	32	13	14	14	7	10	17	9	6	4	7	4	24	16	6	4	2	2	2	1	1	3	4	6	3	5	3	2	2	2	4	8	3	1	1	2	1	0	0	0	1	2	0	2	1	3	0	2	1	0	0	0	1	1	0	0	0	1	1	2	0	0	1	0	0	0	0	3	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	7102	4053	3122	1322	969	678	1283	420	501	361	545	451	190	203	241	179	176	247	196	184	151	110	75	133	67	58	53	60	108	67	148	49	49	26	35	21	15	30	43	22	21	27	17	14	28	10	9	8	14	11	26	20	12	7	13	7	7	6	6	4	5	6	5	10	6	3	6	5	5	8	1	1	3	3	2	2	2	1	1	3	3	2	2	4	0	1	0	0	0	0	1	0	3	0	0	1	1	1	1	0	2	1	0	0	2	4	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	4151	2480	1918	698	483	339	830	186	269	191	347	291	82	85	140	106	103	181	121	104	100	57	39	76	28	24	31	28	72	40	102	24	31	16	20	14	8	23	29	10	11	18	8	8	18	5	6	5	8	7	19	13	6	4	5	3	2	2	2	1	2	6	1	7	2	2	3	2	3	7	0	0	1	2	1	1	2	0	0	1	0	2	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	3	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	7247	4050	3092	1321	949	672	1281	403	507	354	512	460	193	188	249	170	185	267	182	168	170	103	84	137	58	59	51	63	92	66	140	44	54	24	31	24	22	25	27	20	34	23	13	12	28	14	12	8	12	12	15	8	14	7	15	7	9	6	9	5	10	6	4	11	4	4	4	8	3	5	1	1	3	4	2	5	3	2	1	3	1	1	1	3	0	0	0	0	1	0	2	1	2	1	0	1	1	0	1	0	2	1	4	0	1	3	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	4210	2472	1901	700	478	330	831	173	270	190	327	309	91	70	146	99	102	188	107	98	115	54	38	76	24	29	26	29	55	43	101	21	30	15	17	13	6	17	15	10	23	17	6	6	17	7	4	3	5	8	7	4	7	3	7	3	3	4	5	3	2	3	3	7	0	3	1	6	2	3	0	0	1	2	1	2	3	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	4	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	8412	5167	1607	1267	1783	881	511	427	591	320	329	645	209	236	163	222	132	125	119	192	99	129	73	73	119	121	55	69	113	75	64	56	35	25	39	16	33	33	25	27	42	15	21	13	19	31	10	9	11	10	24	21	10	37	33	8	12	13	6	3	3	8	8	10	0	2	20	5	5	5	1	4	2	2	8	1	1	0	1	2	0	6	7	0	0	1	2	1	5	2	5	1	2	3	1	1	1	1	0	0	0	0	0	3	4	0	4	1	0	1	1	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
