label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112
0.03	north6_all	80	23927	16206	6692	10452	5662	3508	3658	1838	1385	1540	1443	1080	771	1266	742	580	575	400	400	316	541	404	252	283	174	438	242	239	110	150	99	73	67	140	120	65	101	51	78	37	43	24	38	12	16	17	16	24	23	15	15	11	33	9	17	6	4	5	3	12	1	7	2	7	1	6	8	3	1	5	4	0	1	1	3	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
0.03	north6_active	80	10843	9190	2982	6622	3299	1835	2174	860	614	862	757	561	345	791	426	291	340	195	213	148	364	229	143	155	96	306	154	143	63	98	54	42	33	88	57	40	60	26	54	20	18	15	28	4	10	8	9	12	18	5	9	5	26	3	7	2	2	3	1	4	0	4	2	6	1	5	6	1	0	2	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_all	80	23727	16591	6608	10485	5842	3468	3642	1804	1424	1563	1410	1092	797	1361	794	604	612	400	385	311	450	407	243	259	182	392	251	237	104	161	91	72	72	128	111	59	98	62	81	39	37	19	40	21	23	20	20	20	18	12	12	9	25	8	9	3	5	7	3	5	17	9	3	3	3	7	2	3	2	5	5	0	2	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	10882	9430	2962	6664	3469	1815	2148	839	638	879	740	586	376	839	469	318	370	196	211	165	293	238	136	137	99	246	148	137	55	101	50	41	37	75	62	37	59	29	58	22	16	12	31	13	13	11	10	8	15	3	7	5	19	4	5	2	4	5	1	3	15	5	2	1	1	5	1	1	0	2	3	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	23773	16881	6517	10755	5955	3512	3597	1796	1423	1603	1389	1035	799	1475	803	628	580	404	384	325	497	413	245	292	180	459	230	296	103	181	99	75	75	116	112	61	120	53	76	43	32	26	31	26	22	16	21	22	22	10	12	7	26	5	6	7	5	4	5	4	21	8	2	6	2	7	7	3	7	1	3	1	3	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	10997	9693	2888	6860	3542	1872	2097	845	648	874	756	557	389	923	469	330	329	205	213	173	337	263	142	144	93	313	124	184	51	102	54	40	41	70	65	38	91	20	56	21	19	14	24	16	10	8	9	10	19	3	7	4	22	2	4	5	3	2	4	2	18	3	1	4	0	5	6	1	4	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	23832	16922	6549	10757	5873	3523	3443	1762	1394	1621	1381	1013	772	1481	738	631	531	395	423	325	506	407	251	293	180	434	251	292	97	173	96	77	72	121	116	61	116	50	98	35	30	33	27	24	37	14	19	28	32	9	11	8	16	4	11	11	3	2	5	5	21	8	3	5	2	7	8	1	6	1	7	1	7	1	0	1	0	0	1	0	0	0	1	1	0	2	0	3	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	11085	9689	2887	6879	3446	1862	2062	828	636	886	772	540	369	954	400	324	300	207	225	175	332	261	149	154	91	268	140	186	47	100	54	42	35	79	69	39	85	21	77	18	16	18	23	14	18	9	8	17	27	4	6	4	12	2	6	5	2	2	3	2	18	3	0	3	0	5	7	0	4	1	6	0	6	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	23815	16710	6514	10813	5881	3511	3471	1803	1396	1632	1404	1017	746	1473	724	642	547	379	437	313	524	388	248	309	155	401	244	262	96	179	109	85	75	122	144	75	103	47	89	36	32	37	33	21	31	14	16	24	40	6	19	10	10	3	10	12	4	2	6	7	14	7	4	6	4	3	10	2	7	1	6	3	7	1	0	1	0	0	0	1	0	1	2	1	0	2	0	4	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
0.03	north10_active	80	11068	9531	2879	6814	3487	1900	2060	893	628	871	805	528	350	924	389	317	322	211	231	149	345	258	136	162	78	244	147	171	47	98	59	45	33	81	86	51	74	25	69	18	21	20	25	9	15	7	6	14	26	3	9	4	8	0	5	6	1	0	3	4	11	3	2	4	0	1	8	1	4	1	5	2	6	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north11_all	80	24079	16754	6489	11001	5756	3622	3649	1829	1354	1636	1521	1023	697	1345	786	535	636	391	468	334	463	404	253	340	194	296	285	208	90	193	81	78	72	152	109	69	112	52	113	21	58	29	36	14	22	29	18	25	28	16	16	12	13	8	7	7	6	7	5	4	3	3	4	4	3	3	2	0	1	2	2	3	3	2	2	3	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
0.03	north11_active	80	11055	9580	2891	6840	3344	1970	2177	822	593	850	850	526	340	802	454	279	368	185	266	158	298	243	137	220	102	167	184	128	40	124	44	42	40	107	62	28	68	27	65	15	40	12	21	5	17	10	7	14	22	5	10	8	5	1	3	4	1	1	2	3	2	1	4	3	3	1	2	0	1	0	1	2	1	1	1	2	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north12_all	80	23992	16583	6519	10916	5735	3546	3589	1882	1386	1589	1561	1042	705	1391	773	528	609	401	441	342	478	398	247	329	196	320	268	206	97	182	93	70	76	161	137	65	109	48	113	17	68	24	30	16	26	25	17	22	29	18	12	9	15	6	6	5	5	7	4	1	3	7	4	10	2	2	8	1	0	2	2	4	3	1	1	3	0	2	2	0	2	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	10967	9385	2917	6721	3405	1919	2133	885	586	861	857	552	333	839	417	292	341	192	241	160	314	231	131	211	106	204	165	124	42	116	56	37	42	131	96	31	64	22	73	9	49	14	16	7	17	11	9	9	21	7	8	7	11	0	4	2	2	1	2	0	2	5	4	8	2	1	8	1	0	1	1	2	1	0	1	2	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	24066	16412	6495	11170	5765	3531	3668	1880	1441	1635	1573	1031	717	1428	752	560	630	399	452	348	477	384	253	310	184	303	290	195	100	170	86	73	80	144	146	55	79	48	107	23	63	22	37	24	30	23	11	25	31	19	11	6	15	8	4	11	5	5	2	1	9	7	2	9	5	1	12	2	1	2	2	4	2	2	0	2	0	2	2	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	10972	9282	2867	6875	3459	1945	2208	863	605	894	856	539	328	884	413	298	361	192	244	168	307	245	146	207	101	172	176	106	47	101	44	38	39	112	100	28	42	26	68	12	46	11	22	11	17	9	7	12	21	7	6	4	12	1	1	5	2	1	0	0	8	5	2	8	5	1	7	1	0	1	1	2	1	0	0	2	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	23568	15917	6605	10343	5605	3432	3531	1834	1457	1555	1497	1007	727	1338	724	564	562	398	433	311	486	395	236	331	197	273	255	213	97	152	90	69	69	150	130	53	83	43	83	27	54	25	40	31	30	15	9	31	24	12	17	6	11	10	7	10	6	8	2	2	9	7	2	8	7	1	12	3	2	4	2	1	0	2	1	1	1	2	2	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	10607	8907	3002	6308	3293	1839	2115	867	619	855	819	509	315	831	385	300	313	188	226	161	301	253	131	218	102	163	145	126	54	77	45	40	32	98	97	34	48	25	60	11	37	13	23	14	15	9	5	12	12	7	8	3	8	3	2	5	3	4	1	2	8	5	2	7	5	1	7	2	0	2	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	23412	15371	6713	9909	5405	3378	3475	1740	1481	1528	1435	956	713	1285	694	548	584	391	405	281	503	359	235	344	181	286	272	178	98	136	72	65	58	134	90	53	91	43	58	30	54	23	31	32	29	16	15	35	28	11	24	4	26	6	11	10	5	11	2	2	13	6	2	1	8	1	18	3	2	3	4	2	0	2	2	1	2	1	2	1	3	0	0	0	1	1	0	0	0	1	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	10507	8513	3074	6169	3143	1781	2087	801	644	820	770	459	306	803	382	280	334	178	204	154	291	215	128	219	87	159	144	104	57	61	36	31	22	79	50	33	58	24	44	12	32	13	18	14	12	8	7	15	15	7	14	1	20	3	2	4	1	6	1	2	10	6	2	1	5	1	8	1	0	1	0	0	0	0	1	0	1	0	1	0	2	0	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	23383	15562	6732	9819	5385	3358	3409	1732	1483	1566	1384	993	721	1307	706	583	614	374	416	264	577	378	228	371	186	300	273	220	85	143	83	61	63	142	94	67	97	45	52	33	55	27	27	31	34	13	17	25	30	9	36	7	22	7	11	6	5	13	4	3	6	3	1	1	5	0	14	3	2	3	4	2	1	2	2	1	2	3	1	2	3	0	1	1	0	2	0	0	0	1	2	1	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	10456	8613	3138	6005	3127	1757	2008	805	652	856	769	477	315	845	393	308	345	168	202	134	344	238	115	240	99	191	148	147	47	67	41	29	28	80	51	37	73	22	40	13	28	12	13	10	18	7	9	11	17	6	27	2	15	3	2	2	1	6	3	3	4	2	1	0	1	0	9	1	0	1	0	0	0	1	1	0	1	3	1	0	2	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	23463	16044	6750	10107	5513	3466	3431	1753	1436	1622	1390	1019	730	1391	737	568	638	390	417	265	549	403	233	355	179	299	290	250	90	150	85	68	57	113	114	61	97	50	56	31	61	21	32	28	37	12	19	19	35	11	32	9	25	5	8	8	6	11	3	3	7	10	0	2	4	4	16	3	1	3	4	3	1	2	2	2	2	4	2	4	3	1	1	9	1	1	1	0	0	2	2	1	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north17_active	80	10644	8995	3085	6228	3176	1821	1994	836	619	882	757	526	336	878	404	313	354	186	214	129	311	250	113	218	95	193	151	163	42	70	44	35	26	73	66	29	70	23	48	13	30	11	21	8	20	3	12	13	18	9	28	3	17	0	2	4	0	3	2	3	5	4	0	0	2	3	9	0	0	1	0	1	0	1	1	1	1	4	2	0	2	0	0	9	1	0	1	0	0	1	1	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	23905	16629	6677	10577	5728	3461	3605	1863	1396	1663	1437	1099	723	1439	726	613	643	392	451	290	568	429	228	364	176	339	281	281	94	179	87	63	61	121	101	70	120	56	60	27	63	22	38	29	34	12	15	15	43	16	23	12	14	8	10	6	4	6	5	6	8	8	0	2	4	6	8	3	7	3	4	2	2	1	0	3	1	4	2	4	1	1	2	9	2	1	1	0	0	1	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north18_active	80	11028	9482	3076	6616	3342	1847	2077	903	593	906	796	579	335	951	393	345	352	200	227	136	352	267	117	241	93	222	158	186	42	77	39	32	30	84	57	33	88	23	51	10	36	13	24	10	20	3	11	11	27	8	20	6	7	4	2	3	0	1	2	3	7	2	0	0	2	4	6	0	6	1	0	1	1	1	0	1	0	4	2	0	1	0	1	9	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	23743	16816	6668	10823	5627	3541	3606	1862	1411	1657	1462	1048	698	1448	764	608	614	402	449	311	528	404	256	336	171	343	275	278	100	211	85	64	53	114	93	71	121	54	70	22	64	18	43	28	36	16	14	13	35	21	16	11	14	10	13	10	3	4	4	6	7	9	0	2	3	6	2	2	8	2	2	2	2	0	0	2	1	4	1	3	0	1	1	9	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north19_active	80	11028	9722	3028	6832	3273	1898	2100	909	599	873	832	547	325	937	424	336	329	196	241	155	313	236	138	203	83	209	161	171	42	99	41	35	27	75	57	41	86	26	50	8	41	14	27	13	22	4	7	7	23	9	13	6	10	7	4	7	0	2	0	2	6	3	0	0	2	4	0	1	7	1	0	1	2	0	0	1	0	4	1	0	0	0	1	9	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	23778	16749	6660	10766	5637	3525	3728	1792	1414	1581	1455	1032	696	1418	785	634	597	411	449	341	585	405	233	292	184	330	257	278	96	198	85	57	55	117	81	67	115	56	59	28	57	25	44	24	31	17	12	15	26	15	13	13	14	12	15	14	2	4	5	5	6	4	0	2	3	3	2	3	11	1	2	2	3	0	0	2	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
0.03	north20_active	80	11044	9635	2994	6786	3311	1875	2204	845	614	826	840	558	326	921	460	348	319	197	254	177	383	218	122	179	83	194	170	176	40	105	40	31	28	80	40	38	75	32	37	14	32	15	25	14	18	6	4	7	21	3	10	8	10	7	3	10	0	3	0	0	4	2	0	0	3	1	0	3	8	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	26217	20068	16067	8182	6680	3454	3684	3701	2172	1241	1049	886	1067	1205	546	540	502	676	389	569	320	588	408	183	185	305	230	177	156	96	100	142	82	66	64	84	55	71	31	41	45	48	30	35	15	25	16	42	22	14	19	12	23	13	10	21	8	9	12	7	3	4	4	5	5	4	1	3	5	4	2	2	5	2	1	0	1	1	0	0	5	0	1	1	2	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
0.03	south21_active	80	12911	12029	10188	4865	4101	1777	2230	2286	1265	599	477	427	594	733	249	281	250	407	207	326	182	403	284	85	75	200	140	102	98	50	48	99	40	31	34	40	24	57	12	25	29	35	15	21	11	14	10	29	13	3	16	4	13	7	3	12	5	3	10	3	2	1	3	4	2	3	1	1	4	4	0	2	4	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	south22_all	80	26322	20436	16320	8163	6671	3428	3641	3822	2204	1246	983	904	1088	1221	514	537	472	714	388	568	353	522	458	165	183	332	228	198	159	93	108	130	81	52	59	89	42	69	35	53	38	55	26	31	17	23	16	28	25	14	32	22	29	10	9	19	9	5	14	10	3	6	5	9	4	2	2	2	7	10	5	1	6	3	1	0	0	0	0	1	5	0	0	1	0	0	0	1	0	3	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0
0.03	south22_active	80	13098	12380	10437	4869	4089	1740	2214	2360	1286	586	466	413	637	731	225	275	230	441	210	359	190	367	321	75	81	217	136	110	100	51	55	77	41	20	32	45	21	55	13	31	21	42	14	15	13	10	12	15	13	4	27	14	19	6	4	10	6	0	12	3	2	3	3	7	1	1	1	1	3	10	4	1	4	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	south23_all	80	26314	20572	16674	8226	6723	3412	3663	3849	2190	1176	1018	871	1046	1218	510	519	472	677	395	598	331	566	469	165	158	324	200	185	148	98	116	121	80	53	56	77	43	81	35	46	30	54	16	32	24	27	12	30	24	15	39	19	24	8	7	18	6	2	9	10	2	4	5	10	5	2	2	2	7	8	4	0	2	3	0	0	0	0	1	1	4	0	0	1	0	0	0	2	0	3	1	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	3	0	0
0.03	south23_active	80	13099	12558	10597	4923	4156	1786	2199	2348	1266	546	489	396	612	740	218	270	237	397	213	410	167	407	331	74	81	212	108	96	84	55	59	71	39	21	34	38	26	54	11	23	14	35	5	16	16	11	11	19	11	6	31	15	18	4	5	13	4	0	7	3	1	2	3	7	1	0	1	1	3	7	4	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0
0.03	south24_all	80	26276	20517	16728	8211	6590	3399	3605	4068	2149	1199	1003	876	1085	1177	540	547	517	659	396	602	317	497	500	142	153	353	234	175	135	85	114	126	83	50	56	63	43	80	32	48	25	50	22	36	22	28	16	31	20	17	33	17	18	5	8	18	6	1	8	7	1	4	5	5	4	1	3	4	7	8	6	0	3	2	0	0	1	0	1	1	3	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south24_active	80	13011	12557	10564	4923	3978	1798	2109	2482	1237	545	471	399	636	718	232	264	263	369	214	412	150	343	342	69	90	231	128	95	80	46	56	73	47	23	35	34	25	46	10	23	11	26	10	19	15	15	15	17	13	7	22	14	13	3	3	8	3	0	5	2	0	2	3	3	1	0	1	3	3	7	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south25_all	80	26078	20479	16802	8330	6536	3352	3572	4029	2091	1152	1020	871	1057	1182	559	531	525	626	411	630	287	490	446	134	136	336	243	153	123	89	102	115	78	58	64	56	48	80	39	39	27	41	30	47	21	28	26	28	14	14	27	11	12	6	7	16	6	4	6	1	5	3	4	8	2	4	3	8	1	7	3	0	2	2	0	1	1	1	1	1	3	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south25_active	80	12864	12566	10596	5028	3944	1752	2097	2517	1190	517	481	390	618	738	262	254	278	320	217	450	135	330	289	79	69	213	147	90	70	47	47	66	42	33	37	22	25	41	12	18	11	18	15	30	12	16	23	14	9	6	18	10	6	3	3	8	2	2	3	1	0	0	3	6	0	3	0	7	0	6	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south26_all	80	26055	20282	16552	8225	6472	3268	3594	3892	2203	1143	997	906	1080	1109	570	544	524	639	408	626	297	520	436	147	149	336	253	138	108	93	84	116	68	62	61	57	56	74	44	39	30	41	41	39	20	29	28	27	16	12	32	10	14	9	6	16	4	5	5	1	4	3	7	7	1	4	3	7	1	0	4	0	1	0	0	2	1	2	1	1	3	1	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
