label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154
0.03	north6_active	80	17649	4825	6218	2723	4392	3592	1635	1055	829	680	934	483	435	619	504	419	393	521	387	376	287	293	146	203	117	121	102	122	107	69	123	62	167	50	121	43	38	89	28	31	45	28	54	39	43	35	20	20	23	32	32	21	19	15	22	10	17	10	14	4	10	5	12	12	6	13	19	8	9	6	1	2	12	2	4	4	0	2	3	5	5	4	0	1	2	1	7	2	1	1	2	2	1	3	0	2	1	3	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	32028	10547	10830	5477	7170	5705	3072	2122	1739	1439	1711	1005	967	1123	918	820	766	899	673	699	528	490	299	421	221	268	198	234	208	157	203	119	279	102	184	92	100	174	69	74	83	73	93	73	80	65	58	34	50	41	46	42	31	32	37	17	23	22	32	9	21	16	17	23	14	20	19	10	10	13	9	4	19	5	3	6	2	7	7	3	7	4	4	4	5	4	6	4	3	4	2	4	3	6	0	3	1	0	1	1	1	2	0	1	2	1	0	1	0	0	2	1	1	1	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	17843	4793	6256	2693	4407	3460	1643	1060	846	677	957	461	426	605	495	438	375	545	383	434	301	286	145	248	111	136	108	124	99	69	122	61	172	43	118	49	40	108	32	34	44	29	53	37	48	39	22	14	30	26	31	23	23	12	26	10	10	13	26	5	12	6	9	14	7	15	15	6	7	7	4	2	15	2	2	3	0	2	4	2	4	3	2	0	2	3	4	2	1	1	1	3	2	4	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	31993	10614	10629	5493	7095	5568	3087	2138	1666	1420	1667	1011	946	1107	928	856	761	927	656	697	530	449	294	420	247	261	194	237	206	172	208	130	241	104	189	89	96	163	72	78	82	67	76	60	101	75	49	45	47	63	52	40	34	22	41	13	23	23	37	11	26	22	12	16	14	17	19	9	16	21	10	4	10	6	3	4	5	10	5	2	5	3	4	1	3	4	4	4	2	4	4	2	3	4	0	4	1	0	1	1	1	1	2	3	3	0	0	2	1	1	1	2	1	0	1	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	17814	4817	6168	2690	4353	3406	1697	1064	799	689	918	462	435	610	494	458	383	585	380	431	314	256	153	229	108	123	97	118	91	72	114	65	142	49	126	41	44	98	36	36	48	30	42	30	63	48	15	16	27	41	38	22	20	10	32	8	13	11	31	5	13	7	7	9	8	13	11	8	12	10	3	1	7	1	2	1	0	3	2	2	3	3	2	0	0	2	3	2	1	0	4	2	2	3	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	31929	10611	10726	5456	6955	5550	3087	2144	1625	1403	1629	1051	944	1075	995	788	752	901	633	707	580	483	318	403	241	275	215	236	195	171	220	143	254	104	180	98	94	164	73	77	68	69	64	67	115	66	43	51	42	75	53	35	39	20	35	11	24	22	36	12	24	23	14	14	15	16	15	9	15	24	11	5	7	7	1	3	8	7	4	5	4	1	4	1	5	5	1	2	0	4	7	2	3	1	0	4	2	1	0	4	0	0	4	3	2	0	0	3	1	2	1	2	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	17722	4784	6201	2663	4275	3367	1701	1101	779	693	909	474	441	573	530	422	399	582	344	434	341	261	162	235	105	127	110	128	92	70	136	66	153	50	124	43	49	107	38	36	35	33	39	36	64	42	14	18	23	53	36	19	25	14	26	5	9	7	29	5	15	8	9	7	7	11	7	6	9	12	6	0	5	3	1	0	2	2	1	4	3	1	2	0	2	3	0	1	0	0	6	1	2	1	0	1	1	0	0	4	0	0	2	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	31993	10495	10733	5359	6978	5514	3083	2175	1606	1415	1657	1059	927	1059	998	774	752	881	661	693	532	495	323	404	271	267	195	224	180	143	248	161	208	102	176	96	97	139	82	86	83	64	65	65	106	62	49	51	34	84	73	26	36	16	37	14	28	29	31	18	25	23	13	17	13	9	25	11	14	24	12	8	6	10	0	1	6	6	5	4	3	2	4	0	5	3	0	1	0	3	7	4	0	0	0	2	3	1	0	3	0	0	4	3	1	0	0	3	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	17647	4775	6322	2622	4310	3428	1692	1092	747	687	929	476	444	551	525	429	419	551	359	416	309	249	158	229	107	118	90	121	87	62	158	70	113	48	117	38	62	87	42	43	44	27	45	39	63	35	21	19	16	63	48	10	24	12	27	8	11	14	25	8	17	8	9	5	7	5	14	8	9	11	6	0	1	6	0	0	2	2	2	2	2	1	3	0	2	2	0	1	0	1	6	3	0	0	0	0	0	0	0	3	0	0	2	2	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	35868	11394	12432	5786	8276	6902	3635	2317	1805	1563	1899	1094	1081	1161	1138	889	857	962	815	759	615	522	299	483	262	249	229	258	222	163	247	121	313	121	207	95	108	172	86	73	85	104	88	88	70	81	38	58	55	83	65	24	75	31	46	18	39	19	35	18	23	19	24	14	13	14	21	7	28	11	5	12	19	12	8	7	3	2	7	16	9	6	4	1	4	1	2	4	3	0	2	2	0	3	1	0	7	4	3	3	2	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	5	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north11_active	80	20681	5476	7536	3020	5376	4235	2100	1204	870	766	1066	528	563	655	673	506	488	577	497	444	357	319	152	296	143	136	101	149	114	72	131	55	192	64	139	48	55	114	44	35	49	65	51	57	37	54	18	28	31	25	38	13	62	12	28	7	22	11	31	11	11	7	13	8	9	6	7	3	16	5	1	8	18	9	7	3	2	1	5	4	7	4	1	0	3	0	2	3	0	0	2	2	0	3	0	0	7	2	3	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	5	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north12_all	80	36077	11432	12295	5795	8271	6679	3623	2285	1738	1525	1829	1117	1064	1166	1125	861	831	953	831	777	600	536	288	519	288	248	223	268	215	189	265	129	294	122	210	88	126	140	83	85	74	90	97	76	78	85	42	55	52	77	74	34	61	30	44	24	40	17	27	17	14	20	21	31	17	17	17	6	26	11	6	10	17	13	10	6	5	1	9	19	10	5	5	2	2	3	2	2	4	3	2	2	0	4	1	0	2	3	3	3	2	0	0	2	1	0	0	1	0	5	1	0	0	0	0	0	5	2	0	0	0	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north12_active	80	20800	5495	7371	2998	5317	4053	2085	1165	842	746	1010	545	561	671	656	496	466	563	478	449	371	309	141	318	154	133	100	147	118	90	138	59	177	62	144	48	64	95	45	51	46	52	65	46	42	63	20	27	30	28	50	21	45	14	25	10	25	11	24	8	8	4	11	14	12	6	6	3	17	7	1	7	16	9	6	2	3	1	5	6	6	3	3	1	2	0	2	1	1	3	2	2	0	4	0	0	2	2	3	3	0	0	0	0	1	0	0	1	0	5	1	0	0	0	0	0	5	1	0	0	0	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north13_all	80	36039	11427	12112	5836	8096	6583	3632	2285	1754	1635	1887	1134	1017	1198	1134	865	808	979	823	736	643	541	278	540	304	256	220	252	216	179	255	132	228	131	207	95	122	149	89	89	75	77	110	76	91	97	46	46	42	78	76	32	62	28	44	20	49	16	27	17	16	24	19	31	12	13	20	3	21	8	6	10	22	13	11	6	4	0	16	15	10	5	6	2	5	4	1	3	3	4	3	2	0	5	2	2	3	2	2	1	1	0	0	1	1	1	0	1	0	5	1	0	1	0	0	0	5	1	0	0	0	1	0	0	1	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north13_active	80	20837	5408	7172	3054	5043	4010	2109	1173	842	804	1059	548	501	686	651	498	457	566	468	438	409	304	119	348	153	128	95	146	110	87	144	56	134	70	127	48	59	94	46	56	45	47	81	44	61	72	25	24	23	40	49	17	41	15	26	7	36	8	23	9	11	8	11	14	9	4	6	2	6	4	1	7	21	10	6	3	2	0	6	2	4	2	3	1	3	2	1	3	1	3	2	2	0	4	1	2	2	2	2	0	0	0	0	0	1	0	0	1	0	5	0	0	0	0	0	0	5	1	0	0	0	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north14_all	80	35612	11376	12089	5847	8184	6622	3605	2332	1838	1588	1964	1116	1036	1184	1177	837	778	1000	847	762	629	560	270	484	297	265	201	239	204	176	249	123	223	136	166	98	112	166	88	92	83	71	101	89	85	88	41	44	36	87	62	35	40	26	45	24	54	18	25	14	15	20	13	40	8	18	19	5	27	7	10	8	18	12	8	9	6	1	14	4	8	4	5	1	3	9	4	3	4	4	2	2	0	3	3	2	2	2	0	1	3	0	0	1	1	1	1	1	1	6	1	0	1	1	0	0	5	0	1	0	1	1	1	0	1	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	20582	5370	7225	3004	5091	4124	2088	1189	885	782	1133	531	500	685	701	488	435	563	485	472	400	318	117	294	148	122	88	134	100	90	145	51	133	65	90	48	50	105	45	53	49	42	74	58	61	60	22	26	18	55	41	16	21	17	27	9	42	10	20	9	11	7	6	20	6	7	7	5	11	4	3	6	17	8	3	7	3	1	5	2	3	2	2	1	1	7	3	3	3	3	1	2	0	2	3	2	1	2	0	0	1	0	0	0	1	0	0	0	1	6	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	34274	11210	11646	5728	7847	6496	3455	2335	1797	1567	1918	1086	1010	1138	1147	851	770	933	845	728	624	528	296	457	289	250	199	218	198	165	249	128	223	136	128	91	107	161	73	85	90	74	121	99	87	78	38	42	44	95	51	33	38	31	40	24	43	18	20	15	19	15	13	22	4	20	16	10	23	8	6	8	17	11	7	9	5	2	14	7	5	7	5	0	4	7	4	4	2	3	2	2	3	3	4	2	2	0	0	1	2	0	0	1	0	1	1	1	1	1	1	1	2	1	0	1	0	0	1	0	1	1	1	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north15_active	80	19612	5221	6932	2948	4876	4060	1951	1159	843	758	1122	502	482	633	658	476	432	497	509	445	378	312	137	270	131	116	88	122	95	84	145	54	140	61	63	45	42	97	37	46	48	38	92	69	62	49	19	29	26	65	36	15	15	22	26	8	29	7	15	7	11	6	8	14	3	9	7	8	7	5	2	5	16	9	1	6	2	1	5	6	1	3	1	0	2	7	3	3	2	2	1	2	3	2	4	2	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north16_all	80	32988	10870	11281	5465	7602	6044	3229	2286	1821	1462	1798	1058	982	1122	1116	824	770	846	826	750	591	479	306	451	261	251	194	225	167	165	244	123	215	131	126	86	107	163	75	82	88	77	112	91	76	68	31	38	44	86	51	33	33	30	43	26	40	18	16	15	23	10	9	29	5	23	11	12	17	8	11	7	8	12	4	9	5	3	10	9	3	6	6	1	2	5	4	3	2	3	1	2	3	2	4	2	1	0	1	7	3	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north16_active	80	18534	5000	6587	2738	4720	3792	1760	1126	835	709	1037	490	469	618	669	463	435	447	503	463	349	265	151	245	115	117	101	126	81	72	128	60	122	55	69	35	41	108	42	34	44	41	81	67	48	44	13	27	27	49	34	15	21	18	26	9	24	6	11	9	11	5	5	21	2	8	6	8	8	6	2	4	6	10	1	6	3	2	4	6	0	3	0	0	2	5	3	2	2	2	1	2	3	1	4	2	1	0	0	6	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north17_all	80	31858	10589	10784	5286	7122	5638	3042	2177	1733	1391	1713	966	962	1157	1033	846	759	833	736	683	559	465	314	461	253	253	189	211	174	161	238	137	232	125	147	75	96	138	74	82	85	66	109	76	79	70	42	42	52	72	47	36	47	30	43	21	46	25	17	19	20	10	10	33	8	24	21	15	20	18	8	5	7	11	3	5	5	3	5	9	2	5	7	1	4	2	4	3	2	3	2	2	3	1	3	1	0	0	1	6	1	1	1	0	0	1	2	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
0.03	north17_active	80	17694	4780	6226	2687	4352	3451	1634	1043	763	649	985	443	488	615	599	476	407	451	440	394	317	259	143	252	104	121	107	109	85	70	132	68	139	51	84	30	40	81	41	31	40	35	77	54	39	46	15	31	26	34	30	20	21	18	26	7	27	9	8	11	8	4	5	22	3	13	18	7	10	16	1	0	5	9	1	2	2	1	3	6	0	3	1	0	3	1	3	2	2	2	2	1	3	1	3	1	0	0	0	6	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north18_all	80	31711	10444	10552	5208	7181	5600	3035	2151	1664	1419	1687	941	954	1114	1099	789	766	792	692	702	612	453	336	480	243	248	209	220	182	156	229	137	228	130	184	87	89	131	84	91	73	57	77	68	77	96	47	49	49	75	58	26	72	29	41	17	36	24	19	17	27	8	13	26	12	19	26	11	12	19	9	6	10	6	2	8	8	7	0	6	2	6	7	3	5	2	2	5	1	1	6	1	1	1	4	2	0	1	2	7	1	2	2	0	0	1	2	0	0	0	3	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
0.03	north18_active	80	17604	4707	6087	2613	4398	3420	1641	1030	737	644	935	421	471	601	617	442	413	435	399	402	362	245	155	273	111	125	120	105	96	68	120	70	147	58	107	36	39	83	42	40	33	31	44	45	34	67	13	36	23	37	41	15	23	15	22	6	24	10	4	8	13	5	7	18	5	8	20	3	6	15	3	2	5	5	2	2	5	3	0	3	0	5	1	1	4	1	2	3	1	0	6	0	1	1	4	1	0	1	1	7	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north19_all	80	32552	10691	10850	5345	7253	5873	3206	2221	1725	1424	1750	966	1003	1123	1154	828	738	820	722	698	643	453	319	513	272	247	239	220	208	159	219	144	252	113	189	89	100	156	78	91	80	67	91	60	86	95	44	58	48	68	45	28	68	31	51	15	37	27	25	17	31	11	14	20	14	25	28	6	17	17	4	8	13	6	4	8	7	7	4	5	2	4	6	3	3	3	3	5	1	3	5	2	1	1	3	2	1	2	3	5	1	1	2	1	0	1	2	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
