label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40
0.03	south25_all	80	1441	487	258	201	131	84	120	44	32	23	40	17	8	13	23	6	6	48	2	1	20	0	3	2	3	18	0	0	0	8	0	0	0	0	0	10	0	0	0	6	0
0.03	south25_active	80	752	117	69	83	29	32	82	9	10	11	36	10	1	2	16	1	6	48	0	0	19	0	3	1	3	18	0	0	0	8	0	0	0	0	0	10	0	0	0	6	0
0.03	south26_all	80	1442	483	273	182	132	70	102	49	32	24	37	17	7	9	16	8	9	35	2	2	20	1	2	8	3	16	0	1	0	0	0	0	0	0	0	10	0	0	0	6	0
0.03	south26_active	80	783	116	68	76	28	29	60	5	13	10	31	12	1	1	11	1	9	34	0	0	19	1	2	7	3	16	0	1	0	0	0	0	0	0	0	10	0	0	0	6	0
0.03	south27_all	80	1465	471	267	195	134	79	101	45	32	21	48	19	7	7	19	9	9	76	4	3	35	2	2	8	0	18	0	1	3	0	0	0	0	0	0	8	0	0	0	0	2
0.03	south27_active	80	795	113	69	83	32	33	61	6	11	6	39	13	3	1	14	1	8	75	1	1	34	1	1	7	0	18	0	1	3	0	0	0	0	0	0	8	0	0	0	0	2
0.03	south28_all	80	1440	466	262	193	138	80	93	45	36	18	53	18	9	5	13	4	19	97	4	3	23	2	3	8	6	3	0	1	3	13	0	0	0	0	0	0	0	0	0	0	2
0.03	south28_active	80	760	106	69	84	27	32	61	6	13	3	44	10	3	1	10	1	18	95	1	1	22	1	1	7	5	3	0	1	3	13	0	0	0	0	0	0	0	0	0	0	2
0.03	south29_all	80	1405	485	254	184	137	82	99	44	37	22	52	18	13	6	20	3	21	116	3	3	20	2	3	0	6	3	0	1	7	13	0	0	0	0	0	0	0	0	0	0	2
0.03	south29_active	80	749	105	74	76	30	39	60	9	13	4	44	8	3	2	17	1	19	115	1	2	19	1	1	0	5	3	0	1	7	13	0	0	0	0	0	0	0	0	0	0	2
0.03	south30_all	80	1386	491	252	193	136	86	81	36	34	22	50	17	11	5	12	4	26	121	1	2	4	0	3	4	7	0	0	0	7	13	0	0	0	0	0	0	0	0	0	0	2
0.03	south30_active	80	739	112	72	83	26	44	52	10	13	4	41	7	0	2	10	2	23	120	0	2	3	0	2	4	6	0	0	0	7	13	0	0	0	0	0	0	0	0	0	0	2
0.03	south31_all	80	1413	481	278	188	126	74	106	40	35	22	43	17	10	3	15	4	15	47	0	3	11	1	16	25	9	1	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0
0.03	south31_active	80	720	109	54	63	27	33	73	10	13	4	40	9	2	1	12	2	14	46	0	1	11	1	15	23	8	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	1402	466	286	185	108	73	107	33	36	25	36	11	8	8	15	2	12	70	1	3	12	1	4	24	0	17	1	0	0	5	1	0	0	1	0	0	0	0	1	0	0
0.03	south32_active	80	732	98	61	59	23	24	75	12	12	4	31	8	2	2	12	1	12	68	0	1	12	1	3	23	0	17	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	1429	481	293	176	103	83	92	36	34	28	37	17	6	7	8	5	13	57	1	2	57	6	5	18	2	19	1	1	0	7	1	0	0	0	0	0	0	0	1	0	0
0.03	south33_active	80	756	110	72	65	26	33	62	12	12	6	32	7	2	2	6	3	12	55	0	0	57	6	4	17	2	19	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	1371	496	284	183	115	76	83	34	34	29	55	15	9	9	14	4	13	82	1	0	57	6	2	9	7	51	2	1	0	3	1	0	0	0	0	0	0	0	1	0	0
0.03	south34_active	80	747	123	72	70	25	33	51	9	16	6	51	5	1	3	11	3	11	80	0	0	57	6	1	9	7	50	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	1355	489	291	157	120	78	84	42	37	28	52	18	11	11	10	5	11	51	0	0	52	6	2	9	7	50	2	1	0	3	1	0	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	761	132	71	66	26	38	54	10	18	10	48	7	2	5	7	4	9	50	0	0	52	6	1	9	7	49	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
