label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30
0.03	north8_active	80	98	175	31	20	10	7	14	6	3	1	5	2	1	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	484	328	124	67	29	34	21	19	6	9	11	7	3	6	0	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	135	244	42	22	4	8	6	5	3	2	9	1	1	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	476	379	125	67	36	23	23	19	7	11	27	8	3	8	0	2	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north10_active	80	142	291	48	28	8	5	5	5	4	2	24	2	1	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	501	431	131	85	50	37	22	18	10	7	45	7	4	6	1	1	1	0	3	0	0	3	0	0	0	0	0	1	1	0	0
0.03	north11_active	80	116	338	64	37	12	16	8	5	7	3	39	1	2	5	1	0	0	0	2	0	0	3	0	0	0	0	0	1	1	0	0
0.03	north12_all	80	502	440	131	77	40	44	18	16	9	6	45	8	2	7	1	0	2	0	3	0	0	1	0	0	0	0	0	1	0	0	0
0.03	north12_active	80	107	352	55	35	9	16	5	3	3	2	41	1	1	6	1	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0
0.03	north13_all	80	493	393	154	71	43	41	21	12	11	4	32	7	2	4	2	0	1	0	3	0	0	2	0	1	0	0	0	0	0	0	2
0.03	north13_active	80	118	311	62	35	10	12	6	1	4	1	29	1	1	3	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	2
0.03	north14_all	80	477	378	146	63	35	40	30	9	11	3	22	5	0	2	3	1	1	0	1	0	0	2	0	1	0	0	0	0	0	0	2
0.03	north14_active	80	129	279	60	27	6	8	12	1	3	0	20	1	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2
0.03	north15_all	80	472	311	136	71	36	35	25	10	10	4	22	4	3	4	3	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	2
0.03	north15_active	80	136	211	53	29	5	7	13	2	3	0	20	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north16_all	80	469	275	125	63	47	36	26	14	10	8	16	4	5	3	2	2	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	123	160	46	23	7	5	13	4	2	2	13	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	473	243	116	74	59	32	15	15	10	10	12	5	6	3	2	2	1	1	1	1	0	0	2	0	0	0	0	0	0	0	0
0.03	north17_active	80	106	128	42	22	13	3	8	4	5	2	8	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	482	255	118	69	58	27	19	12	10	10	22	6	4	0	1	1	1	1	2	1	0	0	2	0	0	1	0	0	0	0	0
0.03	north18_active	80	90	133	41	25	15	3	8	5	5	2	19	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north19_all	80	496	331	118	79	53	27	21	8	9	9	32	7	3	0	1	0	1	1	2	1	0	0	2	0	0	1	1	0	0	0	0
0.03	north19_active	80	102	227	47	31	16	5	9	2	3	1	25	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north20_all	80	515	412	121	85	45	34	21	10	11	11	37	7	2	3	0	0	3	0	2	1	0	0	0	0	0	1	1	0	0	0	0
0.03	north20_active	80	123	310	56	38	12	7	9	3	4	0	31	3	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south21_all	80	493	479	135	79	45	45	26	14	12	9	20	4	5	3	2	0	2	1	2	0	1	2	0	0	1	0	0	0	0	0	0
0.03	south21_active	80	128	389	59	35	11	13	16	5	7	3	17	1	3	2	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	507	407	128	86	45	45	24	14	13	9	22	5	3	4	2	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	127	331	54	33	11	11	12	5	5	3	20	1	1	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	496	368	122	73	45	37	28	12	11	10	25	6	3	3	2	1	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0
0.03	south23_active	80	114	291	49	28	11	10	12	4	4	4	24	2	2	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	497	361	124	68	45	27	26	10	8	8	17	7	5	3	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0
0.03	south24_active	80	110	271	43	25	9	7	11	1	2	2	17	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	south25_all	80	483	372	110	67	47	29	29	13	9	7	18	6	5	4	1	2	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0
0.03	south25_active	80	97	264	37	27	8	7	14	1	4	3	18	3	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	south26_all	80	477	406	117	69	51	28	27	15	9	9	13	5	3	3	1	2	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0
0.03	south26_active	80	108	295	40	25	10	9	15	2	6	3	13	4	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south27_all	80	486	398	107	58	54	32	32	15	12	10	16	4	2	2	1	4	2	1	0	1	1	1	0	0	1	0	0	0	0	0	0
0.03	south27_active	80	117	288	39	26	11	7	18	2	6	2	15	3	1	1	0	2	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0
0.03	south28_all	80	468	454	103	67	50	35	32	16	10	9	33	5	4	1	0	3	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	107	343	38	27	10	7	15	2	7	1	31	3	3	0	0	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	477	447	98	69	49	32	27	14	12	13	34	9	4	2	0	4	4	0	1	1	0	1	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	118	341	44	28	10	9	10	0	8	3	32	5	2	0	0	2	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	495	460	95	74	44	37	31	15	12	9	37	7	4	4	0	5	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	130	364	47	31	9	11	13	2	7	3	35	3	2	2	0	3	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	477	439	103	79	37	27	27	13	20	6	36	3	8	11	4	0	1	1	0	3	0	2	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	138	351	46	42	9	11	17	6	14	0	35	1	2	8	1	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	497	436	113	79	46	28	29	15	23	8	28	3	8	8	2	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	134	361	48	41	11	11	17	7	15	1	28	1	1	7	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	493	389	104	88	51	24	27	16	24	7	22	2	9	2	3	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	119	312	45	37	9	10	15	5	15	1	21	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	493	367	95	78	58	23	23	20	22	9	23	3	8	3	2	2	0	2	2	0	0	0	0	0	1	1	0	0	0	0	0
0.03	south34_active	80	112	296	38	28	8	11	11	8	14	2	21	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	472	329	104	76	56	23	23	15	18	6	15	4	6	6	2	1	0	2	1	0	1	0	0	0	1	1	0	0	3	0	0
0.03	south35_active	80	98	247	44	29	10	8	11	5	11	1	13	0	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south36_all	80	461	321	119	79	55	16	21	18	17	9	14	7	7	6	2	1	0	2	0	0	1	0	0	0	1	1	0	0	3	0	0
0.03	south36_active	80	100	232	44	32	11	5	13	8	11	3	12	0	3	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south37_all	80	448	346	125	79	49	24	20	17	17	10	18	7	5	5	2	0	0	1	1	0	1	0	0	0	1	0	0	0	3	0	0
0.03	south37_active	80	102	251	48	38	12	6	12	4	10	4	16	0	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south38_all	80	448	393	118	78	40	21	27	23	13	9	23	5	6	4	2	1	0	3	3	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south38_active	80	117	306	47	40	10	7	16	4	9	3	20	0	3	3	1	0	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south39_all	80	444	415	104	90	38	26	25	22	15	8	26	8	4	3	1	2	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	112	333	42	43	11	10	15	4	8	2	22	2	2	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	475	433	109	88	38	29	20	20	17	6	26	8	5	4	2	2	1	3	2	1	0	0	0	0	0	0	0	0	0	1	0
0.03	south40_active	80	114	353	51	38	10	10	11	2	8	2	24	3	4	2	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0
