label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31
0.03	north9_all	80	372	168	239	276	55	19	18	15	6	9	7	8	9	4	0	1	1	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north9_active	80	169	89	160	171	32	11	11	12	3	6	2	5	8	3	0	0	1	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north10_all	80	368	167	231	265	51	29	27	26	4	7	15	8	5	3	0	2	2	4	0	0	0	1	0	0	1	1	0	0	0	0	0	0
0.03	north10_active	80	169	84	161	157	28	14	19	19	1	2	6	5	2	3	0	0	1	3	0	0	0	1	0	0	1	1	0	0	0	0	0	0
0.03	north11_all	80	417	219	208	274	49	45	19	16	9	6	3	7	1	1	2	2	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	195	107	142	181	31	27	15	12	3	4	3	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	437	215	241	256	47	38	20	24	10	6	5	9	3	0	1	2	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	200	102	167	169	24	20	12	17	3	4	4	8	2	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	415	209	242	264	54	35	22	23	12	6	7	8	4	0	1	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	180	93	169	172	27	17	13	14	4	4	6	5	4	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	379	191	258	258	47	30	23	22	12	6	6	7	5	0	4	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	167	94	178	191	23	14	13	13	4	5	5	5	5	0	0	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	373	199	265	274	42	21	27	17	9	6	7	7	6	1	6	2	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	1
0.03	north15_active	80	155	95	171	197	24	11	12	8	4	5	4	4	6	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1
0.03	north16_all	80	378	181	284	273	45	25	30	15	11	12	6	8	7	4	5	3	0	1	0	2	1	0	0	1	0	0	0	0	1	1	0	1
0.03	north16_active	80	166	94	177	203	26	16	20	6	4	10	4	7	7	2	1	1	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1
0.03	north17_all	80	396	179	277	290	46	24	36	17	10	12	10	9	7	5	4	4	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	1
0.03	north17_active	80	156	90	176	215	27	15	22	8	3	9	5	8	6	3	3	2	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1
0.03	north18_all	80	418	173	264	292	57	29	26	20	13	13	9	6	8	4	3	3	0	2	2	0	2	0	1	1	0	0	0	0	0	0	0	0
0.03	north18_active	80	166	81	165	199	35	18	20	13	5	9	5	5	6	3	2	2	0	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0
0.03	north19_all	80	415	172	259	288	52	33	22	19	13	9	8	9	5	3	2	2	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	186	84	174	210	29	16	14	14	5	6	4	6	2	3	2	2	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	416	186	243	292	50	32	18	14	18	11	9	13	4	0	1	1	0	1	3	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	177	91	164	210	27	15	10	10	8	6	6	9	2	0	1	1	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	420	179	234	275	45	34	15	16	7	8	8	16	8	0	3	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	0
0.03	south21_active	80	187	88	145	188	29	21	9	7	1	6	5	15	8	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
0.03	south22_all	80	425	179	224	245	37	27	13	13	11	6	6	18	6	0	2	2	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0
0.03	south22_active	80	187	86	139	163	23	14	8	6	3	5	4	18	6	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
0.03	south23_all	80	392	174	201	204	31	28	13	9	12	5	6	15	5	2	3	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south23_active	80	175	82	127	132	19	15	7	4	4	4	2	15	5	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south24_all	80	389	173	217	205	35	32	17	10	13	9	6	8	2	2	1	3	2	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south24_active	80	174	83	139	144	20	15	11	6	4	3	1	7	2	1	1	2	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south25_all	80	389	177	201	183	39	34	19	15	11	10	7	8	2	2	1	2	2	4	1	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south25_active	80	169	92	132	121	25	16	11	9	4	4	2	6	1	1	1	2	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south26_all	80	387	169	212	173	46	44	30	19	10	9	8	7	1	2	0	1	2	4	1	1	1	0	0	0	1	0	0	0	0	0	0	0
0.03	south26_active	80	169	94	133	113	26	24	20	14	5	4	4	4	0	0	0	1	0	3	0	1	1	0	0	0	1	0	0	0	0	0	0	0
0.03	south27_all	80	411	169	258	200	57	36	33	19	7	3	4	9	1	3	0	0	0	5	0	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	south27_active	80	184	100	168	122	31	21	23	13	4	2	3	5	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	422	171	228	214	69	41	33	13	8	3	5	7	4	3	0	1	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	south28_active	80	196	101	145	132	33	23	22	9	5	2	4	3	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	421	178	240	291	55	36	25	15	5	4	3	6	6	4	1	1	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0
0.03	south29_active	80	194	106	156	166	29	22	13	7	4	3	2	2	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south30_all	80	416	180	234	346	63	32	17	15	4	7	9	8	8	2	1	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south30_active	80	192	96	154	199	29	17	7	9	3	3	9	1	6	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south31_all	80	400	176	199	259	57	20	27	18	9	11	12	9	4	1	3	3	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	south31_active	80	169	102	119	195	32	11	14	11	5	4	7	7	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south32_all	80	393	169	216	258	50	22	27	18	10	6	13	6	4	2	3	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	166	96	129	180	33	13	14	10	7	3	8	4	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	419	172	216	278	48	21	28	19	12	8	9	4	2	3	2	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	179	90	131	201	35	13	12	11	10	1	6	2	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	413	173	235	281	43	25	26	19	8	8	12	0	1	2	1	1	2	5	3	2	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	186	73	142	198	30	16	11	12	8	3	7	0	0	1	0	1	0	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	412	175	239	245	51	24	29	17	8	9	8	1	7	4	2	3	1	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	196	80	141	171	36	18	11	11	8	3	4	0	5	3	1	2	0	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	396	184	235	199	52	29	26	19	8	8	8	3	10	2	3	3	2	6	5	2	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	189	85	142	132	31	18	10	11	7	6	4	0	5	2	1	2	1	6	4	2	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	370	190	254	206	51	31	24	23	9	7	2	6	15	5	3	3	2	3	2	3	2	0	0	0	0	0	0	0	4	0	0	0
0.03	south37_active	80	175	94	155	140	23	18	10	13	8	5	1	1	10	3	2	2	1	3	2	3	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	377	197	266	228	43	33	25	17	9	10	5	6	10	4	3	4	1	1	4	3	2	0	0	0	0	0	0	0	4	0	0	0
0.03	south38_active	80	169	95	169	167	16	18	11	9	6	8	3	1	5	2	2	3	1	1	4	3	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	378	189	237	298	43	42	32	17	9	11	6	8	10	4	3	1	2	1	4	2	1	0	0	0	0	1	0	0	4	0	0	0
0.03	south39_active	80	175	98	142	235	18	21	17	8	5	7	4	2	8	2	2	1	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	394	190	223	311	34	39	27	11	5	10	11	7	6	3	1	1	2	2	3	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	south40_active	80	185	89	136	241	13	24	13	5	1	6	10	2	4	3	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
