label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59
0.03	south25_all	80	29044	14005	10165	7339	7827	6062	1717	1110	1054	1029	891	925	327	303	192	190	146	141	97	116	50	61	107	62	25	40	18	7	10	5	15	7	3	5	4	3	5	2	4	3	1	1	2	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south25_active	80	13365	6868	5703	4261	4948	3906	874	486	544	622	528	598	165	139	84	93	75	63	49	64	20	37	86	31	15	24	13	2	7	3	4	2	2	2	2	2	1	0	4	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	28563	13774	9831	7129	7587	5645	1735	1134	1008	997	844	945	332	290	187	189	140	141	87	106	46	62	91	75	22	34	15	6	8	0	24	5	3	4	8	3	7	2	2	3	0	1	1	5	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south26_active	80	13092	6706	5465	4055	4870	3524	873	513	500	565	493	610	160	130	84	99	79	69	53	57	22	35	69	44	8	18	12	3	6	0	9	1	2	2	2	2	1	0	2	1	0	0	0	5	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	28312	13471	9514	6811	7160	5118	1679	1119	958	969	779	956	311	264	201	171	135	161	74	95	46	64	77	87	25	27	19	12	9	3	43	4	3	5	9	2	3	3	2	2	0	0	1	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	12757	6555	5148	3886	4578	3178	810	518	462	522	449	596	143	110	99	88	76	85	43	46	23	37	59	56	8	8	11	4	6	1	12	2	2	2	2	1	1	0	2	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	27919	13176	9290	6516	6727	4918	1678	1113	904	900	755	927	282	266	203	182	123	148	82	91	40	67	79	82	27	30	24	21	11	4	37	6	4	3	9	3	4	2	1	2	0	1	0	5	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	12357	6366	4908	3621	4300	3004	791	540	429	460	451	587	125	118	103	102	71	79	43	49	23	36	58	56	12	14	11	8	5	2	11	4	0	2	1	2	2	0	1	1	0	1	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	27819	12938	9218	6550	6666	4916	1673	1140	917	891	797	815	263	268	190	186	126	139	90	83	35	54	58	63	30	29	26	23	12	6	35	4	5	3	10	1	3	2	1	3	0	1	1	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south29_active	80	12272	6207	4810	3628	4174	2966	778	556	429	460	480	539	115	124	92	104	71	76	44	42	21	32	35	43	14	17	12	11	6	2	10	4	1	2	1	1	3	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
