label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166
0.03	north6_all	80	11262	8456	2066	1625	1493	1070	759	700	685	545	1492	438	333	301	328	714	250	613	174	230	251	212	141	266	105	83	89	92	67	68	99	151	118	61	64	35	113	93	46	33	24	78	31	34	15	47	30	23	22	12	16	17	26	11	26	20	11	18	7	9	12	11	15	10	10	4	13	18	5	2	9	7	6	8	5	6	5	4	3	2	1	3	1	7	4	2	3	8	2	7	6	2	1	0	2	2	0	1	0	2	3	0	2	0	2	3	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1
0.03	north6_active	80	8282	7274	607	729	850	506	362	245	429	284	1359	297	140	80	196	650	131	556	41	167	190	156	63	232	22	35	34	23	19	21	69	124	99	39	45	8	100	77	19	16	6	68	9	19	6	28	21	8	15	6	10	10	19	5	12	14	1	13	4	6	9	3	2	2	8	3	12	18	3	2	4	3	5	3	3	5	2	2	0	0	1	1	1	6	3	2	1	7	1	4	5	2	0	0	1	1	0	1	0	2	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north7_all	80	11238	8454	2069	1606	1446	1054	775	719	676	548	1506	435	312	292	324	771	237	597	158	212	248	211	137	259	98	95	88	78	75	61	114	163	105	69	52	31	105	89	48	34	21	76	28	39	16	46	29	20	30	14	15	16	35	11	14	15	11	20	4	8	14	9	14	11	8	5	12	12	6	4	7	10	6	4	7	9	7	8	4	1	1	3	1	7	5	3	3	5	1	13	6	4	1	0	0	2	1	0	0	5	2	1	1	0	1	3	2	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
0.03	north7_active	80	8284	7307	610	716	833	496	362	259	429	277	1373	298	135	69	184	700	132	528	37	151	187	166	58	228	14	43	35	18	22	20	80	136	87	44	34	11	95	74	23	14	6	64	9	20	6	26	20	5	22	7	8	9	30	4	5	10	2	17	2	5	8	3	3	3	8	3	9	12	3	2	4	9	5	2	3	5	5	7	0	0	1	1	1	6	4	2	1	5	1	10	4	4	0	0	0	1	0	0	0	5	1	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
0.03	north8_all	80	11197	8576	2054	1572	1400	1066	805	707	720	544	1380	472	315	285	359	812	224	615	129	203	260	224	131	220	89	97	94	83	73	64	108	129	98	82	47	30	105	79	44	32	23	73	29	40	16	40	30	26	32	15	11	15	40	9	12	7	8	17	5	9	11	10	9	9	10	4	12	6	5	6	3	9	5	3	6	7	5	23	4	1	0	2	1	5	7	2	2	2	3	19	7	3	1	3	0	0	1	0	1	4	2	1	1	0	1	2	2	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
0.03	north8_active	80	8258	7453	604	744	818	494	351	259	461	285	1242	302	131	72	196	745	131	549	30	133	197	173	65	186	15	40	37	14	20	25	72	102	84	55	29	9	96	61	21	15	6	59	9	23	7	22	20	7	23	6	4	8	33	6	6	4	2	16	3	5	5	4	3	4	8	1	8	6	3	3	1	9	4	1	3	3	3	21	1	1	0	1	1	4	4	1	0	1	1	16	5	2	0	0	0	0	0	0	1	4	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
0.03	north9_all	80	11393	8862	2068	1610	1290	1062	852	678	742	549	1195	482	329	277	344	822	184	558	124	211	253	220	129	189	77	105	89	82	87	66	79	126	119	77	53	36	92	76	37	34	29	62	25	39	15	22	27	28	31	18	16	13	37	12	9	12	8	14	7	11	8	7	8	8	10	8	7	7	4	6	4	9	4	3	3	6	5	27	2	2	0	2	0	1	4	4	1	3	2	15	6	3	0	3	1	0	2	0	1	6	1	1	0	0	0	2	2	0	4	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
0.03	north9_active	80	8415	7730	574	749	739	503	366	237	503	294	1049	312	137	68	189	754	100	493	33	132	199	169	69	158	15	43	30	14	29	31	48	105	102	52	24	15	84	61	13	15	10	49	6	24	5	13	16	10	22	10	5	4	33	9	7	6	2	13	5	8	3	3	3	6	8	5	1	7	3	3	0	8	3	1	0	3	3	26	1	1	0	2	0	0	2	1	0	1	0	14	5	2	0	0	1	0	0	0	1	6	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
0.03	north10_all	80	11424	9003	1994	1597	1353	1038	829	653	802	543	1160	476	352	267	327	849	189	580	146	229	248	220	132	201	71	96	83	83	89	80	85	133	115	72	59	44	92	71	36	40	33	62	32	25	16	20	30	25	29	19	20	16	28	15	15	19	8	16	11	15	7	4	3	7	5	7	10	5	6	3	4	6	5	3	1	6	1	22	1	2	1	3	3	3	3	4	3	3	3	13	5	1	1	3	1	1	2	2	3	3	0	0	1	0	0	2	2	0	4	1	0	0	0	0	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
0.03	north10_active	80	8463	7860	526	739	759	493	368	214	555	280	1023	300	138	79	184	775	106	524	38	140	188	161	68	171	17	34	22	14	24	33	57	112	100	53	29	14	80	58	10	18	12	52	10	15	5	10	21	9	24	12	5	7	21	9	10	10	3	15	6	13	3	1	2	5	3	4	5	5	2	1	0	5	4	1	0	6	0	21	1	1	0	3	2	2	1	1	0	0	1	12	3	0	0	0	1	1	0	1	3	3	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
0.03	north11_all	80	11171	8264	2169	1691	1326	1060	819	612	736	571	1228	472	365	283	357	734	212	555	180	209	240	209	105	265	85	115	68	82	58	80	79	125	110	62	56	42	98	115	31	36	44	105	28	32	23	34	32	11	32	19	18	8	25	11	15	13	9	21	6	16	14	7	11	12	8	10	14	17	3	9	6	7	6	6	4	4	3	14	3	6	2	2	3	5	5	2	0	1	1	5	1	1	1	2	0	2	1	1	2	0	1	0	0	0	3	0	0	1	0	2	1	2	0	3	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	8026	7123	527	763	687	506	343	200	471	275	1084	307	134	80	233	660	111	494	44	135	193	150	43	223	22	47	23	15	23	33	50	101	95	41	27	15	86	101	9	16	19	92	11	17	6	20	24	2	24	14	9	2	22	9	5	8	2	19	1	9	11	3	3	7	7	5	14	15	1	7	5	6	2	2	0	2	1	12	0	3	0	0	1	3	2	1	0	0	1	1	1	1	1	0	0	1	0	1	2	0	1	0	0	0	3	0	0	1	0	2	1	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	11207	8782	2155	1672	1364	1016	801	620	776	561	1329	478	374	286	351	749	242	542	175	205	256	231	130	250	87	110	69	82	65	86	83	114	101	67	67	42	104	104	36	39	35	88	24	28	24	31	30	15	27	28	13	12	23	13	13	17	5	18	8	20	15	7	9	11	11	10	12	26	4	8	6	11	6	4	6	7	4	16	2	6	1	3	3	4	3	2	1	1	1	1	0	3	1	2	0	4	1	1	2	0	1	0	0	0	3	0	0	1	0	0	2	1	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	8129	7638	573	796	715	488	344	215	512	277	1184	308	156	89	230	676	133	486	40	141	215	165	59	216	27	42	23	15	29	38	52	90	87	48	36	15	90	90	11	14	18	76	11	13	5	14	22	4	20	21	7	5	19	9	6	8	0	16	2	12	10	4	3	7	11	7	11	23	2	5	4	9	2	0	0	3	2	15	0	5	1	0	0	4	1	0	1	0	1	1	0	3	1	0	0	1	0	1	2	0	1	0	0	0	3	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	11072	8767	2121	1667	1361	1031	793	638	788	561	1256	467	352	272	351	680	226	550	177	211	237	217	129	275	100	94	71	86	60	66	87	130	96	66	64	40	94	90	34	36	36	96	27	27	20	40	31	17	30	31	16	11	30	17	13	16	3	14	9	17	18	5	9	8	20	7	15	20	2	9	8	12	6	7	5	6	5	19	1	7	2	4	2	5	3	2	1	1	4	3	2	7	2	3	0	3	1	1	3	4	1	1	0	1	0	0	1	1	2	0	2	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	8109	7594	568	778	709	471	347	222	521	286	1113	309	150	83	219	602	109	494	38	151	201	153	61	250	29	36	17	22	21	33	53	110	83	48	36	13	82	74	9	13	15	87	12	17	3	19	22	4	22	23	8	4	26	9	5	7	0	10	4	9	13	2	3	6	19	5	14	17	1	5	5	10	2	1	1	2	2	18	0	5	1	1	0	5	1	0	1	0	1	2	1	7	2	0	0	0	0	1	2	4	1	0	0	1	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	10990	8814	2094	1623	1397	1011	801	650	820	545	1295	484	356	252	384	717	222	586	170	209	250	207	142	287	93	72	76	72	65	65	83	106	85	81	50	50	88	76	29	38	32	81	23	30	19	39	33	19	29	25	14	16	22	15	14	17	6	11	10	17	16	7	9	6	20	5	14	15	4	4	5	9	3	7	6	6	5	20	2	7	4	3	2	6	0	1	2	0	3	3	3	7	2	2	0	3	1	1	2	5	1	1	0	2	0	0	1	0	3	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	8024	7631	553	748	747	456	335	227	538	301	1163	330	155	71	239	646	108	528	29	144	206	150	69	253	28	23	19	18	23	30	51	91	67	58	25	13	77	60	5	18	14	76	7	15	4	23	21	7	22	19	8	7	19	8	5	10	1	9	7	11	12	3	3	4	18	4	12	13	2	1	2	7	2	3	2	3	2	17	1	5	2	1	0	5	0	0	2	0	0	2	2	7	2	0	0	0	0	1	1	4	1	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	11102	8692	2044	1606	1422	1035	800	629	769	542	1291	463	324	267	389	692	211	628	179	212	251	195	128	275	100	76	69	73	66	55	98	113	87	90	49	46	75	92	28	27	35	81	29	30	20	43	40	22	28	20	16	19	23	12	13	19	10	14	10	11	14	5	8	4	24	5	14	14	4	2	4	7	4	7	3	4	1	19	1	3	4	2	7	5	0	0	3	0	3	3	3	6	1	1	1	0	1	1	2	5	0	1	0	2	0	1	1	0	5	3	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	8190	7551	534	776	775	452	361	224	505	286	1158	318	137	73	242	625	91	563	33	141	198	147	64	239	25	32	17	16	22	27	62	102	69	62	27	7	64	73	4	18	16	76	11	12	6	32	24	9	21	13	10	7	21	6	6	10	2	11	7	8	9	2	1	3	20	2	13	13	2	0	2	5	3	4	2	3	0	16	1	1	1	1	2	4	0	0	3	0	0	2	2	6	1	0	1	0	0	1	1	4	0	0	0	1	0	0	1	0	3	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	11245	8730	2065	1638	1410	1020	836	630	772	551	1274	481	337	273	362	769	206	641	175	211	297	197	119	280	109	83	74	67	72	60	82	102	95	89	43	49	84	88	36	34	29	83	26	30	18	39	39	16	22	30	10	23	20	9	12	21	11	14	12	13	9	5	8	5	22	6	14	8	3	3	3	9	7	5	4	11	2	18	1	1	5	0	8	1	0	0	3	0	0	2	2	5	2	1	2	0	1	1	2	1	1	0	0	3	0	1	0	0	5	3	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	8322	7572	553	802	780	478	368	216	485	298	1146	317	153	78	215	694	92	575	32	136	233	141	58	234	34	36	19	13	24	30	53	92	76	61	24	13	74	71	7	24	10	79	12	15	7	31	21	7	16	23	7	7	17	6	8	12	3	12	9	8	4	2	1	3	19	2	13	7	1	0	2	7	6	3	3	7	0	14	1	1	2	0	5	0	0	0	3	0	0	2	1	5	1	0	1	0	0	1	1	0	1	0	0	2	0	0	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	11210	8635	2073	1677	1342	1044	835	624	740	562	1284	467	351	296	331	789	223	609	172	200	282	197	121	274	99	93	87	64	80	68	75	124	101	90	61	50	74	93	36	27	30	61	30	35	26	29	40	23	19	28	13	21	16	9	11	26	8	12	17	10	7	5	9	9	15	6	22	9	5	3	4	10	8	2	3	9	3	16	2	0	5	0	8	2	0	3	2	1	1	1	1	1	1	2	2	0	0	2	0	0	1	0	0	1	0	1	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0
0.03	north17_active	80	8288	7471	547	823	756	499	376	217	472	297	1147	315	146	80	218	720	105	551	34	128	228	144	53	230	28	37	25	12	26	33	48	113	86	58	40	17	65	76	7	15	9	54	16	17	10	22	27	10	13	21	6	6	13	6	7	16	2	10	12	6	2	2	3	5	12	3	19	5	2	0	1	8	7	2	3	5	1	14	1	0	1	0	5	2	0	2	2	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north18_all	80	11202	8813	2132	1669	1347	1038	838	612	755	584	1320	435	344	291	343	804	235	624	158	216	284	208	120	271	98	98	90	86	88	76	69	118	109	70	60	54	95	95	38	32	31	67	38	34	27	23	32	18	21	28	15	21	16	10	12	26	8	8	14	14	5	6	10	10	12	5	33	19	5	5	5	10	6	1	3	8	5	15	2	0	4	0	3	5	2	3	3	1	3	0	3	1	3	2	4	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
