label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179
0.03	north7_all	80	24052	11139	17316	7620	3907	4929	5822	2115	2067	3760	1361	1517	2234	1280	1446	900	670	877	563	540	463	415	385	357	588	374	254	297	219	199	232	218	425	141	121	148	266	122	263	103	95	96	128	74	85	66	57	53	70	106	59	48	45	30	101	55	47	29	32	27	33	22	30	27	49	54	22	19	18	23	28	18	16	31	13	28	12	10	10	8	11	8	15	7	10	6	10	9	15	9	10	2	10	8	1	1	5	2	5	3	1	4	5	3	5	0	6	2	8	1	1	2	0	0	0	3	6	1	0	0	1	0	0	1	0	0	0	0	3	0	0	1	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	8789	2541	15098	5460	949	3466	5056	471	1123	3266	333	950	1866	839	1141	554	182	595	126	157	118	122	154	111	454	237	50	184	57	82	137	113	382	47	26	58	231	80	239	24	43	50	73	36	34	28	25	17	16	90	6	24	21	10	91	35	24	24	11	18	24	14	22	24	46	46	13	6	1	16	22	10	4	30	9	24	11	7	8	2	5	5	14	6	7	1	10	6	12	1	10	1	5	8	0	0	1	1	4	2	0	2	5	1	5	0	6	2	8	0	0	2	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	24051	11114	16856	7709	3980	4829	5728	2084	2092	3570	1379	1522	2194	1298	1488	883	672	913	549	538	474	413	370	351	550	411	258	311	235	215	249	210	397	140	116	154	319	133	256	105	87	91	122	85	82	68	77	55	61	119	60	49	48	35	105	57	48	29	37	32	35	27	41	30	35	45	24	17	20	46	24	19	11	29	16	34	9	7	10	9	9	8	12	3	9	5	14	7	38	7	11	3	9	5	1	3	3	2	2	5	2	4	4	5	7	1	2	3	6	1	0	3	1	0	1	3	3	1	0	1	1	1	0	1	0	0	0	0	3	0	1	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	8714	2516	14665	5523	967	3447	4964	470	1107	3113	362	935	1841	848	1183	536	185	622	121	150	123	123	132	110	419	255	47	187	65	93	149	97	356	58	33	57	287	85	233	29	37	44	72	34	33	30	35	19	13	97	7	27	24	11	94	39	29	22	11	22	25	17	35	24	32	38	12	6	1	38	20	10	4	26	11	30	7	3	10	2	5	5	11	3	6	1	13	4	36	1	10	2	4	5	1	1	0	1	2	4	0	1	4	2	5	0	2	3	6	0	0	2	1	0	0	1	2	1	0	0	1	1	0	0	0	0	0	0	3	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	24099	11010	17173	7806	3892	4752	5726	2066	2069	3689	1367	1602	2151	1249	1544	940	673	875	560	530	469	387	388	357	550	385	254	307	238	223	234	229	407	141	124	163	285	146	256	106	89	82	123	88	70	69	86	58	53	95	60	59	42	35	77	50	50	34	29	26	37	24	38	33	30	29	34	12	18	56	38	21	8	18	16	33	11	9	16	9	6	5	19	5	5	5	12	11	52	3	4	3	9	3	3	4	5	3	1	4	3	4	4	5	3	1	7	1	1	1	4	2	2	0	2	1	3	2	0	1	1	1	0	2	0	0	1	0	2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	8769	2470	14933	5664	955	3398	4976	467	1100	3212	354	991	1811	806	1265	554	185	619	115	158	134	117	133	121	424	228	44	168	60	93	135	106	363	71	41	67	253	97	232	28	38	42	76	37	27	29	43	24	12	67	8	34	17	10	62	35	35	25	8	13	23	15	34	26	28	22	22	4	1	46	34	14	2	14	11	29	8	2	15	2	6	3	16	5	2	1	9	8	52	0	3	1	4	2	2	2	0	2	1	3	0	1	3	2	1	0	7	1	0	0	4	0	1	0	0	0	2	1	0	0	1	1	0	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	24016	11031	17418	7995	3923	4741	5812	2064	2104	3710	1336	1593	2114	1246	1508	945	672	836	541	508	479	363	397	352	509	356	274	336	232	211	237	231	397	150	146	151	308	152	210	109	87	92	123	88	69	71	79	56	52	93	53	62	40	40	75	40	43	29	34	26	33	28	32	25	24	31	39	9	16	60	29	18	7	13	13	17	8	12	17	8	3	9	21	4	5	9	8	11	45	2	5	6	3	4	5	4	4	2	0	3	4	3	4	5	2	2	6	3	1	0	4	2	4	0	2	1	1	4	1	1	0	1	0	2	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north10_active	80	8726	2523	15192	5808	958	3379	5066	445	1126	3232	333	1015	1780	809	1204	558	200	576	116	158	132	111	124	116	406	204	52	191	60	79	126	107	346	81	52	62	269	98	182	29	40	48	83	31	27	27	37	16	16	66	10	41	17	9	56	24	33	18	11	10	18	17	29	18	20	24	27	3	1	56	27	11	4	10	8	14	3	4	16	2	3	7	18	3	2	3	5	8	45	0	3	3	1	3	3	2	0	2	0	3	0	1	3	2	0	1	6	1	0	0	4	0	3	0	0	1	1	3	1	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north11_all	80	23960	10851	17450	7339	3877	4796	5675	2111	2192	3554	1357	1539	2106	1248	1641	918	616	841	532	481	446	401	355	364	581	358	244	339	217	224	203	206	409	191	121	151	218	135	207	85	115	83	107	82	84	75	67	68	57	108	42	46	45	44	106	57	55	57	38	38	29	29	64	41	52	23	42	15	18	22	22	11	9	22	13	40	21	15	19	4	9	20	27	9	10	3	15	10	2	1	11	6	7	17	6	1	2	5	15	0	1	3	5	2	1	0	0	0	5	2	2	3	1	6	2	8	0	2	0	8	0	1	2	0	0	0	1	3	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	8625	2448	15089	5111	863	3447	4806	455	1116	3037	320	985	1744	809	1338	567	150	567	103	154	118	122	118	109	454	212	73	211	55	78	110	102	360	77	44	66	178	75	167	24	61	43	74	37	35	29	36	28	13	79	5	28	16	13	91	31	41	40	7	18	25	20	51	23	43	21	36	6	7	18	17	4	1	21	10	37	17	12	16	1	3	19	25	3	8	3	12	5	0	0	10	3	1	14	5	1	1	0	15	0	0	1	3	2	1	0	0	0	3	0	0	1	0	5	1	7	0	2	0	8	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	23834	10919	17642	7573	3816	4896	5804	2088	2236	3693	1352	1504	2180	1229	1687	925	625	835	540	472	449	379	358	358	596	365	247	323	216	238	207	194	463	189	137	143	234	137	235	86	116	76	118	71	85	75	57	65	46	99	54	48	37	42	99	53	45	56	38	46	35	30	48	30	59	39	53	17	17	21	29	11	10	23	14	43	27	22	14	6	10	19	26	10	9	6	12	6	2	3	21	7	8	10	5	1	2	8	19	2	1	3	6	2	5	1	0	1	4	1	2	4	1	6	1	7	0	2	0	9	0	1	0	1	1	0	1	3	0	0	0	0	4	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	8811	2498	15361	5282	866	3591	4974	457	1179	3190	325	970	1815	804	1393	602	159	574	96	159	127	115	134	120	475	213	77	190	59	84	122	102	412	89	52	70	196	81	202	23	65	40	89	25	38	28	30	26	12	73	10	32	15	15	87	29	28	41	7	27	29	17	35	21	48	38	46	8	4	14	23	5	1	22	7	41	19	17	9	3	5	17	22	1	7	5	9	3	1	0	20	6	2	9	4	0	1	3	19	2	0	1	4	2	5	0	0	1	3	0	0	1	0	5	1	7	0	2	0	8	0	1	0	0	1	0	1	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	24042	11013	18008	7571	3732	5041	5881	2055	2212	3589	1357	1516	2190	1275	1761	936	655	862	546	446	478	372	395	367	572	359	261	343	225	238	207	188	498	177	143	137	233	132	249	95	105	90	111	77	79	71	54	68	43	119	58	51	40	46	91	51	51	48	30	47	47	32	36	28	36	56	44	15	14	23	31	9	8	26	15	21	34	26	26	10	5	25	24	13	8	13	11	3	4	3	21	6	8	11	4	2	3	10	21	2	0	4	3	2	8	1	0	1	4	1	3	3	0	0	1	2	0	2	0	8	0	1	0	1	2	0	1	3	1	0	0	0	4	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	8946	2590	15737	5290	846	3638	5023	479	1180	3100	322	930	1846	834	1473	620	163	597	100	135	139	106	144	133	457	211	67	201	65	71	111	108	443	75	48	73	195	77	212	30	52	43	83	25	34	23	25	26	12	95	10	33	19	16	80	27	33	37	5	28	39	17	23	19	29	52	38	6	3	14	28	4	0	24	8	20	23	22	19	5	4	22	18	5	6	9	6	2	3	0	19	6	1	10	3	0	1	5	21	2	0	1	3	2	8	0	0	1	2	0	0	1	0	0	1	1	0	2	0	7	0	1	0	0	1	0	1	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	24064	11001	18035	7647	3686	4928	5922	2109	2194	3786	1391	1538	2287	1269	1635	916	667	864	559	469	457	382	376	349	521	368	255	335	239	237	218	197	577	169	150	125	274	124	278	94	104	85	115	70	82	81	64	54	40	98	47	53	38	44	94	47	50	34	26	36	50	27	47	36	41	63	41	15	18	21	37	9	11	30	14	27	25	25	27	10	4	22	30	16	5	16	9	5	8	5	12	6	3	11	5	2	4	15	20	7	2	2	3	2	7	2	0	1	3	0	1	5	0	0	0	2	0	0	0	1	0	1	0	1	3	0	0	1	1	0	0	0	4	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	8956	2582	15788	5356	810	3582	5084	486	1148	3305	308	940	1942	838	1349	573	192	603	113	146	137	107	127	145	408	234	64	189	74	69	107	96	527	70	50	59	238	68	236	30	50	38	78	19	35	26	27	16	11	73	8	30	22	19	84	23	29	24	4	26	40	11	42	24	28	57	32	4	3	13	34	5	1	25	5	24	12	19	19	6	2	17	24	10	1	9	5	4	5	1	10	6	2	11	3	0	1	10	20	5	1	0	3	2	7	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	24160	10949	18123	7543	3719	4930	5910	2079	2185	3806	1382	1567	2316	1273	1543	938	684	861	561	463	438	403	376	367	534	388	266	350	232	228	220	201	563	148	153	135	277	133	264	91	103	92	96	72	84	77	60	60	39	99	48	58	51	38	101	41	52	41	27	29	57	30	54	33	43	57	56	13	17	32	37	10	10	30	14	28	14	17	29	8	5	13	29	16	5	12	7	4	15	5	8	5	6	3	2	2	6	15	3	7	3	3	1	3	3	2	0	0	3	3	1	6	0	6	2	4	3	0	1	0	0	0	0	1	2	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	2	0	4	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	9037	2627	15928	5294	837	3568	5093	493	1139	3329	306	973	1967	860	1288	583	192	593	122	134	125	115	123	139	420	227	58	200	64	70	114	98	513	56	43	56	241	82	228	30	48	42	62	23	35	23	28	18	12	79	6	33	28	13	87	19	38	35	5	17	46	11	48	24	27	50	48	2	3	27	35	6	4	25	5	25	8	10	22	6	4	8	25	11	2	6	5	4	12	1	5	5	2	3	0	1	0	13	2	4	2	0	1	2	3	1	0	0	2	0	0	3	0	6	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	24151	10948	18286	7643	3789	4882	5796	2065	2087	3869	1370	1625	2288	1314	1525	970	664	863	549	497	433	409	383	376	541	419	252	328	233	188	226	223	534	158	150	141	275	158	259	92	101	90	96	80	81	72	68	53	48	114	44	67	50	36	138	43	43	44	24	26	48	25	57	39	55	67	53	17	20	34	39	9	10	26	16	24	17	9	25	5	5	6	27	10	12	11	18	5	24	5	8	13	7	4	4	1	6	13	3	8	4	3	2	3	1	1	4	0	2	3	0	4	0	6	2	4	3	1	1	0	0	0	22	1	1	0	0	2	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	2	2	1	0	2	0	4	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
