label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168
0.03	north6_all	80	5419	1908	1514	1765	801	678	1031	985	309	259	574	249	185	337	167	212	121	136	217	80	81	108	87	46	93	79	64	46	63	62	73	61	39	52	73	73	44	20	32	49	17	14	17	19	31	13	22	18	11	15	14	36	21	15	4	4	9	8	6	13	3	3	7	11	20	10	8	10	9	2	3	1	4	5	1	4	4	0	5	1	5	3	7	4	0	0	2	0	6	0	1	4	2	3	1	2	1	2	0	0	0	0	0	0	3	0	3	0	1	1	0	0	1	1	0	0	0	0	1	0	0	2	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	3092	861	836	1114	422	369	668	605	140	117	377	132	98	200	92	133	50	63	141	45	26	62	56	22	45	50	30	24	40	36	45	38	19	23	51	50	18	12	21	37	5	5	7	11	16	2	12	10	5	6	12	24	12	12	2	0	5	5	1	9	0	1	4	6	10	5	3	6	5	1	2	0	2	1	0	2	3	0	4	0	1	2	0	3	0	0	1	0	3	0	0	4	0	1	0	2	1	2	0	0	0	0	0	0	2	0	3	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	5588	1981	1569	1955	825	709	1166	999	328	267	636	278	213	365	175	238	140	147	238	68	81	115	96	38	95	83	56	44	65	74	76	66	40	39	74	63	52	26	37	57	19	11	22	12	32	11	21	23	13	15	13	34	24	12	4	6	9	8	9	10	5	2	5	11	17	7	7	6	7	2	3	2	3	3	5	4	5	0	3	5	5	5	6	3	0	0	1	0	6	0	0	2	2	2	1	0	1	1	1	0	1	0	0	0	4	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	2	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	3226	885	845	1190	452	401	769	619	159	125	431	164	120	219	92	150	67	68	142	38	29	66	62	21	45	55	26	26	38	41	48	43	23	19	52	44	24	17	26	46	9	5	10	6	19	2	11	11	5	7	8	22	16	10	2	3	5	5	2	5	3	0	2	6	11	2	1	3	5	1	2	1	2	0	2	2	3	0	3	4	1	4	0	2	0	0	1	0	2	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	5853	2035	1661	2106	825	731	1253	1092	351	276	653	311	249	424	179	248	141	157	298	73	84	134	108	40	90	84	63	49	66	81	86	80	41	38	66	57	50	26	30	61	17	18	19	24	38	13	23	20	13	24	14	38	26	13	7	12	13	11	8	16	7	2	5	8	15	11	6	3	7	5	3	5	4	4	6	3	5	0	3	5	1	5	6	5	2	1	0	0	5	0	0	2	0	2	1	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	3398	936	903	1336	458	417	847	686	177	128	426	186	142	252	102	163	70	71	189	36	33	76	66	20	50	48	26	25	38	44	59	50	32	20	57	38	27	15	23	48	8	9	11	18	27	7	10	10	6	13	7	25	16	10	4	8	9	9	1	10	5	0	3	6	9	7	0	3	3	1	2	2	2	1	2	2	2	0	3	4	1	4	0	4	2	0	0	0	2	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	6038	2012	1698	2218	852	780	1318	1164	371	278	727	293	254	470	175	256	150	163	315	78	79	111	107	51	94	90	60	53	65	85	106	77	51	48	57	50	47	31	22	67	25	18	23	26	39	14	19	19	15	24	13	32	29	18	9	15	13	17	10	19	9	2	4	6	8	8	7	7	7	5	1	4	3	3	6	2	4	0	1	4	0	3	5	5	3	4	1	1	3	0	0	3	2	2	0	0	2	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	3487	953	939	1450	486	443	888	741	180	130	481	192	134	298	84	154	82	78	200	32	34	56	63	28	50	50	27	27	32	54	74	50	38	33	47	40	26	18	17	54	11	7	13	20	26	9	7	10	7	13	4	25	16	13	5	10	9	12	2	14	7	0	1	3	3	6	0	3	3	1	0	2	0	1	3	0	1	0	0	4	0	3	0	4	2	2	1	0	0	0	0	2	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	6070	1973	1653	2150	864	779	1262	1172	364	272	682	288	278	466	183	241	139	151	281	78	70	98	113	58	87	94	57	58	47	84	109	69	63	60	62	58	48	26	26	60	28	22	19	29	50	16	18	10	16	23	12	27	31	19	9	19	12	14	7	15	8	2	4	7	18	16	4	12	6	4	2	9	4	3	6	2	3	0	1	6	1	1	2	6	3	4	1	2	2	0	1	3	2	1	1	0	4	0	0	1	1	1	0	0	1	0	4	0	0	0	1	1	0	0	1	1	2	0	0	0	1	1	3	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north10_active	80	3566	950	933	1417	479	440	830	795	179	126	455	179	141	313	89	144	75	81	178	31	31	48	61	26	50	60	23	28	23	58	73	41	43	37	44	41	36	12	17	46	9	10	12	22	30	12	6	8	5	15	6	22	18	12	4	14	8	8	2	11	5	1	1	5	14	7	1	8	2	1	1	4	1	3	3	1	1	0	0	5	1	1	0	4	2	2	1	1	2	0	1	2	2	1	0	0	3	0	0	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north11_all	80	6170	1877	1652	2057	841	785	1128	1193	299	247	649	293	247	458	188	210	125	118	291	106	91	98	94	60	84	70	70	57	89	82	110	68	64	60	65	69	48	30	35	43	25	23	23	13	30	14	18	10	11	15	9	20	11	28	7	13	7	9	4	8	6	4	8	6	4	17	0	9	4	2	3	4	1	5	9	7	2	1	2	11	7	3	7	2	4	1	3	0	5	2	0	0	0	1	0	1	4	0	3	0	1	1	0	0	0	3	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	3642	920	903	1338	459	443	740	774	147	119	446	155	148	290	97	132	67	60	200	58	38	57	49	26	48	42	38	23	45	53	61	37	40	38	42	34	29	16	21	26	11	14	11	9	19	6	8	7	5	7	4	13	5	15	3	6	2	6	0	6	0	2	7	5	2	9	0	4	3	2	1	0	0	5	3	4	1	0	2	3	6	0	6	0	2	1	2	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	6176	1909	1649	2059	817	794	1097	1168	291	244	647	271	237	429	188	226	132	124	305	91	69	110	104	59	78	83	64	51	77	75	116	71	57	57	77	70	44	27	35	47	26	26	20	15	27	16	16	8	12	16	13	23	19	30	9	16	7	10	8	10	7	4	6	5	7	12	2	10	7	1	2	5	2	10	2	4	1	2	3	12	4	3	7	2	5	1	3	0	4	1	0	0	0	0	0	2	4	1	2	0	1	1	1	0	0	3	0	0	0	1	0	1	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
0.03	north12_active	80	3607	916	894	1362	443	464	715	777	135	115	451	150	137	268	95	141	71	58	205	48	30	68	57	30	37	50	33	20	40	43	63	42	39	40	49	35	30	14	23	27	14	15	11	10	16	8	8	4	4	7	7	15	10	18	4	6	4	6	3	8	3	2	5	5	2	9	2	4	5	1	1	3	1	10	2	1	1	1	2	1	2	0	4	0	2	0	1	0	3	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
0.03	north13_all	80	6165	1917	1680	2164	818	817	1139	1091	325	251	647	273	217	395	195	218	128	127	311	100	64	105	113	57	74	90	53	38	67	71	143	69	50	74	80	59	35	20	33	42	23	20	14	17	25	15	13	10	15	16	9	28	22	33	12	17	9	12	9	10	6	6	5	5	10	9	7	8	6	1	2	6	7	7	4	4	0	1	3	13	2	3	6	2	3	2	2	1	3	0	1	0	0	0	0	1	3	1	3	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
0.03	north13_active	80	3552	952	934	1421	428	481	711	734	154	110	459	146	127	230	96	137	68	62	218	51	32	64	68	24	32	58	29	16	33	39	86	46	34	52	52	31	22	11	17	24	15	11	7	6	14	8	7	5	7	8	4	19	12	26	6	8	5	6	5	8	3	3	4	4	5	5	4	3	4	1	1	4	4	7	2	2	0	1	2	3	0	0	4	0	2	0	1	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
0.03	north14_all	80	5909	1905	1605	2097	842	804	1060	990	325	254	605	263	218	374	176	232	139	122	295	95	59	86	127	62	66	95	51	34	65	68	139	64	41	78	71	50	33	18	30	41	21	14	12	20	32	15	11	13	10	20	8	27	25	30	8	16	11	9	9	11	3	7	3	4	7	11	7	8	7	2	6	5	8	7	2	3	1	1	4	12	3	0	9	2	2	2	4	3	2	1	2	1	0	0	0	1	3	1	1	1	0	0	1	0	1	0	0	1	0	1	2	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
0.03	north14_active	80	3341	936	885	1360	439	457	669	677	157	99	436	147	124	221	90	150	76	61	207	49	34	49	74	24	35	58	22	16	33	38	87	40	27	50	49	22	18	9	15	21	15	7	3	8	18	8	6	7	5	9	4	20	14	23	4	9	6	5	6	9	3	2	2	3	3	8	4	3	4	2	3	4	4	5	0	2	0	1	2	6	0	0	7	2	1	0	2	2	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
0.03	north15_all	80	5723	1884	1557	1921	830	778	996	952	317	246	540	267	203	358	168	213	138	108	271	90	66	95	119	70	69	92	50	35	60	78	114	79	37	78	77	52	35	21	29	42	20	10	9	14	35	12	10	15	8	23	4	21	24	17	10	12	10	9	7	10	3	8	6	6	4	8	7	6	7	3	6	3	8	4	2	3	3	1	3	7	2	1	6	2	2	2	3	3	4	1	2	2	1	0	0	1	0	2	1	2	0	0	1	1	1	1	0	1	0	1	2	0	0	0	4	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
0.03	north15_active	80	3230	905	875	1238	437	429	632	670	162	104	366	137	107	216	89	144	77	65	175	39	39	51	77	30	39	61	25	22	35	52	74	51	22	48	55	26	16	11	16	19	11	7	3	5	20	8	4	8	4	15	2	13	11	12	4	10	5	7	4	7	3	2	2	3	3	7	4	2	3	3	3	2	4	2	0	3	2	1	2	6	0	0	4	2	0	0	2	2	3	1	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	1	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north16_all	80	5665	1868	1503	1847	833	732	988	990	319	261	550	258	206	373	150	213	155	104	270	96	71	97	113	77	73	87	55	45	72	88	115	67	45	75	73	58	43	17	24	69	21	18	14	20	42	13	7	20	5	22	5	17	14	15	10	11	8	9	6	8	3	6	8	6	5	12	2	3	4	3	5	1	4	4	2	3	3	4	4	5	3	1	4	3	1	0	3	3	4	3	2	4	5	0	0	0	0	1	0	2	0	0	1	1	1	1	1	1	1	0	2	0	3	0	2	1	0	0	0	0	0	4	3	1	0	0	0	0	0	0	2	0	5	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
0.03	north16_active	80	3227	887	831	1170	457	401	637	710	155	113	358	127	110	227	93	131	86	68	180	50	37	49	75	32	42	51	26	24	44	63	69	38	29	46	57	31	17	8	15	44	14	8	4	11	26	8	3	7	1	15	4	12	6	11	2	8	4	7	3	6	3	1	3	4	1	12	1	0	2	3	2	1	0	2	0	2	2	2	2	5	1	0	3	3	0	0	2	2	3	3	1	0	5	0	0	0	0	0	0	2	0	0	1	0	1	1	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	2	0	5	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north17_all	80	5792	1876	1584	1907	836	756	1057	1063	325	262	619	259	226	397	164	222	149	114	258	107	74	107	113	77	88	84	62	40	77	82	103	61	49	63	64	54	48	18	23	66	25	22	16	18	41	14	7	19	10	16	9	25	16	10	8	12	8	7	5	10	5	6	9	5	6	12	2	6	1	3	2	1	2	2	4	3	4	6	5	2	3	1	2	2	2	1	2	0	2	2	2	4	6	1	0	0	0	2	1	2	0	0	2	1	0	1	4	0	1	0	1	0	4	0	2	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0	5	2	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
0.03	north17_active	80	3389	890	887	1216	464	416	692	769	164	113	381	139	130	237	96	132	81	73	157	52	31	51	77	34	48	57	31	20	50	58	69	33	30	40	48	29	18	7	16	44	14	12	5	11	28	9	4	5	2	12	7	19	8	8	1	8	5	5	2	6	4	2	4	3	1	12	1	3	0	3	0	1	0	2	0	2	3	2	1	0	1	0	1	1	0	0	2	0	1	2	1	0	6	1	0	0	0	0	0	2	0	0	1	0	0	1	3	0	0	0	1	0	3	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0	5	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
