label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155
0.03	south35_all	80	2122	1022	590	571	745	336	227	201	168	347	128	103	90	254	146	156	136	73	105	50	67	44	30	34	76	93	58	39	31	24	18	36	30	42	17	17	21	13	7	8	21	19	11	9	11	4	12	10	6	17	4	4	4	5	7	6	3	12	1	2	5	2	3	2	5	0	2	0	2	1	2	1	3	1	4	5	2	5	2	2	3	1	2	1	0	1	0	0	4	1	0	1	0	0	1	1	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0
0.03	south35_active	80	998	474	274	302	448	177	106	92	92	221	45	49	38	154	94	98	58	29	58	27	44	15	15	19	50	58	29	24	16	6	8	20	16	27	9	7	12	3	3	4	10	11	7	7	4	2	10	4	1	7	2	2	4	1	3	3	1	8	1	1	1	1	2	0	2	0	2	0	1	1	2	1	3	1	2	3	2	2	1	0	2	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	south36_all	80	2121	1024	574	588	775	341	225	195	164	389	129	110	85	281	159	174	152	73	106	54	82	40	32	36	74	85	54	42	29	22	16	35	32	46	19	18	17	12	10	8	25	21	15	11	11	5	10	7	4	19	1	5	3	7	5	6	3	11	2	4	4	4	3	2	5	2	2	1	3	1	3	0	2	0	4	3	2	4	0	2	4	2	0	1	0	2	1	0	4	1	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
0.03	south36_active	80	1026	499	267	324	485	168	104	84	84	249	55	42	38	184	99	117	72	31	58	28	55	17	14	18	48	56	28	25	14	7	6	25	18	26	9	7	10	3	5	5	8	12	9	8	4	3	9	3	2	9	0	1	3	6	2	3	2	6	1	3	1	3	2	0	2	1	2	0	2	0	2	0	1	0	2	1	2	1	0	0	3	1	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
0.03	south37_all	80	2146	1070	569	581	805	327	219	187	173	423	115	111	91	265	189	199	139	67	103	51	119	44	32	55	71	77	53	35	32	28	22	33	30	47	18	20	22	8	14	7	21	23	23	12	6	4	11	5	6	23	2	6	5	8	3	5	4	12	3	6	2	4	2	3	3	2	2	2	3	2	4	1	2	1	5	3	5	6	1	0	3	2	0	0	0	1	1	1	4	2	3	1	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
0.03	south37_active	80	1044	505	265	328	536	158	106	89	83	273	56	43	48	191	118	134	77	26	53	24	66	21	14	31	44	54	27	19	14	9	8	24	20	26	9	8	12	5	5	4	8	15	11	7	1	3	9	2	3	12	1	3	2	7	2	1	3	6	1	5	0	2	2	1	1	1	2	0	2	0	2	0	0	1	3	0	5	2	0	0	3	1	0	0	0	1	0	1	2	1	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
0.03	south38_all	80	2144	1092	612	601	910	344	228	176	181	447	109	126	94	295	219	192	145	61	110	61	134	48	32	64	72	73	51	41	31	26	22	36	29	52	20	17	19	11	13	9	17	22	21	13	6	3	9	4	4	18	2	8	7	10	5	5	4	16	3	4	1	4	0	4	3	2	4	3	3	3	5	1	3	1	3	2	4	5	2	0	3	2	0	0	0	2	2	1	0	2	3	0	0	0	1	0	1	0	1	0	1	2	0	1	0	0	0	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south38_active	80	1014	506	281	331	593	178	111	83	89	291	53	53	45	201	148	125	90	29	71	31	76	26	19	39	41	54	23	18	16	11	6	20	21	31	10	8	11	7	6	5	6	14	10	7	0	2	7	1	3	14	1	4	4	7	2	1	3	10	1	4	0	2	0	1	2	1	2	1	2	1	3	0	1	1	3	0	4	3	1	0	3	1	0	0	0	2	1	1	0	1	2	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south39_all	80	2245	1094	621	631	1012	355	218	188	178	444	107	123	113	337	243	231	169	56	120	72	150	44	32	69	89	71	49	42	34	25	26	35	29	38	16	9	17	12	14	9	24	21	19	14	9	1	10	4	9	21	4	7	8	5	7	3	7	15	2	7	4	5	3	4	3	2	5	4	2	3	6	2	2	1	2	5	3	3	4	0	0	1	0	0	0	4	1	1	0	1	4	1	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south39_active	80	1077	523	297	348	662	204	99	96	89	299	49	59	56	222	154	150	99	30	82	36	85	24	18	41	50	50	26	22	18	11	12	14	21	24	9	4	9	8	6	6	13	13	9	8	3	1	8	2	3	16	3	4	3	1	4	1	5	10	1	6	0	3	2	1	2	1	2	2	2	1	2	1	1	1	2	4	3	2	2	0	0	0	0	0	0	3	1	1	0	0	2	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south40_all	80	2266	1066	663	695	1043	373	231	189	174	541	106	137	113	358	282	229	185	61	129	74	147	43	36	65	87	104	67	46	40	22	24	38	43	28	19	11	19	14	16	7	19	21	14	12	10	4	7	4	9	16	3	6	6	8	8	8	8	14	2	7	5	7	3	3	2	0	6	5	3	5	5	2	1	0	2	6	0	3	4	0	0	0	0	0	1	5	1	0	1	1	2	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	1097	540	315	388	665	217	104	92	90	363	51	67	52	223	180	155	113	33	96	38	90	23	21	42	53	73	40	25	26	14	11	16	31	20	7	6	9	8	7	5	13	15	8	7	5	3	7	3	1	13	3	3	3	5	4	2	6	7	0	5	1	5	2	0	2	0	3	5	3	3	2	1	1	0	2	6	0	2	2	0	0	0	0	0	0	4	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
