label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79
0.03	north6_all	80	6641	3237	1702	1419	1481	2082	523	979	333	343	634	213	183	137	194	89	129	163	44	55	94	38	61	21	26	19	25	24	17	31	17	10	15	11	10	7	6	4	8	2	3	1	2	3	4	2	2	2	3	1	7	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	3196	1770	431	822	1088	1859	250	858	102	194	563	110	110	37	147	53	92	133	12	16	85	14	54	8	10	4	21	19	2	27	11	7	14	2	6	5	4	0	6	1	1	0	1	1	4	1	0	2	1	1	7	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	6594	3121	1684	1355	1361	1898	540	883	314	325	552	208	176	135	191	88	140	159	44	58	101	37	61	25	23	20	37	23	15	35	12	12	25	8	8	4	6	5	8	3	0	3	1	2	4	1	1	2	5	1	7	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	3052	1596	434	771	962	1671	249	749	96	179	478	110	96	36	140	52	101	121	11	17	85	11	52	9	8	6	31	15	3	29	9	8	23	1	1	2	5	0	6	2	0	0	1	0	4	1	0	2	3	1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	6535	2954	1664	1307	1292	1677	547	784	314	301	413	202	160	127	167	101	122	149	46	54	76	35	50	22	24	21	37	23	11	20	14	13	35	11	11	9	9	5	2	5	4	3	1	3	4	0	1	2	4	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north8_active	80	2888	1402	420	710	897	1421	239	635	91	148	340	98	78	32	118	57	86	114	9	13	61	10	38	11	9	8	32	13	3	14	12	8	34	1	3	7	7	0	0	4	1	0	1	0	4	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north9_all	80	6539	2915	1664	1290	1208	1540	558	744	290	268	430	194	172	125	159	98	96	134	53	56	75	30	70	22	24	21	32	22	13	21	17	15	31	7	11	9	16	5	1	5	5	3	0	2	0	1	1	0	3	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
0.03	north9_active	80	2832	1338	413	695	822	1261	240	593	84	132	356	88	84	32	104	52	69	95	9	19	55	10	59	8	5	6	26	12	3	15	15	9	30	0	4	8	13	1	0	4	1	1	0	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north10_all	80	6510	2925	1694	1329	1163	1533	513	801	312	267	435	184	174	133	159	95	104	131	62	52	83	34	86	22	23	23	26	24	12	13	19	13	27	9	6	9	15	5	1	4	6	3	0	2	0	1	0	0	1	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0
0.03	north10_active	80	2766	1334	442	698	770	1234	220	649	93	142	358	90	91	29	98	50	73	97	11	17	61	13	74	10	8	4	19	14	3	6	17	7	26	1	3	8	10	2	1	3	1	1	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north11_all	80	6831	3050	1666	1432	1405	2237	513	1120	283	305	636	180	159	112	217	98	130	146	41	51	86	33	56	25	25	28	36	17	7	17	14	9	20	9	9	5	13	3	19	8	4	4	2	0	1	2	2	3	1	6	0	1	0	1	1	3	8	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	3403	1636	370	861	1083	2009	268	988	89	187	566	93	93	30	170	57	106	122	13	14	73	17	46	12	7	15	33	10	4	16	11	8	18	3	7	3	10	0	13	6	2	2	1	0	1	0	0	2	0	5	0	0	0	0	0	3	7	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	6972	3184	1654	1445	1559	2279	542	1255	290	306	732	178	155	108	228	118	130	173	39	48	106	31	62	25	32	30	43	14	8	24	20	11	14	8	6	3	20	1	26	9	1	5	3	1	3	1	1	1	5	3	1	3	0	0	0	3	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	3619	1762	356	858	1217	2077	279	1125	89	188	655	88	88	35	175	70	107	149	9	13	89	15	54	11	10	15	39	10	5	23	16	9	11	3	5	2	17	0	23	7	0	2	1	0	2	0	0	1	5	2	0	3	0	0	0	3	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	6929	3264	1638	1410	1587	2273	538	1175	319	309	741	180	177	114	201	122	124	182	43	54	103	28	65	33	25	28	48	14	13	26	19	10	14	8	6	2	16	2	22	7	2	5	3	3	6	1	1	1	6	3	1	3	0	0	0	3	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	3602	1813	334	860	1252	2075	276	1064	107	192	674	91	111	36	154	70	95	152	10	18	87	14	56	12	8	13	38	10	7	26	15	7	12	3	5	0	15	0	19	7	1	2	1	2	2	0	0	1	6	2	0	3	0	0	0	3	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	6888	3314	1652	1367	1538	2172	580	1226	315	338	717	188	194	123	220	107	129	184	44	49	131	30	70	30	21	23	61	18	13	31	24	8	7	5	6	4	23	2	28	8	2	3	4	4	5	1	0	0	6	8	1	3	0	0	1	0	0	0	0	1	1	0	3	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north14_active	80	3544	1847	331	826	1183	1980	284	1110	112	213	654	102	133	31	175	58	100	147	12	13	112	15	58	10	5	7	51	11	6	31	19	3	6	2	4	2	22	0	26	7	1	1	0	3	1	0	0	0	6	8	0	3	0	0	1	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	6761	3258	1666	1356	1421	2046	540	1058	321	315	625	203	215	126	191	100	148	156	42	54	129	27	65	30	24	16	55	17	12	23	32	14	8	9	7	8	21	4	16	8	2	3	4	6	4	1	0	0	1	7	3	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north15_active	80	3274	1736	347	803	1041	1835	270	932	105	191	551	116	147	31	152	54	122	123	14	13	116	15	51	11	2	5	47	9	5	22	28	6	8	2	4	5	20	2	16	6	1	2	0	4	0	0	0	0	1	7	3	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	6630	3149	1705	1359	1339	1808	539	1031	298	319	548	194	214	121	187	101	141	135	42	49	109	31	73	28	30	21	53	19	8	17	36	18	11	6	5	8	14	3	16	7	0	4	3	4	3	1	0	0	0	8	3	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north16_active	80	3033	1603	394	789	940	1577	248	883	98	195	464	110	143	30	148	59	115	108	15	13	97	16	56	11	4	5	44	8	2	14	34	9	11	2	3	5	13	2	16	5	0	2	0	2	0	0	0	0	0	8	3	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	6509	3030	1759	1348	1209	1590	512	839	314	303	464	195	201	114	182	98	123	111	35	43	97	38	66	30	29	21	24	15	13	15	39	24	25	6	7	8	7	3	7	3	1	3	3	5	1	1	0	0	1	3	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
