label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84
0.03	north16_all	80	6002	2564	1536	1208	810	742	480	527	323	300	214	186	178	144	84	104	93	100	86	60	62	38	43	40	30	22	22	23	28	28	24	15	13	9	12	8	8	1	5	5	7	4	6	1	4	1	5	4	5	7	5	0	1	3	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	2968	982	466	554	319	470	184	351	191	157	74	67	89	69	25	47	49	66	36	19	20	15	27	19	12	11	9	14	23	13	16	3	6	7	8	1	2	1	1	2	4	1	1	1	0	1	5	2	2	5	4	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	6194	2532	1540	1159	784	744	484	503	333	280	205	195	171	127	95	112	110	91	91	54	52	30	41	34	34	19	27	24	30	20	23	17	8	10	12	7	9	4	7	6	6	6	3	5	4	2	5	3	3	7	3	0	0	1	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north17_active	80	3076	992	459	546	303	460	175	347	194	143	70	70	81	65	31	44	58	59	42	18	16	7	24	14	13	8	8	15	23	6	18	5	5	9	8	2	2	3	0	2	4	1	1	3	0	2	5	1	1	6	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north18_all	80	6254	2552	1525	1137	763	755	465	488	353	279	209	198	174	137	102	122	111	73	90	54	40	37	44	34	42	17	24	22	28	20	20	13	10	12	15	6	7	5	8	7	2	6	4	7	3	2	5	4	4	4	5	0	0	0	0	2	1	1	0	0	2	1	1	1	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	north18_active	80	3121	1039	459	511	304	460	188	339	202	132	67	65	85	65	32	48	51	42	47	16	14	9	28	17	15	6	7	12	20	7	14	4	7	9	11	3	1	3	1	3	1	2	1	5	1	2	5	1	1	3	4	0	0	0	0	2	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north19_all	80	6274	2564	1515	1136	737	725	452	476	350	288	215	179	159	152	98	122	118	76	73	42	39	44	50	35	46	21	23	24	25	18	12	12	7	12	12	4	13	7	8	7	3	5	3	9	3	2	3	3	3	4	4	0	0	0	0	1	1	0	0	0	1	1	0	2	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	north19_active	80	3158	1049	451	527	296	443	177	335	202	144	69	62	79	79	30	44	54	44	36	16	16	10	31	18	15	9	5	13	18	7	8	3	5	8	8	3	8	3	1	2	2	1	2	7	1	1	3	0	0	2	3	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north20_all	80	6320	2564	1527	1145	745	715	466	497	374	320	231	188	160	166	110	113	116	86	66	49	44	51	53	36	47	25	25	17	22	17	13	7	11	13	10	5	14	9	8	5	3	3	6	10	5	1	3	4	3	5	5	4	0	0	0	3	1	0	0	0	1	1	1	2	1	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	2	0
0.03	north20_active	80	3200	1007	454	528	305	440	180	346	210	171	79	60	68	89	34	45	53	54	38	20	13	15	34	22	19	13	9	10	15	8	11	1	7	7	7	3	9	3	2	2	2	1	3	8	2	0	3	0	0	3	4	4	0	0	0	1	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0
0.03	south21_all	80	6043	2569	1517	1112	823	754	450	478	377	336	224	194	206	154	133	96	114	104	68	67	44	41	50	40	29	17	25	25	25	11	15	8	13	10	12	7	18	7	3	8	3	3	5	4	3	7	3	4	3	4	1	1	1	1	1	1	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	3050	948	441	507	306	470	164	310	201	173	81	69	106	75	41	54	73	61	42	20	18	19	31	17	10	1	13	15	12	6	12	1	10	5	7	4	13	1	2	3	1	0	1	1	1	4	2	3	2	3	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	6044	2664	1523	1145	843	772	450	472	372	324	224	189	218	140	113	104	108	105	65	62	39	44	50	40	28	15	28	21	30	18	16	9	10	12	9	6	13	9	3	10	6	3	3	4	2	7	4	2	1	2	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	3062	1018	447	519	317	486	159	298	205	178	86	78	112	69	38	53	63	60	37	18	12	19	33	17	10	1	14	13	17	9	15	2	8	7	6	3	9	1	2	6	5	0	1	2	0	4	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	6011	2648	1513	1143	870	744	443	471	380	294	217	182	220	132	107	105	111	96	60	65	39	48	43	35	39	17	27	23	27	19	28	12	9	10	7	5	9	7	4	8	6	3	1	6	1	4	7	5	3	1	1	2	0	2	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	3017	994	453	521	317	455	151	290	227	159	84	75	109	72	42	42	65	58	33	24	16	22	26	16	16	3	13	14	16	12	24	3	4	7	5	4	4	3	1	5	4	0	0	3	1	2	3	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
