label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95
0.03	north17_active	80	2822	1287	727	650	579	401	243	196	172	130	82	88	72	68	74	75	40	43	34	35	20	14	27	14	14	18	15	7	13	17	7	4	5	12	5	1	7	6	6	5	3	2	0	4	1	3	0	1	0	1	2	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	5921	2667	1550	1230	1080	716	489	479	335	288	196	188	148	136	137	145	93	98	66	70	53	44	62	43	28	28	19	19	18	26	24	10	11	18	12	4	5	5	7	9	9	8	4	3	3	1	2	4	0	2	2	1	4	5	3	0	3	0	1	0	1	0	1	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north18_active	80	2852	1255	725	639	581	385	235	230	168	142	68	89	65	57	71	83	40	44	31	37	18	24	32	17	18	15	12	6	10	17	11	4	6	9	4	0	3	3	6	4	5	3	1	2	2	0	0	1	0	2	2	1	4	3	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	5991	2665	1511	1231	1110	758	513	441	334	293	189	198	161	138	137	142	91	91	62	69	45	46	54	45	27	27	21	19	17	22	20	13	11	17	11	7	10	5	3	7	11	9	4	1	3	2	1	2	0	3	2	0	3	4	3	1	1	1	1	0	1	0	1	1	0	0	0	0	0	2	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north19_active	80	2897	1277	708	626	606	419	235	210	170	154	70	93	71	66	68	77	44	38	31	39	17	25	30	20	18	12	11	6	7	15	9	7	4	8	3	1	2	1	3	2	6	6	1	1	2	0	0	0	0	2	2	0	3	3	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	5992	2641	1494	1301	1112	789	498	454	353	308	207	205	147	122	146	140	89	98	73	67	45	42	56	40	26	21	25	17	22	17	20	11	8	14	14	9	11	4	4	5	8	7	6	5	2	2	0	4	0	5	3	1	2	4	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	2	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	2913	1242	713	669	633	421	229	210	189	163	83	99	61	57	73	75	39	54	39	38	15	24	33	19	15	4	10	6	7	11	10	6	3	8	6	3	3	1	3	2	5	5	2	3	1	0	0	3	0	3	3	1	2	3	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	5109	2479	1802	1507	902	741	433	497	357	288	203	177	156	154	129	114	110	75	71	48	47	38	57	27	37	22	16	31	22	21	13	12	17	11	9	3	10	7	10	5	4	4	4	7	1	2	3	3	2	6	2	1	0	5	2	1	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south21_active	80	2131	1115	891	803	459	369	186	269	165	137	84	79	65	79	63	60	58	33	32	16	21	17	32	10	21	12	5	23	13	3	7	8	8	2	3	0	5	3	5	2	3	1	4	5	1	2	1	1	1	2	2	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	5181	2540	1785	1483	917	753	461	510	359	280	207	168	153	156	126	109	112	72	69	51	48	42	59	28	32	29	15	33	28	29	14	13	14	10	10	3	8	10	11	6	3	6	3	8	3	3	3	3	1	3	0	1	0	4	2	1	0	2	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
