label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45
0.03	south30_all	80	28865	18829	14513	6814	2927	2557	1218	827	1811	1059	966	234	325	447	122	133	82	40	59	63	31	17	30	11	8	6	14	4	5	0	1	2	4	1	1	0	0	0	0	1	0	0	0	0	0	0
0.03	south30_active	80	13508	10973	9176	4041	1516	1485	592	368	1211	699	595	104	189	312	62	78	46	23	38	38	18	8	22	6	1	3	8	4	3	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	south31_all	80	28595	18804	14286	6832	2918	2498	1230	812	1957	1002	1187	257	313	363	131	153	85	46	50	35	36	13	20	17	14	6	19	2	2	0	2	3	3	15	0	1	1	0	1	0	1	0	0	1	0	0
0.03	south31_active	80	13444	10897	8831	4026	1507	1433	576	373	1210	571	774	109	198	234	65	92	52	18	31	18	22	6	16	9	9	5	15	1	2	0	1	2	0	3	0	1	1	0	0	0	0	0	0	1	0	0
0.03	south32_all	80	28315	18147	13719	6527	2873	2481	1212	759	1924	991	1161	259	316	325	136	129	74	48	39	38	41	12	20	13	15	7	20	3	2	1	1	3	4	14	0	0	0	0	1	0	1	2	2	1	1	0
0.03	south32_active	80	13088	10262	8367	3812	1463	1414	552	349	1222	591	734	122	180	220	64	72	45	17	25	21	19	6	15	6	9	6	16	2	2	0	1	2	0	2	0	0	0	0	0	0	0	2	2	1	1	0
0.03	south33_all	80	27757	17207	12997	6175	2802	2445	1151	756	1788	967	1014	263	315	369	125	144	55	52	34	36	38	13	19	9	12	7	16	5	4	1	1	3	4	12	0	0	0	0	1	0	1	2	2	1	1	0
0.03	south33_active	80	12692	9597	7866	3602	1400	1369	514	345	1133	595	636	128	181	225	55	73	26	25	18	21	18	6	11	3	8	7	14	4	3	0	1	2	2	0	0	0	0	0	0	0	0	2	2	1	1	0
0.03	south34_all	80	27152	16543	12633	5821	2797	2394	1073	742	1656	904	871	265	314	318	119	147	66	50	35	32	32	18	18	14	8	8	5	6	5	2	1	0	4	11	0	0	0	6	0	0	1	2	2	0	1	0
0.03	south34_active	80	12073	9151	7566	3295	1369	1316	476	332	1091	561	538	124	181	183	55	70	29	25	22	16	11	10	11	9	5	7	2	4	3	1	1	0	2	0	0	0	0	6	0	0	0	2	2	0	1	0
0.03	south35_all	80	26990	16219	12410	5755	2759	2343	1039	762	1583	869	850	248	308	375	112	136	66	52	38	30	25	14	21	13	12	8	4	5	4	2	1	0	2	3	4	0	0	7	0	0	0	0	2	0	1	0
0.03	south35_active	80	11851	9005	7380	3326	1331	1270	460	328	1039	526	516	105	190	207	62	68	31	26	25	15	12	8	13	9	9	5	3	3	1	1	1	0	2	0	3	0	0	7	0	0	0	0	2	0	1	0
0.03	south36_all	80	26825	16552	12374	5791	2753	2265	1064	772	1643	881	804	231	275	378	96	139	70	54	37	39	25	13	14	15	11	9	3	5	4	3	1	0	11	3	4	0	0	8	0	0	0	0	0	0	0	0
0.03	south36_active	80	11766	9274	7331	3326	1332	1210	466	329	1037	538	506	84	168	232	51	85	32	28	29	23	8	8	9	13	7	5	2	3	1	1	1	0	11	0	3	0	0	7	0	0	0	0	0	0	0	0
0.03	south37_all	80	27096	17099	12655	5985	2829	2374	1098	801	1750	937	815	228	257	428	96	132	62	54	45	40	28	10	22	13	13	12	3	0	4	2	2	0	11	3	4	0	0	8	0	0	0	0	0	0	0	0
0.03	south37_active	80	11951	9717	7416	3466	1406	1273	494	337	1113	565	487	89	141	272	52	89	27	26	28	26	16	6	14	10	6	6	3	0	1	0	1	0	11	0	3	0	0	7	0	0	0	0	0	0	0	0
0.03	south38_all	80	27629	17709	13244	6360	2870	2394	1159	797	1677	1002	862	235	263	406	104	140	65	52	37	37	38	11	19	11	14	14	2	1	4	1	2	2	13	3	0	0	2	2	0	0	0	0	0	0	0	0
0.03	south38_active	80	12460	10111	8001	3764	1435	1333	540	338	1052	601	528	99	157	247	52	88	30	32	20	25	22	5	11	6	6	7	2	1	1	0	1	0	13	0	0	0	2	1	0	0	0	0	0	0	0	0
0.03	south39_all	80	28246	18547	13782	6687	2979	2493	1216	815	1680	1093	913	249	305	366	116	148	81	40	39	49	39	15	23	12	10	15	4	2	1	1	3	2	11	0	0	1	2	1	0	0	0	0	0	0	0	0
0.03	south39_active	80	12951	10767	8485	3963	1552	1370	557	359	991	644	553	113	188	216	54	93	36	22	20	36	23	6	11	6	3	9	1	2	0	0	2	0	10	0	0	1	2	1	0	0	0	0	0	0	0	0
0.03	south40_all	80	28570	18999	14142	6852	2980	2459	1222	857	1737	1114	951	260	338	384	145	162	86	41	34	53	39	19	23	11	6	10	5	4	1	0	2	3	11	0	2	1	2	1	0	0	0	0	0	0	0	0
0.03	south40_active	80	13222	11024	8788	4047	1547	1422	572	405	1044	694	578	121	210	234	78	100	40	22	23	36	26	7	11	5	3	7	0	3	0	0	1	1	10	0	2	1	2	1	0	0	0	0	0	0	0	0
