label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151
0.03	north6_all	80	15200	5210	2549	1508	2060	846	805	783	792	450	564	332	283	242	274	497	296	297	152	131	201	174	148	204	105	95	139	84	60	88	70	57	52	39	69	43	26	42	40	23	29	55	24	61	15	15	21	42	36	15	8	4	14	13	10	8	3	7	8	18	7	16	4	15	8	7	5	7	1	2	1	2	3	3	0	2	2	2	0	4	2	2	4	2	1	5	0	4	4	2	1	3	1	6	1	2	4	1	1	1	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	12650	3722	1507	584	1614	270	430	462	554	174	358	66	75	83	169	415	205	232	74	45	166	120	105	155	42	52	103	47	24	66	43	37	13	11	54	14	10	28	12	14	11	42	14	56	2	6	16	35	29	7	4	0	7	10	5	2	2	1	0	17	0	14	2	12	4	5	2	7	1	1	1	0	2	0	0	2	1	1	0	4	2	0	3	1	1	4	0	4	2	0	0	2	1	6	0	2	3	1	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	15124	5219	2538	1511	2008	877	830	733	738	471	592	338	265	246	287	494	283	302	161	148	190	175	146	220	111	95	124	93	68	92	64	50	59	39	76	31	31	41	41	22	26	49	28	48	16	18	31	47	33	15	13	8	14	8	14	12	6	7	5	18	8	16	5	25	8	11	5	8	0	2	3	2	4	3	0	2	2	1	0	3	2	3	3	2	1	4	0	4	5	3	0	2	1	1	1	2	4	1	1	1	0	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	12508	3721	1522	580	1581	268	426	437	504	186	369	73	70	77	170	415	183	242	71	53	149	117	93	176	44	50	85	64	27	69	36	35	17	6	54	7	16	21	13	14	11	38	15	43	3	7	23	38	28	5	7	0	9	4	6	0	3	2	0	16	1	14	3	23	4	7	2	8	0	0	3	1	2	1	0	2	1	1	0	3	2	0	3	1	0	4	0	4	3	0	0	2	1	1	0	2	3	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	15283	5237	2520	1554	2001	887	864	717	730	493	579	324	288	262	287	454	266	320	180	145	212	177	130	222	95	81	107	102	72	94	59	60	52	35	80	22	39	43	34	25	22	36	32	44	16	21	29	50	32	19	10	12	12	11	11	12	12	6	5	19	6	18	6	24	6	10	3	12	1	2	5	2	3	2	2	0	1	0	0	3	4	5	3	2	1	0	0	3	3	4	0	2	5	8	0	0	0	2	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	12619	3748	1510	586	1555	278	450	406	483	208	379	62	65	80	172	372	169	251	79	56	169	121	77	183	38	44	72	73	30	71	30	45	17	7	63	3	16	23	9	9	9	30	17	37	3	7	22	44	27	7	5	2	8	5	4	1	10	2	1	17	2	17	1	23	3	6	0	11	0	0	5	1	2	1	0	0	1	0	0	3	3	1	3	1	0	0	0	3	1	0	0	2	5	8	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	15128	5173	2578	1544	2020	919	888	695	720	464	583	339	295	251	307	453	256	308	188	150	210	188	140	211	92	79	105	108	72	90	66	70	54	31	73	22	42	49	39	20	30	46	27	37	16	21	33	45	30	20	10	13	11	16	11	11	13	9	5	16	6	17	7	24	6	10	4	17	2	3	6	4	3	3	2	2	2	1	1	3	2	6	4	2	1	0	1	3	4	3	0	1	4	8	0	2	0	2	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	12517	3731	1517	600	1577	308	451	383	477	184	371	61	72	70	193	372	162	244	89	56	165	129	88	178	37	40	76	76	31	65	44	50	19	8	57	7	16	28	13	3	15	40	13	30	5	7	25	39	27	7	4	3	8	9	4	1	11	4	1	15	2	16	1	23	4	7	2	15	0	0	6	2	2	1	0	1	0	0	1	3	1	1	4	1	0	0	0	3	1	0	0	1	4	7	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	15034	5204	2553	1542	2044	890	838	677	750	447	588	312	313	265	309	462	248	329	185	138	219	169	136	205	84	72	103	109	66	90	75	88	46	35	62	28	35	44	39	22	29	40	27	37	16	21	25	41	47	19	11	14	11	14	11	6	19	12	3	22	3	12	8	13	7	10	2	17	5	3	4	4	3	3	3	2	2	1	1	9	4	4	1	3	1	0	1	3	1	1	1	2	9	9	0	2	0	2	2	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	12495	3742	1513	584	1588	298	418	358	511	173	377	61	75	80	196	382	157	256	89	47	173	124	82	170	36	40	79	74	33	64	53	66	17	9	49	9	9	28	15	5	11	31	14	32	4	11	20	35	43	8	4	5	6	7	4	1	16	4	1	20	2	11	3	12	5	8	2	15	2	1	4	1	2	1	0	1	0	0	1	9	3	1	1	0	0	0	0	3	0	0	0	2	9	7	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	14739	5201	2657	1500	2106	937	847	764	748	450	529	331	308	282	300	457	304	352	160	133	252	194	121	290	97	123	129	82	70	86	57	78	45	39	74	44	36	35	27	31	25	37	32	58	17	19	32	26	39	15	14	11	8	9	9	10	13	12	3	12	8	8	7	10	8	4	5	5	6	0	11	5	11	2	0	3	4	2	0	3	2	4	0	2	3	1	3	8	2	0	1	0	4	3	1	0	0	2	1	0	1	0	1	0	0	4	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north11_active	80	12249	3732	1590	567	1649	294	430	438	488	160	336	74	76	96	180	388	222	292	74	54	200	128	78	260	56	75	104	52	41	60	36	59	12	16	63	11	12	20	13	10	9	29	18	47	6	5	21	25	37	4	6	2	3	8	2	4	10	2	0	11	6	5	2	7	8	3	1	3	2	0	11	3	7	1	0	3	2	1	0	3	1	2	0	2	2	0	2	8	1	0	0	0	4	3	0	0	0	0	1	0	1	0	1	0	0	4	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north12_all	80	14956	5239	2669	1507	2082	939	835	772	728	440	497	328	304	277	303	475	299	353	166	127	237	201	129	253	101	118	133	87	59	91	64	73	45	43	77	31	35	35	29	25	28	34	35	43	13	14	26	29	42	12	12	11	12	10	11	7	14	9	5	12	7	15	9	13	5	6	5	4	8	2	8	6	8	2	0	3	5	1	0	4	3	4	1	2	1	1	2	7	1	0	1	0	2	2	2	0	0	2	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north12_active	80	12490	3781	1573	574	1626	296	428	476	484	160	327	67	75	90	174	405	217	296	76	50	186	148	78	222	58	74	116	55	33	61	40	57	10	16	63	6	13	20	17	9	10	28	20	35	6	6	17	27	38	3	5	2	4	10	4	3	10	2	1	11	6	12	3	10	5	5	1	3	2	0	7	3	4	1	0	3	2	0	0	4	2	1	1	2	0	0	2	7	1	0	0	0	2	2	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north13_all	80	15039	5130	2629	1521	2064	947	837	752	706	450	489	352	287	264	307	499	286	332	172	128	204	205	125	214	102	113	142	103	56	92	53	74	44	43	99	33	37	39	31	29	27	37	33	51	16	17	20	29	35	15	12	10	14	11	9	8	19	8	4	6	7	17	7	11	6	6	5	5	7	3	8	5	7	1	2	3	4	2	0	2	5	3	1	2	1	0	0	5	1	0	1	0	2	1	2	0	2	0	0	2	1	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
0.03	north13_active	80	12570	3727	1538	574	1597	307	440	454	453	176	325	69	80	81	179	423	204	272	74	57	155	151	70	181	51	69	126	75	35	64	33	55	8	18	80	4	14	25	17	10	10	30	16	45	9	6	14	26	27	4	4	1	6	10	3	3	14	2	2	5	6	14	2	9	6	4	1	5	2	0	7	2	5	0	1	3	2	0	0	2	3	1	1	2	1	0	0	5	0	0	0	0	2	1	0	0	2	0	0	2	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north14_all	80	14920	5235	2580	1493	2023	937	864	718	724	462	465	361	294	270	300	527	274	321	171	131	199	192	124	199	81	98	135	93	49	96	44	82	40	40	102	30	31	34	28	35	22	55	25	51	15	19	17	37	40	19	6	9	13	11	8	8	19	4	4	8	7	19	7	11	5	9	1	7	5	3	8	5	4	1	2	2	2	4	2	3	3	3	1	1	1	1	0	8	1	0	2	1	0	1	2	0	2	0	0	2	0	0	1	1	0	1	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north14_active	80	12329	3805	1514	560	1556	290	449	428	486	186	312	64	75	81	180	448	192	253	84	57	143	150	67	166	38	62	114	62	26	70	28	62	10	16	77	6	14	24	12	13	7	42	9	43	8	10	10	31	31	7	3	1	6	9	4	2	16	0	2	7	6	16	4	9	4	6	0	6	1	0	7	1	4	0	1	2	1	2	1	2	2	1	1	1	1	0	0	8	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	15090	5229	2611	1526	1992	925	891	734	732	453	499	368	273	253	297	456	295	327	170	131	210	168	125	219	81	96	135	102	62	96	48	75	38	43	96	32	28	31	28	33	26	62	27	49	15	16	20	37	40	19	8	12	7	10	12	8	20	3	5	10	7	11	6	18	5	9	0	6	4	2	7	3	4	3	3	0	2	4	3	2	3	1	4	3	1	1	0	13	1	0	2	2	0	0	2	1	2	0	0	2	1	0	2	1	0	1	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north15_active	80	12455	3817	1550	559	1535	269	446	426	487	186	330	69	69	85	184	370	201	261	87	51	158	132	77	184	35	64	113	69	35	73	34	59	10	13	70	6	9	21	8	9	10	50	7	42	6	7	12	30	31	8	2	2	4	7	7	0	17	0	4	9	5	9	4	18	4	6	0	5	1	0	6	0	3	1	1	0	1	2	2	0	1	1	3	2	1	0	0	13	0	0	1	1	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	15010	5122	2641	1528	1979	900	873	723	726	457	524	350	265	250	298	436	280	361	186	131	214	157	116	198	94	102	142	99	66	81	56	79	32	37	86	33	24	38	28	26	32	74	24	52	14	19	24	35	34	19	10	12	11	12	13	9	24	3	5	9	8	4	9	15	6	6	1	7	6	3	7	2	4	3	4	3	2	4	3	2	1	0	5	3	0	1	0	11	1	0	2	3	1	0	2	1	0	0	1	2	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north16_active	80	12349	3692	1558	571	1542	255	442	404	499	179	354	72	69	90	173	356	191	288	98	43	157	119	75	168	49	70	117	58	33	62	35	62	9	10	66	6	9	25	8	8	10	60	8	45	4	10	15	27	27	9	3	1	7	8	8	0	20	0	4	9	5	4	6	15	4	4	0	5	3	0	6	0	2	1	1	3	1	2	2	0	0	0	4	2	0	0	0	11	0	0	1	2	1	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	15202	5088	2662	1552	1951	910	859	772	768	415	529	347	283	250	330	431	308	359	190	130	236	172	133	209	103	112	139	95	62	68	68	78	37	37	69	31	27	48	26	23	33	70	32	44	15	16	18	35	33	15	17	12	12	11	17	11	19	4	4	8	5	5	10	17	5	7	2	9	5	2	8	2	3	2	2	3	2	0	1	1	1	1	5	4	1	0	0	13	2	2	4	2	1	0	2	1	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	12533	3649	1568	586	1504	285	438	434	523	156	350	84	68	87	207	351	217	289	97	46	179	132	81	170	52	75	109	58	30	50	45	61	6	11	55	6	7	30	4	6	10	56	14	38	3	7	10	30	25	8	5	2	9	7	8	3	16	0	3	8	2	5	6	16	4	5	0	7	3	0	7	0	1	1	0	3	1	0	1	0	0	0	4	2	1	0	0	13	0	0	2	2	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	15178	5007	2672	1548	1956	932	879	747	740	433	493	334	303	261	309	450	307	379	201	129	228	187	128	194	102	118	152	84	57	65	63	77	45	38	69	31	36	53	30	22	35	63	27	50	14	14	18	26	29	16	17	8	9	13	14	15	17	6	6	12	8	3	9	23	4	5	2	14	5	1	3	2	6	3	3	6	1	1	1	1	2	1	5	3	2	0	0	5	2	2	3	1	2	0	1	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north18_active	80	12571	3553	1570	598	1523	298	450	408	499	161	321	83	72	87	184	364	218	300	108	51	174	136	77	151	53	75	115	48	31	50	41	58	6	13	56	9	9	34	5	8	7	52	14	42	4	7	9	21	21	6	6	2	7	9	8	5	13	0	2	8	2	2	6	21	1	3	0	12	3	0	3	0	5	1	0	6	0	0	1	0	0	0	5	0	2	0	0	5	0	0	2	1	2	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north19_all	80	15252	5087	2599	1566	1908	930	866	705	790	455	484	356	312	269	311	514	319	353	197	144	227	200	124	185	116	98	147	92	50	78	61	86	45	48	63	30	32	47	30	26	29	62	25	46	11	19	17	32	31	18	17	6	11	15	12	13	22	7	8	28	9	6	10	19	3	9	2	14	2	1	6	2	14	1	1	3	1	1	1	1	1	1	7	3	3	0	0	5	1	2	4	1	5	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north19_active	80	12704	3612	1546	596	1472	310	458	381	540	166	305	77	69	90	189	425	228	277	111	65	178	147	75	141	55	59	110	54	26	59	39	65	7	17	54	9	8	26	4	11	5	53	16	40	2	6	7	29	25	10	7	3	8	10	6	6	18	1	3	22	3	5	4	17	0	7	0	13	1	0	6	1	12	0	0	3	0	0	1	1	0	0	7	1	2	0	0	5	0	0	3	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
