label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137
0.03	south26_all	80	41819	21519	10044	5377	9047	3326	2556	2191	2377	1523	3071	1182	1211	956	984	1176	691	776	654	627	497	485	645	446	224	271	287	377	245	167	147	129	118	158	142	74	102	87	57	133	64	52	53	44	54	36	35	32	54	22	35	28	33	34	13	20	23	9	18	14	8	12	17	21	13	4	7	7	4	11	3	2	5	4	1	5	4	3	12	4	3	4	6	2	1	2	1	3	1	0	1	5	6	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
0.03	south26_active	80	30914	16776	6014	1485	7665	1014	552	593	1483	469	2641	482	747	427	654	943	424	536	452	457	320	326	533	331	76	159	211	323	201	88	92	43	40	111	107	17	60	38	35	105	42	8	10	22	41	7	12	23	39	8	27	20	28	12	4	13	19	2	15	5	3	6	15	13	7	1	1	5	1	6	2	0	4	1	0	0	1	3	12	1	3	2	6	1	1	2	0	2	0	0	0	5	5	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
0.03	south27_all	80	41435	21593	10097	5437	8865	3252	2600	2210	2364	1515	3078	1119	1168	927	972	1182	709	780	643	630	492	482	701	484	224	263	272	325	231	158	135	121	113	171	151	67	116	78	55	139	65	57	48	51	57	35	30	23	41	20	31	20	37	22	12	13	20	9	19	16	9	7	13	14	10	5	4	9	6	11	2	2	9	5	4	3	4	7	13	3	5	4	12	3	1	1	1	1	2	0	0	5	6	1	2	2	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
0.03	south27_active	80	30671	16775	6025	1550	7454	1004	552	631	1500	460	2639	430	716	411	645	923	444	543	420	446	311	339	593	374	79	150	188	273	185	78	78	38	42	119	110	17	72	27	35	110	37	11	10	25	39	8	11	16	30	8	25	14	30	12	1	9	17	3	17	5	3	1	11	8	6	1	1	6	1	6	2	0	7	1	2	0	1	6	13	0	5	2	12	1	1	1	0	0	0	0	0	5	5	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
0.03	south28_all	80	41377	21574	10046	5514	8612	3193	2634	2195	2338	1484	3254	1161	1168	923	991	1201	733	743	644	643	475	454	622	464	230	288	264	317	244	156	172	117	107	167	163	66	111	78	66	137	62	57	51	46	64	29	23	26	38	18	37	21	34	27	14	12	26	11	14	19	5	7	14	8	14	9	4	7	6	6	1	4	13	2	3	2	3	8	7	4	3	1	7	1	1	0	0	1	3	0	0	0	1	2	2	2	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0
0.03	south28_active	80	30623	16767	5924	1591	7206	961	553	610	1486	441	2834	464	715	402	672	945	452	525	415	453	303	325	521	364	80	161	178	271	191	85	99	35	41	118	122	19	73	33	42	109	26	13	13	27	45	8	5	14	26	5	33	13	26	15	2	8	24	4	12	5	2	2	9	4	6	3	2	4	1	1	1	2	12	1	2	0	2	7	7	1	3	0	7	0	1	0	0	0	0	0	0	0	1	1	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
0.03	south29_all	80	41250	21390	9823	5509	8382	3132	2644	2156	2307	1478	3186	1166	1217	900	996	1212	752	787	672	653	471	452	613	473	235	293	273	387	253	165	170	129	92	174	144	76	116	71	70	113	74	51	48	58	60	29	24	25	39	16	61	17	36	32	18	13	23	11	55	21	11	8	13	13	8	11	4	7	4	8	1	4	10	3	4	2	4	10	2	1	3	1	6	1	1	0	0	1	4	1	0	0	4	2	1	0	1	1	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
0.03	south29_active	80	30467	16580	5785	1589	7026	967	568	605	1433	450	2756	482	749	380	646	956	449	558	458	465	298	329	517	372	71	171	168	335	192	86	99	46	40	123	108	26	80	35	43	90	36	15	9	35	41	10	6	12	26	4	57	8	28	18	3	8	20	5	52	6	2	3	8	9	2	3	2	2	1	2	1	2	9	1	2	0	2	8	1	1	3	0	6	0	0	0	0	1	2	1	0	0	4	1	1	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	south30_all	80	40650	20748	9527	5396	8436	3091	2525	2116	2240	1502	3012	1142	1198	837	948	1236	753	760	630	693	462	439	609	439	233	292	259	367	270	165	170	133	95	144	140	82	96	60	67	104	72	44	37	51	67	27	24	22	65	16	58	18	34	29	18	18	13	8	57	14	12	11	16	13	9	9	9	6	4	3	0	5	6	5	2	2	6	8	2	1	8	3	7	0	2	0	0	1	4	2	0	1	4	1	0	0	1	1	0	0	0	0	0	2	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south30_active	80	30074	15969	5653	1554	7103	955	549	579	1394	447	2596	482	741	355	610	997	430	557	424	504	298	298	504	345	61	182	162	311	209	93	90	53	43	100	104	31	66	35	42	80	36	15	8	32	44	10	7	10	52	2	54	9	28	17	3	9	8	5	52	2	1	5	12	11	3	3	4	2	1	1	0	2	6	1	1	1	2	7	1	1	8	0	7	0	0	0	0	1	2	1	0	0	4	1	0	0	1	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	38660	19377	9355	5330	7980	3137	2567	2018	2086	1397	2765	1201	1187	888	987	1169	705	722	580	572	468	441	466	386	232	246	300	423	223	153	149	111	98	178	142	77	92	80	85	88	71	41	39	47	58	36	23	37	36	31	41	19	27	13	15	18	18	9	25	7	13	14	35	11	7	6	4	6	9	9	5	4	6	2	1	3	5	0	2	4	9	0	6	1	0	1	0	3	9	2	1	0	2	1	1	1	4	0	2	0	0	1	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0
0.03	south31_active	80	27595	14553	5534	1412	6529	880	584	504	1222	401	2355	461	720	402	636	942	431	506	384	430	294	297	367	295	72	141	205	363	150	81	65	36	36	122	98	23	50	24	42	66	44	13	5	24	38	12	7	20	28	13	29	12	20	12	2	8	17	0	22	1	5	6	31	8	2	1	0	3	3	2	3	4	6	0	1	0	1	0	0	1	7	0	6	1	0	0	0	1	8	0	1	0	2	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0
0.03	south32_all	80	40740	20223	9600	5352	8247	3210	2571	2045	2131	1430	2897	1172	1209	919	991	1186	727	732	605	581	484	485	520	425	237	270	271	466	252	159	140	100	120	180	157	71	93	82	71	94	76	50	44	48	58	37	23	41	42	26	61	21	31	14	14	18	30	9	31	6	12	12	21	14	7	5	5	8	9	4	4	6	8	3	2	3	2	0	4	4	3	1	3	3	0	2	0	4	9	2	1	0	1	0	1	2	4	0	1	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0
0.03	south32_active	80	29917	15439	5841	1530	6896	937	552	531	1286	431	2491	478	748	409	642	977	457	528	407	417	319	327	420	333	76	150	178	407	172	89	75	32	42	125	119	20	54	21	38	74	46	19	8	24	37	13	11	22	31	15	51	10	20	14	2	9	27	1	26	1	3	4	19	11	1	1	1	5	2	1	2	6	7	0	1	0	1	0	3	2	2	1	3	1	0	0	0	1	8	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0
0.03	south33_all	80	41172	20684	9553	5362	8183	3234	2530	2030	2159	1412	2922	1133	1191	930	973	1090	713	786	616	561	471	475	535	400	235	258	292	451	240	176	158	106	122	161	144	75	92	84	69	87	64	46	37	52	77	34	34	36	41	22	80	17	37	25	15	15	33	10	44	9	7	9	16	18	11	1	4	9	10	6	3	4	9	3	2	3	2	5	4	2	12	1	3	3	0	2	0	3	0	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0
0.03	south33_active	80	30264	15869	5800	1547	6838	972	541	534	1343	427	2528	466	736	409	637	880	451	563	407	423	312	318	450	299	74	162	187	399	163	99	87	35	40	114	105	16	53	34	40	71	35	19	9	22	55	10	18	18	32	10	71	7	27	21	2	5	30	1	38	0	1	6	15	16	6	0	1	6	3	2	3	4	8	0	0	1	1	5	4	2	2	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
0.03	south34_all	80	40669	20514	9579	5259	8074	3258	2566	2039	2192	1421	2915	1113	1193	893	935	1061	727	753	610	598	473	492	540	402	231	264	300	418	221	175	155	123	117	135	129	67	99	85	74	88	55	44	45	44	67	30	34	34	35	22	105	17	39	28	17	13	44	9	40	12	5	6	7	20	13	1	4	8	7	5	2	6	7	3	4	6	3	9	5	1	10	2	4	2	0	3	0	3	1	2	1	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south34_active	80	29911	15644	5806	1506	6756	979	541	549	1367	416	2514	461	734	393	624	851	468	534	407	433	309	328	457	301	72	160	179	367	155	100	83	42	35	100	92	12	64	42	47	71	31	15	10	16	49	7	18	16	25	11	97	6	27	21	2	4	41	1	32	2	2	3	5	19	8	0	2	4	2	2	2	6	5	0	1	3	2	9	5	1	0	2	4	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	40409	20578	9532	5169	8290	3231	2526	2010	2210	1439	2866	1116	1166	833	959	1082	727	734	631	615	483	489	523	399	238	248	305	392	223	175	148	144	107	124	143	69	92	90	69	101	55	52	51	38	68	23	35	27	37	24	81	16	28	38	19	11	46	7	40	14	7	8	6	18	11	3	6	4	7	5	4	6	12	4	4	6	3	11	2	4	9	3	3	0	0	2	0	4	1	0	1	3	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
