label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86
0.03	south35_active	80	3984	922	584	380	438	584	395	147	98	114	90	113	57	132	38	44	91	28	35	58	22	40	25	13	6	8	32	16	8	12	6	12	8	2	6	1	5	1	2	1	3	7	2	6	0	1	1	2	4	0	5	0	4	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	south36_all	80	6938	2003	1251	876	898	991	717	282	222	226	166	224	123	209	94	94	141	54	91	102	53	51	65	25	22	21	38	32	16	24	12	12	17	7	11	7	5	5	4	10	5	9	3	6	1	2	1	4	6	3	4	0	2	3	2	1	1	2	2	0	0	1	1	0	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0
0.03	south36_active	80	3996	929	582	383	473	616	421	149	91	98	84	129	61	121	41	54	91	29	44	62	28	37	29	14	10	7	28	20	6	16	10	11	12	1	5	1	3	2	1	1	3	6	2	6	0	1	1	1	3	0	4	0	0	2	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0
0.03	south37_all	80	7115	1948	1249	848	942	992	741	281	222	234	169	227	120	220	92	98	135	59	98	107	54	66	50	25	27	19	30	28	13	34	13	14	14	7	9	9	9	5	5	9	4	8	4	10	0	1	2	1	4	2	7	2	2	5	3	1	1	2	2	1	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0
0.03	south37_active	80	4117	917	587	366	522	590	445	138	99	109	84	147	60	137	42	50	82	33	59	63	28	45	27	15	15	6	21	21	5	26	8	9	10	1	5	3	7	2	3	2	3	6	3	10	0	1	1	0	1	0	6	1	0	2	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	7453	2032	1341	818	1009	1046	785	317	230	227	169	228	113	237	81	112	151	52	96	119	56	64	53	29	27	19	45	26	12	32	14	15	12	15	6	9	12	4	5	12	3	5	2	8	2	1	3	1	5	3	6	3	1	7	2	1	1	2	2	1	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0
0.03	south38_active	80	4359	963	660	350	562	623	474	156	111	108	79	146	63	150	33	61	92	27	65	74	30	41	31	14	18	6	36	19	6	25	8	8	8	6	3	3	9	3	3	4	2	3	1	8	2	0	1	1	2	0	3	1	0	4	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	7829	2113	1325	806	1000	1135	802	308	228	242	160	221	112	249	74	111	131	53	98	105	52	75	60	18	25	19	40	25	15	41	9	16	12	18	7	6	12	4	3	11	7	1	3	7	3	1	6	1	3	2	6	3	1	6	2	0	1	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0
0.03	south39_active	80	4703	967	672	327	564	676	493	160	111	125	71	145	58	155	32	61	75	27	67	59	29	48	40	8	16	9	29	17	11	31	2	6	5	10	4	3	9	2	3	5	2	1	1	7	2	0	2	1	2	0	3	1	0	4	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	8074	2117	1328	785	1015	1237	813	314	256	251	179	224	115	268	71	104	153	62	95	109	44	74	76	30	25	15	52	31	22	35	7	21	10	20	5	4	6	7	4	9	7	2	2	8	3	1	6	1	3	5	3	1	3	4	2	1	0	0	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	4886	974	668	329	563	755	518	162	129	133	85	139	57	166	26	61	99	25	61	78	25	42	49	12	16	9	37	22	15	26	4	11	6	11	4	4	4	1	2	6	1	0	1	6	2	0	2	1	2	3	0	0	2	3	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
