label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163
0.03	south31_active	80	1570	466	432	746	122	116	395	231	97	72	66	94	59	61	29	47	37	26	49	95	28	48	28	9	14	22	12	28	9	8	18	14	19	14	13	49	31	8	32	9	12	5	6	6	19	4	10	2	3	30	1	3	2	4	2	0	3	4	5	1	1	3	2	2	2	0	1	1	3	7	0	0	0	0	2	1	1	2	2	1	0	10	1	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0
0.03	south32_all	80	2792	919	785	1176	292	227	555	428	175	137	141	158	110	110	72	92	61	55	89	157	61	77	54	36	49	50	36	43	25	22	38	27	31	20	30	44	56	14	39	17	19	9	10	13	34	11	14	8	10	49	7	7	2	5	3	2	7	4	8	1	3	6	8	4	10	3	5	3	1	9	7	2	1	2	4	4	8	3	3	2	2	11	1	1	5	2	1	1	0	2	0	1	4	1	1	2	1	3	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	2	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
0.03	south32_active	80	1600	448	467	755	130	117	377	268	102	67	71	85	57	54	29	47	36	26	54	93	40	53	33	16	24	35	13	27	8	8	20	17	17	16	18	34	28	7	31	9	14	4	6	9	14	2	9	3	2	31	4	4	1	4	1	0	4	4	6	0	0	3	6	3	7	1	2	2	1	7	6	0	0	1	2	2	1	2	0	0	2	10	1	0	4	1	0	1	0	1	0	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
0.03	south33_all	80	2840	940	785	1299	282	234	587	422	180	132	137	167	103	108	73	87	64	51	83	151	81	96	51	40	52	52	41	37	27	21	37	21	30	25	32	42	61	10	44	18	20	6	12	9	23	11	14	5	8	29	12	5	3	12	2	2	9	6	7	2	4	9	7	5	10	3	5	2	1	10	9	4	1	3	3	7	7	2	3	3	2	4	0	1	4	1	0	1	4	2	0	1	6	0	1	2	2	1	0	4	1	0	0	2	0	1	2	3	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
0.03	south33_active	80	1678	435	466	813	124	116	403	275	102	61	69	100	54	48	33	39	39	23	51	83	55	66	32	22	29	33	18	26	10	8	21	13	15	18	21	34	34	5	34	12	13	2	7	7	13	1	6	2	2	19	6	4	1	4	0	0	6	3	5	0	2	3	5	4	7	1	2	2	0	6	6	1	0	3	2	5	1	0	0	0	2	3	0	0	4	1	0	1	4	1	0	0	3	0	1	0	1	1	0	4	1	0	0	0	0	1	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
0.03	south34_all	80	2826	944	796	1329	301	232	606	447	185	124	137	170	103	107	75	85	72	50	96	132	103	115	52	50	50	50	37	45	31	25	29	20	29	16	30	42	41	9	58	21	19	7	14	21	23	9	17	4	6	25	9	9	2	15	2	3	5	6	3	1	7	5	8	3	14	3	3	2	3	10	11	3	1	3	2	6	7	1	8	2	3	5	1	0	5	1	0	0	4	0	2	0	6	0	1	1	2	1	0	4	1	0	0	2	0	1	2	3	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
0.03	south34_active	80	1674	455	469	836	133	107	405	301	99	59	64	93	55	49	33	36	36	19	58	89	69	78	30	30	30	29	20	37	14	11	17	12	16	11	20	31	25	5	42	16	10	3	9	16	11	2	7	2	2	10	6	7	0	4	0	1	5	3	2	0	4	1	7	2	11	1	2	2	1	8	8	1	0	3	0	4	1	0	7	1	2	3	1	0	4	0	0	0	4	0	1	0	3	0	1	0	1	1	0	4	1	0	0	1	0	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south35_all	80	2833	964	786	1361	301	226	576	427	208	133	143	165	98	99	66	86	81	49	110	109	104	115	51	52	43	50	35	53	33	21	34	21	34	23	34	54	44	10	55	28	20	13	16	20	39	9	18	5	4	26	9	10	4	16	2	3	5	10	2	1	7	10	8	5	9	0	3	0	3	8	12	2	1	3	1	3	7	4	7	6	1	2	2	0	1	1	0	0	5	0	2	0	2	0	0	1	2	1	0	4	1	0	1	2	0	1	0	3	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south35_active	80	1670	474	431	844	131	109	370	280	109	60	68	91	54	50	34	37	36	17	71	75	68	79	28	33	26	21	21	40	19	9	19	13	17	15	24	43	37	6	37	25	10	7	10	15	27	3	7	2	2	15	5	7	0	5	0	1	5	5	1	0	4	6	3	2	6	0	1	0	1	6	9	1	0	3	0	3	1	3	7	2	0	1	1	0	0	0	0	0	4	0	1	0	0	0	0	0	2	0	0	4	1	0	1	1	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	2919	959	785	1254	282	232	599	402	198	136	139	164	99	99	69	78	95	56	98	136	98	115	48	51	40	46	26	55	31	27	36	21	39	26	31	55	50	16	68	30	22	17	11	25	39	7	18	5	3	33	8	12	6	14	0	6	5	11	2	2	7	7	9	3	7	0	3	1	3	9	7	0	1	1	2	3	2	4	13	6	1	2	3	2	2	1	1	2	3	1	2	0	0	0	1	0	1	1	0	1	0	0	1	2	0	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1
