label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101
0.03	south28_active	80	4089	2733	2108	658	1021	753	844	261	153	244	377	66	88	63	64	89	82	116	80	137	37	24	73	37	20	46	28	11	9	19	13	35	3	6	10	13	11	9	12	4	6	5	3	2	9	0	4	0	0	2	6	3	0	1	1	1	0	6	1	0	1	1	5	0	1	1	4	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	7298	4613	3524	1254	1679	1268	1252	479	317	426	611	210	192	152	131	147	151	200	131	220	70	50	107	73	43	68	62	32	31	40	17	56	15	10	22	19	47	13	21	13	8	8	6	4	14	5	5	0	4	2	7	2	1	3	1	1	0	6	2	0	2	1	3	0	1	1	4	1	1	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
0.03	south29_active	80	3964	2826	2211	657	1036	790	817	274	151	245	390	75	95	56	61	87	81	124	88	160	31	32	74	47	20	47	40	11	13	23	10	35	3	6	10	12	26	11	14	5	2	6	4	3	9	4	4	0	1	2	7	2	0	0	1	1	0	6	1	0	1	1	3	0	1	1	4	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south30_all	80	7417	4664	3522	1262	1720	1314	1193	482	320	463	618	203	192	151	133	134	167	193	116	208	84	62	109	64	32	90	57	35	40	44	23	50	10	8	21	18	46	7	17	12	7	7	5	2	17	5	6	2	4	2	4	1	1	3	0	1	0	5	2	0	0	1	3	0	2	1	6	1	1	0	2	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
0.03	south30_active	80	4101	2853	2255	647	1096	814	788	271	150	279	432	73	96	62	67	82	88	130	76	154	39	39	79	46	14	64	31	15	18	22	13	30	2	6	11	12	39	6	13	4	2	4	3	2	12	4	4	1	1	2	4	0	1	0	0	1	0	5	1	0	0	1	3	0	2	1	5	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south31_all	80	7391	4528	3639	1259	1762	1242	1280	529	322	439	579	165	189	138	140	128	139	212	107	206	68	57	122	71	37	79	55	25	31	76	31	52	19	9	13	24	31	10	12	3	8	13	9	4	10	6	1	6	2	3	6	5	1	2	2	0	4	0	3	1	0	0	0	1	1	2	0	1	3	3	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south31_active	80	4035	2742	2300	663	1051	822	850	278	145	249	396	95	92	58	70	67	81	137	49	150	36	37	79	43	18	52	35	12	17	32	19	33	8	4	5	16	16	4	11	3	5	4	4	0	6	4	0	5	1	2	3	1	0	1	2	0	3	0	1	0	0	0	0	0	0	1	0	1	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south32_all	80	7385	4491	3635	1297	1722	1216	1294	545	313	451	596	179	192	160	131	124	138	213	128	210	57	58	114	74	34	80	44	25	36	75	36	47	16	14	18	25	39	9	14	8	11	14	8	8	8	6	1	4	2	2	2	4	0	2	2	0	6	0	3	1	0	2	0	1	0	2	0	1	3	3	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	4029	2750	2322	677	1024	769	853	286	128	267	404	95	104	64	65	72	76	131	69	158	30	32	74	47	14	56	28	11	18	40	25	30	7	4	7	16	16	4	12	5	9	5	2	4	4	3	0	4	1	1	0	3	0	1	2	0	2	0	1	0	0	2	0	0	0	1	0	1	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	7406	4456	3526	1269	1650	1259	1267	525	297	456	616	183	186	157	126	112	137	205	128	220	54	56	120	68	32	84	46	30	34	65	25	45	18	14	14	25	44	11	15	10	9	9	8	8	7	6	2	4	1	2	2	5	0	1	2	0	5	0	3	1	0	2	1	1	0	2	1	0	2	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	south33_active	80	4069	2772	2282	639	985	793	790	277	129	280	406	95	104	68	62	71	71	137	69	167	31	26	85	40	14	53	27	13	16	38	17	30	6	5	7	16	21	6	11	5	6	3	4	5	5	2	0	2	0	1	0	3	0	1	2	0	1	0	1	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	south34_all	80	7464	4386	3463	1305	1682	1276	1289	527	301	483	621	181	182	155	122	123	128	182	136	224	51	58	134	64	28	100	42	28	29	56	23	29	15	19	16	26	40	13	16	9	9	8	11	11	6	6	7	6	1	1	2	4	0	1	1	0	6	0	2	0	0	3	2	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	south34_active	80	4121	2728	2223	672	1023	814	816	289	134	295	408	83	102	69	58	73	65	118	80	187	31	23	102	41	15	61	26	11	14	41	14	19	7	9	9	16	22	5	10	4	7	3	7	6	6	2	0	4	0	0	0	2	0	1	1	0	1	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	south35_all	80	7313	4471	3403	1257	1676	1295	1371	509	315	436	666	183	165	152	133	137	127	174	132	230	59	48	160	66	30	97	47	26	28	44	29	38	16	26	17	23	41	11	13	6	8	4	10	10	10	2	8	11	2	7	3	2	1	0	2	0	4	2	3	0	0	2	2	0	0	0	1	0	0	2	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	south35_active	80	4039	2746	2182	648	1018	812	921	286	149	263	446	86	88	71	69	75	66	117	78	187	31	19	111	45	18	56	31	11	13	34	17	34	7	15	10	13	20	3	1	2	6	2	8	5	7	1	1	8	1	1	0	1	0	0	1	0	1	2	2	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
