label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93
0.03	south30_all	80	12018	2757	1701	1479	982	1535	688	787	379	314	335	522	242	276	245	131	122	149	76	59	87	101	44	56	61	49	29	58	24	33	28	29	18	11	13	6	15	17	9	18	3	9	8	6	7	2	1	0	2	5	3	3	3	0	1	1	0	2	2	0	1	2	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south30_active	80	7461	1237	781	783	480	979	350	457	175	148	198	335	135	162	154	57	67	83	39	23	48	69	28	28	36	24	11	39	13	18	12	16	6	5	9	3	11	11	3	16	2	5	4	4	1	1	1	0	2	2	2	3	1	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south31_all	80	11934	2779	1724	1458	1020	1660	734	739	309	329	427	441	207	211	209	138	144	99	75	45	100	137	42	46	62	44	17	42	22	33	31	17	8	9	10	13	23	11	5	14	7	8	11	5	10	5	4	1	1	2	2	0	2	3	0	2	2	1	4	1	2	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south31_active	80	7432	1300	832	778	523	1033	422	439	146	165	230	267	129	130	132	75	69	51	34	29	60	90	19	20	31	26	7	25	12	13	18	14	1	1	6	8	17	8	2	8	1	1	7	3	6	2	2	1	0	1	0	0	1	2	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	12427	2849	1823	1475	1037	1780	791	787	324	333	426	493	232	225	231	136	145	111	78	48	98	151	48	50	71	43	18	40	28	42	36	16	9	10	8	21	26	11	5	15	6	8	12	6	8	5	7	4	2	2	0	0	3	2	0	3	3	0	3	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south32_active	80	7827	1325	886	810	536	1136	461	465	138	163	234	307	148	138	141	78	77	58	32	27	61	97	26	25	30	26	7	26	15	18	18	12	3	2	5	13	15	8	2	10	3	2	8	3	5	2	3	4	0	0	0	0	1	2	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	12470	2840	1825	1512	1067	1753	823	798	332	282	424	489	245	233	224	135	138	119	88	52	88	167	45	48	63	49	14	43	32	36	39	13	7	11	7	22	32	9	7	10	3	11	8	10	8	3	5	3	3	2	1	0	4	2	1	1	3	1	4	1	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south33_active	80	7867	1339	876	851	554	1121	483	476	156	140	231	327	143	144	138	72	77	67	28	21	53	108	26	30	30	33	8	23	13	21	21	11	3	3	5	14	18	5	4	4	3	5	7	7	5	1	1	3	0	0	1	0	2	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	12600	2843	1797	1507	1037	1699	823	797	318	293	381	522	233	244	228	142	127	126	105	58	77	143	43	51	72	58	17	45	34	37	37	14	7	13	6	21	24	8	5	11	5	15	6	6	4	1	3	7	3	4	2	1	4	3	5	2	2	1	1	2	1	0	0	0	1	0	0	1	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	7936	1330	839	821	515	1104	474	490	150	141	201	325	133	146	134	69	72	69	36	23	41	81	27	32	42	41	10	26	13	23	21	8	4	6	3	14	11	3	4	5	3	7	5	5	2	0	1	7	0	1	1	1	2	3	4	1	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	12628	2861	1750	1484	1026	1663	765	798	343	288	395	569	231	248	233	143	134	133	97	63	72	145	40	46	69	62	21	47	40	46	40	13	8	12	9	17	29	11	3	11	6	12	5	5	6	2	3	8	3	3	3	1	3	1	6	2	1	2	1	1	2	1	0	0	1	0	0	2	2	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	7942	1316	797	790	513	1097	446	489	152	139	208	373	127	148	137	65	77	78	41	27	41	82	24	28	41	44	12	23	19	34	23	6	4	6	4	10	11	4	3	6	2	7	4	4	4	0	1	7	0	1	2	1	1	1	4	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	12681	2867	1734	1510	991	1686	708	790	365	311	384	595	232	258	241	139	144	140	99	62	90	135	46	43	74	64	27	48	34	50	30	15	8	8	11	11	27	9	9	22	6	14	8	3	4	3	4	8	1	6	2	1	3	1	8	4	1	2	0	1	1	1	0	0	1	0	0	2	1	0	1	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	7997	1289	797	797	485	1119	410	483	155	157	208	392	134	152	149	66	79	73	50	27	53	82	25	23	41	49	14	26	20	37	18	6	5	6	2	5	10	4	5	15	1	8	4	1	2	0	1	4	0	2	1	1	1	1	4	3	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	12674	2843	1725	1552	1000	1762	688	753	385	316	363	636	236	261	248	144	147	137	100	54	91	140	43	49	65	54	26	42	32	54	31	13	12	8	15	8	24	9	11	28	6	7	7	7	8	5	5	11	1	7	2	1	1	1	4	3	0	3	1	0	1	1	0	0	0	1	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	south37_active	80	7949	1265	806	814	519	1157	415	449	159	159	191	456	143	155	162	75	84	74	52	26	62	86	22	26	36	38	11	21	21	39	18	5	6	6	5	5	9	4	6	19	2	3	3	1	6	1	2	7	0	3	1	1	0	0	1	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	12727	2815	1784	1604	1009	1776	747	788	385	310	374	626	251	277	243	151	142	140	98	54	102	139	48	45	60	41	28	49	29	44	38	14	13	8	14	6	26	10	15	25	6	8	6	8	12	4	4	9	3	8	0	0	2	6	4	3	0	2	3	1	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
0.03	south38_active	80	7896	1253	860	860	528	1154	448	488	161	146	216	452	155	181	163	76	83	77	54	25	76	76	27	27	36	26	17	34	19	31	30	4	6	6	6	4	11	6	10	17	3	4	2	2	9	1	2	5	2	3	0	0	2	5	1	2	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	south39_all	80	12706	2813	1798	1560	1032	1737	730	793	355	339	400	579	260	282	219	157	135	142	97	54	90	140	47	60	49	29	31	58	33	32	46	15	13	11	14	5	16	19	13	19	5	6	5	11	10	4	1	6	2	7	0	1	2	9	1	4	0	2	3	1	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
0.03	south39_active	80	7922	1290	874	830	548	1102	431	483	153	165	242	419	147	182	143	81	83	85	53	27	67	77	29	40	31	15	19	45	20	19	37	6	4	9	8	3	9	11	10	12	3	4	3	4	9	1	1	6	2	3	0	1	2	7	1	2	0	1	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	south40_all	80	12009	2723	1791	1492	1001	1611	739	770	335	351	390	583	236	252	194	141	135	144	89	59	95	139	50	54	55	22	32	56	31	21	47	22	6	12	10	6	24	19	9	6	5	4	5	9	8	1	2	2	2	3	1	1	2	8	1	2	0	0	5	1	0	1	0	1	0	0	1	1	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0
0.03	south40_active	80	7430	1255	853	789	512	1018	415	487	145	181	246	404	133	153	125	72	86	88	51	27	69	78	28	34	36	7	18	46	14	12	37	11	1	8	8	4	11	12	9	3	4	2	3	4	7	0	2	2	2	1	0	1	2	7	1	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
