label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82
0.03	south30_all	80	10476	2808	3318	1310	1085	879	1965	1414	467	251	608	227	235	165	292	93	151	173	46	48	46	40	49	32	22	20	20	20	20	9	55	11	8	9	6	7	7	13	6	10	6	1	7	6	4	0	3	7	3	5	2	4	0	2	0	1	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	0	0	0
0.03	south30_active	80	7888	642	2571	562	583	539	1789	1295	335	62	534	144	157	97	268	55	118	146	21	9	12	11	8	17	11	10	10	9	7	5	50	3	0	2	4	0	3	13	1	10	0	0	7	4	3	0	1	7	0	5	0	4	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0.03	south31_all	80	9025	2801	2614	1152	918	764	1376	978	393	279	536	224	193	155	253	111	131	140	67	55	40	28	31	46	23	30	17	24	19	19	29	12	11	7	7	5	6	6	10	16	7	5	10	4	5	3	3	1	2	4	1	0	1	2	2	0	2	0	0	0	1	1	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0
0.03	south31_active	80	6133	780	1848	382	423	428	1214	830	225	69	445	119	121	72	213	46	84	109	28	12	9	7	8	22	7	16	8	15	2	5	22	4	2	5	3	0	1	6	6	14	1	1	10	3	5	2	2	1	0	3	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	8659	2782	2525	1153	896	750	1173	869	414	260	489	221	190	154	239	104	117	130	59	61	45	37	34	51	15	19	15	26	17	16	31	16	14	11	5	6	7	6	9	10	4	5	8	4	2	5	2	2	4	1	0	0	0	3	2	0	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
0.03	south32_active	80	5724	836	1723	367	421	402	1008	715	226	71	395	111	118	71	194	49	77	99	22	13	9	11	7	19	5	9	9	14	2	6	24	5	3	5	1	0	2	5	5	10	0	1	8	3	2	3	1	1	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	7974	2781	2323	1188	863	743	1029	825	366	270	431	205	183	153	215	89	105	111	55	65	43	44	28	41	19	19	12	26	10	13	24	18	15	9	6	5	7	10	7	10	3	4	3	1	2	5	4	2	6	1	1	0	0	2	2	0	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	4930	930	1533	345	354	366	848	653	182	83	334	101	98	71	167	42	64	78	20	11	11	15	6	11	4	6	7	14	2	4	19	5	2	4	2	1	2	9	4	10	1	1	3	1	1	2	2	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	7692	2908	2218	1194	867	743	930	804	368	249	377	202	168	139	204	85	88	94	55	57	52	46	29	30	21	28	11	24	6	9	28	18	13	10	8	4	8	14	3	5	4	4	2	1	1	5	2	2	7	1	1	0	0	1	2	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	4507	979	1401	337	344	347	731	632	184	75	283	92	72	61	157	40	56	60	14	11	11	19	4	6	5	10	6	12	1	1	22	7	2	5	4	2	1	11	1	4	1	1	2	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
