label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28
0.03	north11_all	80	0	1	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	0	1	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	5	3	2	0	28	2	3	0	0	1	0	0	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
0.03	north12_active	80	2	3	2	0	28	1	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	1	0	1	1	42	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north13_active	80	1	0	0	0	41	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	0	2	1	1	8	0	0	1	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	0	0	1	1	7	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	1	2	0	1	4	0	0	1	0	0	0	0	37	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
0.03	north16_active	80	0	2	0	1	3	0	0	1	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
0.03	north17_all	80	2	2	0	1	2	1	0	3	0	2	0	0	2	0	0	2	0	0	0	33	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	2	2	0	0	1	1	0	3	0	2	0	0	1	0	0	2	0	0	0	33	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	7	2	1	6	8	0	1	10	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0
0.03	north18_active	80	1	1	1	5	0	0	1	10	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0
0.03	north19_all	80	0	2	1	0	19	0	1	1	0	1	0	0	4	0	0	0	0	0	0	0	17	0	0	0	4	0	0	0	0
0.03	north19_active	80	0	1	0	0	18	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	17	0	0	0	4	0	0	0	0
0.03	north20_all	80	1	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	1	0	0	0	0	0	0	0	0
0.03	north20_active	80	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	5	3	0	1	1	12	0	0	26	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	1	3	0	1	1	12	0	0	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	6	2	1	0	1	2	0	0	17	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	1	0	1	0	1	1	0	0	17	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	4	2	0	2	2	17	1	1	14	1	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	3	1	0	2	1	16	1	1	14	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	4	1	1	1	1	2	0	0	20	0	0	1	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	2	1	0	1	1	1	0	0	20	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	5	4	1	1	0	4	0	0	31	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south25_active	80	4	2	0	0	0	3	0	0	29	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south26_all	80	4	3	2	0	0	20	0	0	1	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	2	1	1	0	0	18	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	5	3	4	2	0	35	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	3	1	4	1	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	6	2	1	1	1	1	0	0	37	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	3	1	0	1	1	1	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	7	3	1	0	1	24	0	0	7	1	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0
0.03	south29_active	80	6	3	0	0	1	21	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	10	3	0	0	0	7	1	0	0	0	0	1	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	9	2	0	0	0	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	12	1	2	0	0	12	1	0	6	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	8	1	1	0	0	11	1	0	5	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	8	2	0	1	0	7	1	0	27	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	7	0	0	0	0	7	1	0	26	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	8	5	2	0	0	27	0	2	2	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	6	4	1	0	0	27	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	20	2	0	0	1	9	0	0	14	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	14	1	0	0	1	1	0	0	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	3	2	2	0	0	1	1	1	1	0	0	0	0	0	37	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south35_active	80	2	2	2	0	0	0	1	1	1	0	0	0	0	0	37	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south36_all	80	6	2	2	0	0	2	0	2	32	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	4	0	1	0	0	1	0	2	32	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	6	1	2	0	0	2	0	0	1	0	0	0	0	0	30	0	0	0	8	0	0	0	0	0	0	0	0	0	0
0.03	south37_active	80	2	0	2	0	0	1	0	0	0	0	0	0	0	0	30	0	0	0	8	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	11	4	0	1	3	26	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	7	4	0	1	2	26	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	21	4	0	3	3	2	3	1	0	1	0	9	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south39_active	80	18	4	0	1	2	0	2	1	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	13	3	3	2	0	3	1	0	4	0	0	1	0	0	0	0	4	0	12	0	0	0	4	0	0	0	0	0	0
0.03	south40_active	80	9	3	2	2	0	3	1	0	4	0	0	0	0	0	0	0	4	0	12	0	0	0	3	0	0	0	0	0	0
