label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81
0.03	north15_active	80	21415	9451	3633	2315	5501	1661	2371	1312	1827	1163	364	779	229	185	237	287	364	277	230	106	141	46	54	51	41	93	39	53	41	70	13	22	9	13	6	9	4	12	6	3	3	10	5	1	3	5	3	0	7	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2
0.03	north16_all	80	38585	17155	7546	5048	8791	3115	3942	2338	3079	1967	781	1241	495	423	460	509	571	444	463	189	264	103	107	94	76	148	91	123	58	98	22	35	25	27	13	18	10	20	14	8	7	12	9	2	8	2	0	3	6	4	0	4	5	1	3	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2
0.03	north16_active	80	21505	9579	3555	2323	5654	1647	2407	1339	1913	1219	373	727	225	195	237	291	341	268	286	105	178	44	62	43	40	88	49	77	39	72	13	21	11	13	5	6	4	13	7	7	5	9	4	2	4	2	0	1	4	4	0	2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
0.03	north17_all	80	38411	17270	7513	5104	8574	3159	3872	2304	3044	2018	791	1278	497	442	458	534	546	437	474	176	275	106	105	88	61	150	92	129	59	85	28	30	28	27	16	18	11	16	14	10	7	10	9	3	9	2	0	3	6	4	1	4	6	0	3	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2
0.03	north17_active	80	21333	9655	3601	2318	5400	1603	2391	1304	1901	1257	380	758	228	198	236	296	339	245	312	94	180	49	59	43	30	91	52	79	38	56	17	19	11	14	9	5	5	10	5	7	5	7	1	2	4	2	0	2	4	4	0	2	3	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
0.03	north18_all	80	38668	17429	7438	5090	8769	3229	3845	2317	3002	2085	799	1315	520	424	428	498	555	496	442	165	261	110	104	97	73	132	94	144	56	60	31	24	25	25	15	19	14	11	14	9	6	6	8	4	8	5	1	4	7	3	1	4	5	0	2	4	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north18_active	80	21388	9755	3508	2336	5460	1630	2402	1322	1899	1264	381	780	236	193	218	281	339	288	293	87	163	51	54	55	39	83	52	86	36	34	19	13	12	14	10	5	8	8	5	5	3	3	4	2	3	4	1	3	4	3	0	2	2	0	1	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	38651	17522	7534	5122	8699	3291	3977	2393	2755	2086	769	1364	533	430	419	472	514	538	413	169	274	117	102	80	72	111	97	134	60	61	26	22	21	24	18	17	19	16	9	9	11	4	11	6	4	4	4	3	9	2	1	1	8	2	1	4	1	0	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north19_active	80	21354	9714	3528	2366	5507	1686	2464	1346	1695	1278	358	868	248	205	214	283	315	304	283	82	163	52	49	46	43	69	52	84	33	32	14	10	10	10	14	5	10	7	5	3	6	1	7	2	0	3	2	3	3	2	0	1	3	2	0	3	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	38437	17414	7546	5093	8974	3258	3996	2425	2767	2050	803	1315	517	432	423	466	533	596	373	195	311	102	91	88	78	138	102	107	62	69	22	23	17	26	19	14	17	20	10	8	10	5	8	6	4	4	4	3	8	2	1	1	5	2	1	4	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	21177	9669	3492	2385	5685	1712	2490	1332	1740	1257	387	836	240	204	208	272	325	356	246	95	196	43	44	48	38	78	58	67	35	35	9	13	9	12	12	5	9	9	5	2	5	0	7	3	1	3	2	3	3	0	0	1	1	2	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
