label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157
0.03	north6_active	80	1182	1011	352	737	269	484	119	263	154	79	255	83	67	53	40	185	40	85	65	149	122	28	36	20	18	86	20	24	56	10	47	27	18	4	36	6	13	10	9	18	6	5	6	6	6	9	20	5	0	3	4	4	3	2	3	2	6	11	8	0	4	0	1	0	8	4	3	3	3	0	0	5	1	1	0	0	3	0	1	5	0	4	0	0	0	0	1	0	0	3	2	2	0	0	0	0	1	0	5	1	0	0	0	0	1	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north7_all	80	2398	1827	711	1102	516	722	233	421	268	190	354	152	120	106	95	254	79	124	93	157	163	77	59	48	39	144	39	33	76	22	51	43	27	17	50	12	17	12	15	19	16	8	15	14	12	12	34	10	4	12	6	7	5	4	9	5	8	10	7	3	8	2	2	2	9	6	5	5	5	4	5	4	3	2	1	0	3	2	2	3	1	1	0	2	0	0	1	0	1	4	1	2	1	1	3	0	2	0	6	1	0	0	0	0	0	0	0	3	0	0	2	1	0	2	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north7_active	80	1147	1016	354	671	263	438	98	264	148	92	232	86	61	56	44	169	37	82	49	116	95	27	35	24	15	70	21	18	50	10	31	29	16	6	33	8	8	8	8	13	9	6	7	6	6	8	27	4	1	4	4	6	2	3	3	2	4	6	6	1	5	0	1	0	6	4	4	2	4	3	4	3	2	2	0	0	0	1	1	3	0	1	0	0	0	0	1	0	0	3	1	1	0	1	0	0	0	0	5	1	0	0	0	0	0	0	0	3	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north8_all	80	2376	1710	704	1045	512	639	245	368	249	184	308	141	106	113	82	188	76	126	87	138	137	83	59	45	34	127	34	37	82	24	48	51	18	20	44	13	14	14	8	21	12	9	10	18	15	10	36	10	6	10	7	5	7	2	6	7	7	7	9	3	6	1	4	3	9	4	4	3	6	4	6	7	3	1	2	2	4	3	4	0	1	1	0	2	0	0	2	0	2	1	1	3	0	1	2	0	2	0	6	1	3	1	0	0	0	0	1	0	0	0	2	1	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north8_active	80	1124	958	353	610	266	394	111	218	129	91	185	76	51	60	36	115	42	77	49	94	73	35	39	20	19	65	15	23	53	14	33	37	10	8	28	4	10	8	3	15	8	5	3	11	7	7	30	3	4	3	4	3	2	1	3	3	2	3	7	1	3	0	1	0	4	2	3	2	4	3	4	1	2	1	0	2	0	1	3	0	0	1	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	5	1	0	1	0	0	0	0	1	0	0	0	2	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north9_all	80	2378	1704	722	1041	476	644	233	376	257	164	290	142	96	123	74	181	81	131	81	117	153	97	59	43	38	95	31	39	79	17	59	46	21	27	49	17	18	10	8	22	16	9	9	14	18	7	37	11	9	7	6	3	6	6	6	6	5	7	7	4	5	2	6	4	8	4	4	3	5	6	6	7	1	1	2	2	4	5	2	0	1	0	1	1	0	0	2	0	2	1	1	2	0	1	2	0	1	0	2	1	3	1	0	0	0	0	1	0	0	0	2	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north9_active	80	1120	984	364	618	248	384	113	217	129	76	167	77	50	68	35	121	47	76	45	84	96	46	39	22	23	58	15	24	53	10	37	29	9	8	37	6	12	5	4	16	11	4	4	9	9	3	35	4	6	3	3	2	1	2	2	3	2	6	6	1	4	0	1	1	3	1	3	2	3	5	4	0	1	1	0	2	0	2	2	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	2	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north10_all	80	2427	1808	745	1094	512	757	251	400	241	145	311	145	93	121	73	183	84	133	82	129	162	81	58	47	41	109	31	35	78	20	75	56	19	29	56	19	22	13	7	30	13	8	11	15	19	9	20	10	11	4	6	3	7	12	5	7	5	9	8	3	5	3	6	4	9	3	4	3	5	5	8	8	0	0	3	3	4	3	4	0	2	1	1	1	0	0	1	0	1	2	0	2	0	1	2	0	0	0	1	0	3	1	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north10_active	80	1139	1068	374	682	273	491	118	233	128	65	189	81	48	68	36	124	42	76	46	94	111	45	37	24	27	59	15	21	59	13	52	44	9	10	41	6	15	8	2	25	8	3	6	12	12	5	17	5	6	2	3	0	2	3	2	3	3	5	7	0	2	0	1	1	5	1	4	2	3	4	3	1	0	0	1	3	0	1	3	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north11_all	80	2385	1823	696	986	518	750	296	441	267	164	313	150	137	117	100	202	75	136	86	158	198	53	65	35	35	119	31	21	68	31	77	45	28	20	53	12	13	13	23	29	11	9	16	10	9	6	19	4	13	6	8	7	4	5	6	2	7	2	7	4	5	2	16	4	10	11	2	2	2	5	6	5	1	1	1	3	3	3	1	1	9	3	0	5	3	0	1	0	1	2	2	0	1	0	1	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north11_active	80	1129	1027	308	637	272	469	126	257	146	78	203	76	74	68	47	130	33	72	53	106	134	27	34	18	17	79	16	11	38	12	55	31	17	11	31	6	9	4	8	17	3	2	8	5	3	3	17	1	5	3	4	4	1	4	4	1	2	0	6	1	3	2	11	2	7	9	1	2	1	5	5	2	0	1	0	3	3	3	1	0	6	2	0	4	1	0	1	0	0	2	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	2446	1838	725	1039	541	763	298	491	277	165	327	158	146	125	81	231	69	146	90	180	212	51	71	39	22	130	36	24	69	29	76	53	30	23	81	15	11	14	16	25	15	8	14	8	12	8	29	7	15	8	10	8	4	4	4	4	6	7	9	3	3	5	30	3	12	12	2	1	1	7	4	4	4	3	1	4	3	4	0	1	7	3	1	6	3	0	1	0	1	1	2	0	0	0	2	1	0	1	2	0	0	2	0	1	0	0	0	4	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north12_active	80	1174	1039	342	656	297	485	122	285	150	87	209	81	77	69	42	138	26	89	53	125	141	25	43	20	6	74	17	12	39	11	50	31	16	16	56	7	8	4	6	12	5	2	8	2	5	6	25	1	6	5	4	5	1	3	2	1	1	6	8	1	1	3	11	1	7	10	1	1	0	7	4	3	3	1	0	4	3	2	0	0	4	2	0	4	1	0	1	0	0	1	1	0	0	0	2	1	0	1	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	2434	1923	742	1133	529	809	317	508	283	165	357	199	137	128	77	265	63	149	88	174	214	58	66	42	28	131	36	29	97	30	77	48	28	24	71	18	15	15	15	31	18	6	14	12	13	9	29	6	8	6	4	6	5	4	3	4	6	7	8	4	4	4	20	2	10	12	1	1	1	11	4	5	7	3	1	4	2	5	0	0	4	2	1	5	2	0	0	0	1	1	2	0	0	0	2	2	2	1	2	0	0	1	0	1	0	0	0	4	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north13_active	80	1176	1118	349	715	297	518	135	302	163	76	238	102	75	71	40	153	20	105	56	111	136	25	46	19	11	71	19	12	50	15	53	30	15	15	50	9	6	4	6	16	6	1	7	5	7	5	24	1	2	3	1	3	2	2	1	1	1	6	8	3	2	2	3	1	7	10	1	1	1	10	1	3	5	1	1	4	2	2	0	0	1	2	0	4	2	0	0	0	0	1	2	0	0	0	2	1	0	1	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	2456	1891	757	1195	547	845	315	476	299	179	349	181	120	133	73	266	63	141	93	153	168	55	48	40	31	138	37	31	107	27	72	41	29	20	67	20	30	12	13	38	17	10	15	13	13	15	19	8	8	5	10	5	6	6	8	4	5	10	8	3	3	7	20	3	11	9	2	2	1	8	7	3	6	3	1	5	3	4	0	1	4	1	2	1	1	0	0	0	0	1	1	0	0	0	2	2	2	1	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	1207	1100	363	728	300	543	140	288	171	85	228	87	60	72	39	153	24	96	57	91	107	22	32	15	10	81	19	13	60	18	47	24	17	11	56	11	14	4	9	25	8	4	7	6	9	9	15	1	5	3	4	2	4	2	5	1	1	8	7	2	2	2	5	0	7	5	1	1	1	7	2	2	5	1	1	5	3	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	2466	1904	724	1177	524	814	301	465	306	178	375	188	109	122	85	254	62	138	97	147	159	65	42	42	39	134	33	30	123	26	79	44	35	14	61	21	30	12	15	45	18	8	13	12	14	14	18	7	12	2	10	2	7	6	9	8	3	5	9	6	4	7	16	5	8	11	6	2	1	8	12	1	7	0	2	3	3	3	0	5	1	0	2	3	1	0	0	0	0	1	1	0	0	0	1	2	2	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	1220	1106	334	728	290	514	127	287	185	79	243	91	55	65	38	154	30	88	54	77	102	30	29	18	16	81	16	14	76	20	60	26	16	8	49	12	14	6	10	34	7	4	7	8	11	8	14	1	6	1	3	0	4	1	5	3	1	3	8	4	2	3	5	2	3	5	4	0	1	7	4	0	6	0	2	3	2	1	0	0	1	0	0	3	1	0	0	0	0	1	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	2508	1816	725	1093	509	764	293	417	282	186	367	169	112	129	95	224	60	131	95	134	138	64	46	39	43	123	27	30	102	29	76	50	29	13	38	17	29	11	17	40	17	11	12	11	13	11	19	6	8	2	9	4	5	6	8	7	4	5	7	6	4	5	10	6	6	11	7	2	0	5	9	2	2	0	2	2	2	3	0	5	1	0	2	4	1	1	0	0	0	1	1	1	0	0	2	1	2	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	1233	1075	339	678	282	469	121	259	158	83	249	79	56	80	37	148	33	80	50	63	82	39	27	16	21	72	12	16	74	23	54	32	16	8	28	10	16	8	10	32	6	7	7	7	11	7	9	1	4	1	3	0	3	3	6	4	2	3	6	2	1	1	8	3	3	5	4	0	0	1	4	1	1	0	2	2	1	3	0	0	1	0	0	3	1	1	0	0	0	1	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	2472	1729	710	993	504	709	304	408	270	185	341	152	106	142	100	205	56	123	94	126	150	67	53	50	43	96	22	30	79	26	83	46	27	14	31	18	28	16	15	34	15	16	9	13	8	9	23	6	8	2	7	5	4	4	8	7	2	3	8	9	4	7	10	6	6	9	10	3	1	3	9	2	3	1	2	2	3	2	1	4	0	0	3	4	0	1	0	1	0	0	0	2	0	0	1	4	0	2	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	1198	997	328	619	280	425	123	241	151	80	237	71	55	80	37	120	31	73	52	63	90	42	26	26	22	50	10	19	58	20	62	25	13	8	21	8	19	10	6	27	4	12	6	10	6	4	13	2	4	1	1	0	1	2	5	4	2	2	8	3	1	3	7	3	3	4	7	1	0	0	5	1	1	0	2	2	1	2	1	0	0	0	0	3	0	1	0	1	0	0	0	1	0	0	1	4	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	2390	1722	712	916	478	716	280	411	240	179	297	141	101	136	98	192	66	131	83	135	146	69	59	40	44	80	24	26	76	23	77	54	18	14	35	18	17	19	13	28	14	17	12	13	6	15	23	4	6	2	5	10	5	2	6	3	6	4	6	6	2	5	9	3	4	4	7	2	1	3	7	3	3	1	2	2	2	2	2	1	0	0	2	3	0	2	0	1	1	1	0	2	0	0	1	5	0	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	1141	955	347	554	253	431	121	229	120	85	198	64	57	76	43	117	35	80	51	66	92	42	27	16	25	46	11	18	47	15	51	37	12	8	26	6	12	13	4	19	5	13	7	8	3	8	14	2	3	1	1	3	2	2	2	1	4	1	6	2	0	3	5	1	3	2	4	1	0	0	5	1	1	0	2	1	1	2	2	1	0	0	0	2	0	1	0	1	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	2379	1772	747	986	478	711	274	417	253	180	303	136	98	121	76	203	70	125	93	132	150	61	69	43	44	90	32	24	84	22	73	56	23	15	40	16	26	18	12	30	21	19	13	11	5	19	22	6	6	2	5	8	5	4	6	2	4	6	4	6	3	6	9	2	3	8	8	2	3	3	7	12	3	1	3	3	2	2	2	2	1	1	2	1	0	1	0	1	1	1	0	1	1	0	0	5	0	1	1	2	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
