label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129
0.03	north6_all	80	51992	14727	9678	10563	3713	2853	3990	5240	1984	1907	2190	983	2140	962	738	575	535	430	444	638	610	275	205	308	210	353	364	140	238	166	114	129	95	125	62	57	122	127	72	34	46	45	46	32	38	26	32	26	24	16	12	42	36	12	20	17	15	14	14	6	7	6	14	8	5	4	5	10	4	4	9	7	3	0	7	2	2	1	4	1	0	2	2	5	0	1	2	0	2	0	4	0	2	0	1	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north6_active	80	43705	8996	6340	8893	989	732	3114	4654	1210	1285	1790	321	1882	613	370	162	275	108	98	493	485	76	62	236	66	271	306	49	188	90	57	78	50	96	20	13	100	106	47	15	10	22	32	7	25	7	10	12	16	4	2	34	31	4	11	3	5	2	8	3	4	1	10	1	1	0	1	8	3	4	5	3	2	0	4	2	1	0	4	0	0	2	1	4	0	1	0	0	2	0	3	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	51476	14618	9647	10640	3626	2847	3841	5118	2056	1847	2283	1006	2122	1019	716	570	540	432	465	630	550	295	228	333	215	361	384	129	244	167	109	115	99	133	62	60	130	135	102	26	41	33	47	35	29	26	30	36	23	19	16	53	36	11	15	15	13	15	12	11	9	8	28	6	6	4	3	9	5	2	7	5	2	3	6	0	2	1	3	1	0	7	2	2	1	1	2	0	3	1	3	0	2	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north7_active	80	43129	8905	6306	8956	997	735	2939	4564	1247	1213	1850	322	1853	655	341	176	241	107	87	479	434	81	73	253	68	289	335	41	213	94	62	66	41	99	20	10	109	115	75	14	7	13	36	9	19	5	8	19	16	6	5	45	30	3	9	3	3	3	8	5	5	1	25	1	4	1	0	8	4	2	5	2	2	2	3	0	2	0	3	0	0	7	1	1	1	1	0	0	3	0	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	51330	14444	9746	10818	3624	2872	3845	5019	2113	1860	2358	989	2038	1048	685	552	528	438	435	659	542	310	236	362	214	344	386	146	235	154	126	123	107	132	63	67	125	127	96	29	38	37	37	36	33	18	27	37	23	19	17	60	31	11	15	12	13	16	9	11	9	8	28	6	7	5	4	8	6	5	5	5	1	3	4	2	1	0	3	1	1	8	1	2	1	0	2	0	6	1	1	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	43121	8837	6313	9122	964	765	2936	4442	1317	1191	1909	308	1772	698	330	171	238	103	87	509	433	82	79	269	71	267	336	46	205	77	76	72	42	98	25	15	103	108	68	11	8	18	19	9	23	4	9	25	12	6	6	53	24	2	7	2	5	2	5	5	3	1	25	2	6	2	0	7	6	4	3	1	1	2	2	0	1	0	3	0	1	8	0	0	1	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	50799	14451	9709	10737	3591	2855	3829	5163	2058	1837	2283	1015	2118	1041	685	574	546	413	391	614	547	316	237	389	203	353	363	144	260	150	137	127	102	120	59	75	124	153	101	36	39	36	58	44	37	21	26	34	23	19	15	61	29	16	14	10	9	15	9	9	10	7	29	5	7	5	5	7	6	6	3	4	1	3	2	2	1	0	5	1	2	6	0	1	2	0	0	0	4	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	42627	8912	6188	9090	957	782	2940	4573	1278	1183	1846	318	1844	691	333	182	236	88	84	492	432	80	86	299	77	269	314	55	226	79	84	72	46	87	24	21	103	138	82	12	11	17	39	11	24	3	8	22	13	6	8	55	22	4	8	4	2	3	4	4	5	1	25	2	5	2	0	7	6	5	1	2	1	2	1	0	1	0	2	0	2	6	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	51412	14484	9668	10875	3655	2891	3869	5236	2119	1896	2240	977	2117	1011	717	572	520	419	381	580	525	301	234	387	211	334	370	161	242	126	138	139	100	135	66	77	122	124	74	48	40	39	70	42	39	18	20	36	18	19	18	41	27	20	12	8	16	15	16	3	10	4	30	5	8	6	5	3	6	6	0	4	1	1	2	2	0	0	6	1	2	1	0	1	1	0	0	0	4	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	43250	8868	6180	9229	937	785	2988	4639	1302	1242	1797	290	1863	685	351	179	229	93	92	460	407	85	78	286	79	242	306	63	208	66	78	79	50	94	30	22	94	113	55	17	13	18	51	9	24	7	5	23	8	5	9	35	20	6	5	4	4	5	11	1	6	1	29	1	4	2	0	3	6	5	0	1	1	0	0	0	0	0	3	0	2	1	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	51294	14934	9644	10663	3645	2853	3843	4889	2133	1873	2236	1007	2105	957	746	548	542	466	398	571	552	263	282	335	192	304	338	142	224	165	109	94	94	169	75	62	184	116	54	50	45	38	43	36	36	34	19	17	33	26	20	33	20	18	30	15	5	8	8	7	3	8	24	4	8	5	9	3	7	4	1	9	12	2	1	4	3	1	2	2	2	0	1	2	1	0	1	0	2	2	1	3	2	2	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	43089	9070	6354	8972	982	797	2935	4271	1305	1265	1787	298	1813	632	360	148	262	103	87	448	440	61	88	238	69	245	284	51	180	92	45	51	50	138	23	12	162	98	37	19	16	18	31	14	20	13	3	6	16	9	5	30	19	6	20	1	2	1	5	4	0	3	21	3	2	1	5	1	6	3	1	4	11	1	0	2	0	1	1	1	0	0	0	0	1	0	0	0	2	0	1	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	51663	14804	9708	11018	3619	2888	3874	4885	2096	1872	2273	1013	2200	979	745	579	562	468	412	556	539	269	268	360	190	304	354	142	235	172	110	108	106	160	70	66	190	122	55	51	42	36	52	33	37	31	18	23	29	21	17	31	23	19	16	12	8	12	11	4	8	8	22	7	9	4	6	4	14	6	4	5	14	0	1	8	3	1	1	5	2	2	1	1	0	0	1	0	0	2	1	3	2	2	2	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	43616	8969	6374	9282	957	805	2983	4283	1286	1248	1835	318	1907	646	365	151	258	105	85	427	430	74	86	255	72	244	297	50	193	101	40	63	55	131	29	14	168	106	41	18	12	17	34	9	23	12	1	9	16	4	7	28	21	5	8	1	2	2	9	2	5	2	20	3	2	1	6	2	13	5	2	3	13	0	0	4	0	1	1	1	0	2	0	0	0	0	1	0	0	0	1	3	2	2	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	51506	14782	9840	10782	3711	2911	3822	4893	2060	1860	2218	955	2202	1008	760	609	577	464	411	553	501	265	270	344	188	302	347	137	266	158	116	118	92	153	65	72	194	124	68	57	38	39	52	33	38	30	18	30	24	18	13	34	19	18	16	9	6	13	14	8	7	4	16	5	7	4	7	6	15	7	4	5	13	1	1	8	3	0	2	4	1	3	0	3	0	0	1	0	0	0	1	0	3	2	2	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	43534	8948	6414	9066	958	805	2912	4301	1244	1214	1786	303	1910	684	374	150	267	105	84	428	384	74	90	245	70	250	291	46	223	83	44	67	40	128	26	15	167	109	44	17	13	21	34	8	23	15	4	15	10	2	5	30	15	4	8	2	1	2	10	3	5	1	15	1	2	1	6	3	14	5	1	2	12	0	0	4	1	0	2	1	0	3	0	0	0	0	1	0	0	0	1	0	2	2	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	51336	14807	9794	10615	3709	2914	3847	5198	2058	1789	2198	942	2344	1012	731	597	567	433	382	549	533	276	257	330	195	300	388	156	248	133	118	112	91	113	66	82	185	111	76	54	45	45	50	34	44	27	23	29	29	18	25	17	19	17	20	11	8	11	16	7	9	6	23	6	3	3	5	6	29	5	6	4	5	1	1	8	3	3	2	4	1	3	0	2	0	0	1	1	0	0	1	0	1	2	2	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	43355	9025	6364	8907	975	794	2942	4606	1255	1164	1772	299	2055	652	356	148	241	102	71	415	416	75	93	223	74	255	326	54	200	74	52	60	41	94	27	16	162	96	48	19	13	24	33	8	32	15	5	17	14	4	9	14	15	5	12	2	2	1	12	3	6	0	21	1	1	0	4	3	29	3	2	1	5	0	0	4	2	3	1	1	0	3	0	0	0	0	1	0	0	0	1	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	52246	14965	9907	10432	3746	2929	3811	5084	2016	1820	2270	975	2322	1057	699	554	563	401	369	573	507	266	236	323	187	288	365	162	266	132	129	123	78	116	56	82	136	133	92	50	37	52	54	34	44	26	30	25	27	18	25	19	15	15	19	12	7	12	12	9	5	8	21	6	2	3	5	4	22	4	5	3	2	1	1	2	4	3	2	3	1	2	2	2	0	0	0	1	0	0	2	0	1	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north15_active	80	44181	9170	6429	8755	972	781	2873	4519	1193	1223	1838	284	2036	678	333	142	236	88	65	449	396	81	80	218	71	235	309	57	210	82	57	70	34	100	15	13	115	117	57	19	8	30	37	9	33	11	5	13	13	4	13	16	12	4	12	3	2	1	8	5	3	0	20	1	0	0	4	1	22	1	2	0	2	0	0	1	4	3	1	1	1	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	52041	14922	9772	10608	3749	2951	3804	5163	2072	1814	2191	992	2129	1077	727	551	549	396	368	583	548	262	236	323	194	300	360	172	261	124	135	113	67	121	68	75	134	138	77	44	45	52	48	31	39	26	30	16	36	15	25	40	39	12	20	21	8	10	11	9	10	11	16	3	1	2	5	1	22	4	10	5	2	2	2	1	4	4	1	1	1	0	2	6	0	0	0	2	0	0	2	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	4	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north16_active	80	43828	9218	6351	8908	994	796	2888	4579	1269	1211	1740	276	1860	669	356	158	232	88	69	453	448	81	78	216	74	247	309	57	205	70	53	62	28	105	23	14	116	120	56	18	12	28	31	9	31	9	5	10	21	3	12	38	38	3	13	4	3	1	8	5	8	2	15	0	0	0	3	0	22	1	7	0	2	1	1	1	3	3	0	0	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	51870	14624	9645	10716	3675	2981	3841	5086	2076	1897	2272	1043	2004	1072	735	552	530	387	359	685	519	254	240	321	224	320	314	173	263	127	121	108	76	130	69	67	133	156	75	42	43	48	56	29	39	21	29	16	37	20	19	47	38	13	13	25	9	12	6	8	17	11	20	3	4	4	4	2	23	2	10	4	3	3	4	1	4	5	1	1	1	0	2	5	0	0	0	1	0	0	2	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	4	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north17_active	80	43597	8930	6268	9005	963	811	2933	4521	1283	1265	1774	300	1729	678	358	180	225	83	74	546	415	76	75	236	86	258	262	55	214	71	49	64	30	112	24	16	114	141	55	18	10	23	36	10	28	5	4	7	24	2	10	44	37	4	5	7	3	2	4	5	12	2	19	0	1	0	1	0	23	0	7	0	3	1	1	1	2	3	0	0	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	4	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north18_all	80	51521	14372	9563	10777	3702	2905	3919	5077	2196	1888	2277	1020	1830	1030	773	551	561	413	392	668	538	262	269	347	224	325	331	150	285	121	124	108	74	141	86	52	92	171	80	47	41	40	64	29	49	23	26	22	38	21	22	63	43	14	10	24	13	13	13	5	18	7	20	2	7	5	4	7	5	2	9	3	2	3	4	1	2	3	1	0	0	4	0	6	0	0	0	1	0	0	2	0	0	0	0	2	0	0	1	0	0	0	1	2	0	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.03	north18_active	80	43233	8793	6169	9075	993	783	2996	4484	1376	1280	1773	288	1563	660	379	195	247	86	74	531	423	66	89	254	79	262	280	46	231	63	52	65	30	112	26	13	73	156	63	23	9	15	42	9	35	7	6	14	26	3	11	59	42	5	5	8	4	3	10	1	13	2	18	0	4	1	0	4	4	0	7	0	2	1	1	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north19_all	80	51669	14358	9602	10873	3678	2914	4118	5151	2154	1884	2202	973	1812	998	779	577	553	417	383	676	532	275	252	366	212	353	358	141	284	115	120	112	75	119	86	54	103	164	108	43	35	36	69	31	40	24	30	30	35	24	20	32	35	13	10	20	14	14	13	4	20	4	19	5	11	7	4	8	12	2	8	3	2	5	3	1	3	3	5	0	0	4	4	4	1	1	2	1	0	1	4	0	0	1	0	2	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
0.03	north19_active	80	43371	8781	6242	9173	985	801	3168	4552	1350	1279	1717	303	1553	636	378	187	241	85	78	532	412	68	79	269	74	283	300	52	237	55	57	67	33	87	21	16	84	150	78	19	12	14	44	10	28	11	8	18	26	6	9	29	32	5	6	7	3	2	10	0	9	1	17	0	6	3	2	4	11	0	7	1	2	1	1	0	1	0	4	0	0	4	4	1	0	1	2	0	0	0	4	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
0.03	north20_all	80	51271	14557	9631	10908	3678	2916	4164	4976	2210	1910	2251	933	1915	1020	755	595	565	427	394	673	562	285	265	351	188	304	335	148	291	122	120	115	91	114	80	60	93	142	119	50	27	30	67	32	44	25	29	38	30	26	27	34	21	11	9	18	17	12	16	6	17	5	22	6	8	5	5	8	14	3	6	4	3	3	1	1	5	3	7	0	1	4	4	3	1	1	2	0	1	1	5	0	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north20_active	80	43022	8946	6249	9284	978	793	3209	4407	1387	1321	1809	297	1648	665	378	191	263	84	72	526	441	65	88	247	69	244	280	48	247	62	63	71	46	82	18	13	71	129	84	19	8	9	48	11	33	14	9	28	21	9	10	28	15	5	5	5	5	2	10	0	7	1	20	0	5	3	3	4	13	0	5	2	3	0	0	0	2	0	5	0	1	4	4	1	0	1	2	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south21_all	80	28066	21982	7107	12480	5456	2925	2503	2948	2548	1971	1143	2694	1469	729	676	563	764	535	548	403	386	278	241	469	229	312	302	318	121	217	189	193	82	181	107	79	68	101	58	82	52	51	88	44	19	26	36	28	24	46	34	20	17	18	40	9	14	14	5	6	25	21	4	4	8	4	14	4	3	2	6	10	0	2	8	1	3	2	3	3	4	1	4	2	1	2	3	2	1	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	south21_active	80	14725	17618	1817	10919	3806	939	1119	2117	1894	1308	373	2382	1100	226	253	134	554	283	339	202	195	64	56	413	126	246	234	267	25	183	128	152	26	141	68	46	38	92	47	66	13	42	76	27	4	5	28	8	13	39	29	3	12	15	35	4	10	5	3	3	24	19	2	0	7	1	6	1	2	1	6	9	0	0	7	0	2	1	2	3	3	1	4	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	27037	19504	7176	11332	5225	2836	2468	2787	2317	1825	1099	2356	1356	720	657	557	681	533	482	374	370	258	244	452	222	289	286	279	121	235	171	204	96	152	96	72	55	87	58	72	47	51	94	43	20	30	34	29	24	54	33	20	14	17	31	7	13	10	7	5	24	22	5	7	11	4	12	4	2	2	5	13	0	1	8	1	1	1	3	3	2	1	4	1	1	3	2	1	1	1	1	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south22_active	80	13022	14910	1789	9620	3397	830	951	1925	1612	1135	340	2025	986	200	228	140	451	275	277	164	153	65	55	375	111	224	219	227	24	190	113	158	34	117	62	35	28	75	34	55	10	38	83	25	4	3	24	6	10	47	28	2	8	12	28	3	9	3	4	1	22	20	3	1	10	1	5	1	2	1	5	12	0	1	7	0	0	0	3	3	2	1	4	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
