label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172
0.03	south23_all	80	3131	1666	893	1348	1715	444	810	345	608	448	290	199	197	218	196	199	103	117	78	103	131	71	98	75	61	96	49	139	97	29	40	79	33	51	46	23	23	25	28	23	48	13	13	16	26	43	47	6	16	18	16	30	8	10	16	10	23	7	10	5	3	2	3	10	8	7	5	11	2	7	3	0	9	3	0	6	4	0	9	5	4	2	4	1	10	1	3	4	2	0	1	1	3	2	0	5	1	0	2	1	0	2	1	1	1	0	1	1	0	0	1	5	0	0	2	1	0	1	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south23_active	80	1447	820	422	830	1127	199	509	195	385	273	172	109	76	135	99	122	50	65	33	48	81	25	54	43	27	64	25	86	72	12	24	53	17	40	24	13	11	11	15	15	24	6	7	8	14	23	31	2	9	14	9	14	5	8	11	9	21	4	6	3	2	1	0	4	7	4	1	4	1	5	2	0	7	3	0	4	2	0	7	4	2	2	4	1	10	0	2	4	1	0	0	1	0	0	0	5	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	5	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	3201	1708	884	1393	1925	428	928	364	673	465	302	194	198	231	197	188	110	112	83	102	150	69	102	79	71	115	44	166	104	34	31	100	29	46	49	26	23	26	30	20	59	13	14	18	29	42	46	6	14	18	15	33	9	12	15	13	27	5	10	1	5	3	4	11	7	3	5	10	2	7	6	2	12	3	2	6	6	1	10	6	4	2	7	1	10	3	2	6	0	0	2	1	1	4	0	5	1	1	2	1	0	1	0	2	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	1	1	0	0	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south24_active	80	1491	875	425	856	1306	190	605	201	419	299	177	100	85	150	104	122	51	65	36	50	101	29	61	45	33	75	22	107	72	12	17	71	15	34	29	14	12	13	17	12	32	7	8	8	18	26	25	3	7	15	6	18	5	11	12	12	26	3	5	1	3	2	0	3	6	2	1	4	0	5	4	0	7	2	2	4	3	1	8	4	2	2	6	1	10	2	1	3	0	0	0	1	0	0	0	5	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	3227	1709	880	1408	1917	413	947	374	694	485	297	212	188	234	199	213	99	112	91	104	179	64	91	89	72	129	46	164	116	37	40	96	27	43	53	30	23	25	26	23	49	15	14	20	31	43	40	10	12	12	11	34	9	18	21	12	28	6	15	4	4	7	4	10	8	3	3	9	5	1	6	3	10	9	2	6	6	2	7	4	4	0	9	0	13	2	1	10	0	0	3	1	3	4	0	4	1	1	2	0	0	0	0	2	2	0	1	1	1	0	2	2	0	0	2	4	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_active	80	1531	866	405	873	1305	185	635	201	440	329	169	109	88	147	114	140	42	66	36	51	123	29	54	55	34	82	25	106	74	15	22	66	13	24	35	16	11	15	13	15	32	8	6	10	18	29	16	6	6	10	4	17	5	13	18	11	23	4	9	1	3	5	0	1	7	1	0	5	2	0	3	0	5	4	2	4	3	1	5	3	3	0	8	0	10	2	0	6	0	0	0	1	1	0	0	4	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	3229	1698	906	1406	1911	410	975	355	696	499	311	200	178	217	179	218	94	116	90	89	171	66	93	102	65	118	42	159	129	34	38	96	27	42	53	28	28	21	22	23	51	14	15	21	33	43	42	10	10	13	18	36	7	21	24	16	30	6	18	5	4	10	6	6	6	1	4	8	7	4	7	4	10	10	4	1	4	3	7	3	3	1	7	0	11	4	1	9	1	0	3	0	2	3	0	2	1	2	2	2	2	0	0	1	1	0	1	0	2	0	2	1	0	0	0	3	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	1524	870	420	909	1303	194	638	187	446	335	177	97	95	140	105	140	40	72	38	43	125	27	61	67	31	72	23	99	83	16	19	64	12	23	34	13	15	13	10	16	37	8	9	11	17	23	16	4	5	8	9	16	3	16	17	14	25	3	12	0	2	7	2	2	4	0	3	5	3	2	5	1	6	4	2	1	1	2	6	2	1	0	6	0	7	4	0	4	1	0	0	0	1	0	0	2	0	1	2	2	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	3255	1683	934	1407	1915	404	963	351	697	494	315	204	168	204	177	223	91	121	84	87	174	73	93	104	75	95	36	157	131	40	46	101	27	39	58	25	32	20	18	22	46	17	18	27	28	42	43	12	12	18	18	27	9	15	21	19	22	5	21	6	2	11	6	7	9	3	4	7	6	5	8	5	4	8	3	2	3	3	3	3	3	1	4	0	13	4	1	6	1	0	2	1	2	2	1	0	1	1	3	3	2	0	0	0	2	1	1	1	3	0	1	0	0	0	2	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	1547	874	435	918	1301	202	634	173	471	314	190	94	95	120	109	127	41	75	37	45	126	30	54	64	45	55	22	95	85	15	24	71	12	22	37	13	17	10	8	14	33	9	9	15	19	19	15	4	5	13	11	14	5	9	15	16	16	2	13	0	1	6	2	3	7	2	4	4	4	2	5	1	3	2	1	2	0	1	3	2	1	0	4	0	9	2	0	3	1	0	0	1	1	0	1	0	0	1	3	2	2	0	0	0	1	1	1	1	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
